SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL  WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
07/15/2024 00:00:14,N,7391.76129851,10674.14408477,4839.71161445,3427.54662466,3428.36007642,0,3351.17119379,4128.34537601,1485,14041.21171
07/15/2024 00:15:10,N,7481.92253814,10710.55168946,4820.94354232,3470.25000572,3470.32000541,0,3334.91276936,4133.36485862,1487,14263.15758
07/15/2024 00:30:10,N,7060.59327636,10744.62208779,4821.03436835,3377.80024862,3378.06024885,0,3347.06274231,4136.00024509,1486,13871.19758
07/15/2024 00:45:11,N,6843.97763763,10753.49023731,4820.69050391,3338.40218782,3338.40218782,0,3338.32523848,4132.15182304,1485,13509.33494
07/15/2024 01:00:13,N,6729.47930846,10735.30818732,4830.58641799,3145.4285624,3145.4285624,0,3334.05813249,4088.54909205,1486,13225.40211
07/15/2024 01:15:11,N,6589.62320266,10693.95569356,4848.95803626,3056.30896878,3056.30896878,0,3332.02683066,4081.35397005,1485,12859.28793
07/15/2024 01:30:14,N,6367.59455047,10746.30144532,4859.00045188,2863.71296644,2863.71296644,0,3438.71298959,4072.13109397,1519.79999923,12563.64154
07/15/2024 01:45:11,N,6350.26427398,10745.76187928,4859.27896293,2730.8020755,2730.8020755,0,3384.49112965,4066.7903831,1485,12412.23131
07/15/2024 02:00:15,N,6162.14712844,10732.28275912,4850.85131057,2736.8157525,2736.8157525,0,3396.12291688,4085.39837145,1503,12272.24621
07/15/2024 02:15:10,N,6153.11634574,10727.6482013,4860.50666412,2712.87544655,2712.87544655,0,3354.80032373,4099.54272556,1503,12176.84717
07/15/2024 02:30:10,N,6063.38889632,10728.17018922,4855.29479011,2691.04214316,2691.13214331,0,3398.00453765,4102.7271614,1503,12070.46367
07/15/2024 02:45:10,N,6028.02911983,11304.57035096,5011.11238082,2767.51092278,2767.51092278,0,3357.76145472,4105.18220615,1503,12137.45354
07/15/2024 03:00:21,N,6138.47313485,11263.36457284,5039.18845161,2782.02821171,2782.12821209,0,3348.50560067,4101.84337139,1485,12164.09558
07/15/2024 03:15:10,N,6006.33766303,11264.43026002,5029.75653632,2773.02493536,2773.10493528,0,3372.96300777,4112.62789988,1487,12115.38589
07/15/2024 03:30:09,N,5937.91607318,11264.16062196,5029.10147651,2770.54304671,2770.54304671,0,3362.79342793,4116.64808726,1484,12053.20893
07/15/2024 03:45:14,N,5933.29580484,11254.31913217,5029.50319274,2822.1026535,2822.1026535,0,3364.71414846,4172.09638261,1485,12058.98775
07/15/2024 04:00:13,N,6009.59696422,11283.13529428,5031.06010993,2795.71257722,2795.71257722,0,3370.26828446,4163.07181262,1486,12102.82179
07/15/2024 04:15:10,N,6112.36280236,11283.54639657,5030.12428649,2660.38111007,2660.38111007,0,3395.13718487,4151.6790955,1485,12060.03404
07/15/2024 04:30:09,N,6003.54613242,11282.54598458,5030.9737757,2603.69522035,2603.73522126,0,3364.9419927,4153.12261176,1485,11933.2057
07/15/2024 04:45:10,N,5988.10427795,11282.33148938,5030.29491408,2648.44034981,2648.44034981,0,3368.54276426,4156.60047006,1485,11953.29329
07/15/2024 05:00:13,N,6087.72866187,11222.72616084,5028.76386245,2633.24311339,2633.24311339,0,3365.58836271,4161.80488824,1484,11976.45545
07/15/2024 05:15:09,N,6210.77751622,11269.45843299,5003.82582553,2441.75478792,2441.75478792,0,3365.26964101,4167.57014417,1485,11983.74843
07/15/2024 05:30:09,N,6476.80157313,11282.46461661,5003.4802769,2171.35209369,2171.35209369,0,3400.0517172,4168.6151371,1485,11910.89696
07/15/2024 05:45:10,N,6529.24589715,11249.58190935,5032.1960686,2033.39575195,2033.43575096,0,3396.17668013,4163.55164861,1484,11875.79992
07/15/2024 06:00:15,N,6517.37915406,11328.46836932,4990.4741257,2005.96838712,2005.96838712,0,3362.91900148,4187.98409271,1485,11856.82574
07/15/2024 06:15:09,N,6998.70331702,11333.11560696,4991.07309421,2040.91946339,2040.91946339,0,3424.6750435,4174.28919553,1485,12257.42023
07/15/2024 06:30:09,N,6926.20217643,11334.49205331,4991.16707163,1933.3104211,1933.08042156,0,3390.64201481,4155.70725762,1484,12182.84304
07/15/2024 06:45:08,N,6565.83556098,11352.66261213,4990.77006244,1836.66361689,1836.62361693,0,3565.5874969,4150.06946378,1485,12117.62015
07/15/2024 07:00:11,N,6511.32189725,11332.48539993,5031.23276145,1827.07037222,1827.07037222,0,3579.04616022,4214.24740672,1485,11936.08756
07/15/2024 07:15:11,N,6694.83863513,11441.75536647,5020.77122625,1848.4719007,1848.4719007,0,3450.05016243,4150.84029507,1483,12103.35258
07/15/2024 07:30:09,N,6728.99046988,11398.80157798,4980.62856611,1837.62277278,1837.62277278,0,3385.61111824,4198.51245141,1484,11986.50972
07/15/2024 07:45:10,N,6889.54146171,11593.01611154,4915.80284818,1688.38096083,1688.38096083,0,3373.14233908,4188.08681464,1485,11995.5753
07/15/2024 08:00:11,N,7246.76750005,11989.75486385,4951.01715597,1479.09686434,1479.09686434,0,3375.6877185,4105.97003793,1501,11982.02255
07/15/2024 08:15:09,N,7413.45693482,12330.49402367,4915.21274694,1289.80631488,1289.80631488,0,3379.07613839,4070.20020913,1501,12113.85422
07/15/2024 08:30:09,N,7503.29196144,12430.20653747,4915.50080618,1187.58148314,1187.61148287,0,3379.50715312,4113.11114823,1501,12002.21856
07/15/2024 08:45:09,N,7542.98561168,12686.44475482,4915.73936399,1216.77063545,1216.77063545,0,3377.58051622,4113.36430901,1500,12148.14301
07/15/2024 09:00:11,N,7602.71757675,12416.98834108,4914.39035543,1314.33982762,1314.33982762,0,3379.05009961,4141.78586316,1500,12316.70319
07/15/2024 09:15:09,N,7719.46271158,12542.01064132,4910.98379072,1480.60097217,1480.60097217,0,3379.26686477,4149.23326273,1500,12601.83805
07/15/2024 09:30:10,N,8034.41980888,12846.15198563,4910.97361692,1575.54312479,1575.54312479,0,3377.7303617,4165.41647501,1499,12948.38527
07/15/2024 09:45:10,N,8449.87219716,13036.06430911,4969.67581686,1653.72483718,1653.72483718,0,3379.22249561,4165.69187325,1499,13371.13961
07/15/2024 10:00:12,N,8925.79447652,12866.76660394,4841.95397505,1819.59546399,1819.52546429,0,3563.40766465,4781.6435275,1682.80000305,14028.57859
07/15/2024 10:15:10,N,9531.26782656,13045.30527018,4874.68787988,1926.08524286,1926.08524286,0,3563.68312859,4774.54318308,1680.80000305,14847.37661
07/15/2024 10:30:10,N,9877.90299465,13600.31678199,5093.44401583,1930.55067682,1930.55067682,0,3566.10230999,4775.76717376,1682.80000305,15300.52449
07/15/2024 10:45:10,N,10223.58261205,13786.67159604,5095.99333414,2003.07123315,2003.07123315,0,3570.1846393,4785.73341131,1681.80000305,15676.13209
07/15/2024 11:00:15,N,10689.8891101,13862.3136773,5101.41822466,2000.37417626,2000.12417626,0,3559.82519702,4741.21347427,1680.80000305,16096.20658
07/15/2024 11:15:11,N,11292.24899341,14100.68308067,5101.46093592,2005.71911263,2005.71911263,0,3562.48396696,4749.22982168,1682.80000305,16705.47696
07/15/2024 11:30:11,N,11508.99040605,14131.96821879,5055.13104185,2007.16530656,2007.16530656,0,3563.33371467,4757.4935007,1681.80000305,16929.67449
07/15/2024 11:45:09,N,11816.2212385,14189.27071046,5118.08207067,2040.32587349,2040.32587349,0,3583.02137651,4739.54466629,1657,17327.81044
07/15/2024 12:00:13,N,12353.52399017,14971.40156172,5271.36131414,2066.25275576,2066.25275576,0,3359.36633529,4197.93529629,1477,17600.48286
07/15/2024 12:15:09,N,12327.1708702,14805.21012782,5271.49010023,2061.21432209,2061.21432209,0,3359.49514976,4199.78608012,1479,17713.03926
07/15/2024 12:30:11,N,12550.49972678,14794.64213561,5271.89248594,2133.85833752,2133.79833614,0,3358.60920572,4196.75704836,1476,17958.63513
07/15/2024 12:45:11,N,12636.84899856,14779.36988067,5271.84917578,2200.61507916,2200.61507916,0,3372.69741583,4200.29992747,1477,18021.8688
07/15/2024 13:00:14,N,12730.69991208,14628.58057688,5297.79569753,2244.28184384,2244.22184342,0,3353.16144724,4155.63795638,1477,18123.47739
07/15/2024 13:15:11,N,13015.80776168,14771.98364257,5290.44381841,2401.5094099,2401.5094099,0,3376.66969058,4152.23197054,1476,18671.28348
07/15/2024 13:30:12,N,13096.5561123,14680.12943505,5290.37558111,2528.03606855,2528.03606855,0,3363.69357676,4143.26079821,1476,18920.69518
07/15/2024 13:45:11,N,13054.22962213,14558.16172098,5290.27201399,2623.9728688,2623.9728688,0,3350.41163601,4144.32493662,1477,18960.15235
07/15/2024 14:00:12,N,13319.73518182,15045.10719489,5299.40120062,2786.41076827,2786.41076827,0,3347.04394086,4093.0144596,1475,19332.93451
07/15/2024 14:15:09,N,13150.08818318,14738.6550455,5289.33122572,2836.92482703,2836.92482703,0,3396.84772903,4102.08995485,1476,19316.05097
07/15/2024 14:30:09,N,13384.9495411,14789.1731696,5299.24435171,2888.86285328,2888.86285328,0,3356.98466857,4112.88561487,1477,19542.50074
07/15/2024 14:45:09,N,13637.69383932,14944.9726634,5313.39254888,2924.00750851,2924.00750851,0,3364.62673257,4117.24966955,1477,19830.45287
07/15/2024 15:00:12,N,13760.84276773,15192.20824575,5352.23280271,2986.25622177,2986.25622177,0,3358.58140572,4022.54907417,1477,19987.35036
07/15/2024 15:15:11,N,14194.48362733,15687.07978962,5702.37580618,3032.74848484,3032.74848484,0,3396.46498617,4022.63815402,1476,20437.50464
07/15/2024 15:30:12,N,14526.42823077,15675.74247263,5702.2414945,3112.61580228,3112.61580228,0,3487.75954118,4021.19137048,1475,21042.69001
07/15/2024 15:45:10,N,14338.1675377,15972.76658247,5903.83798775,3178.93805599,3178.88805675,0,3401.81761181,4022.41332387,1474,21023.37732
07/15/2024 16:00:14,N,14346.72234393,15756.76215695,5924.44491419,3256.92916774,3256.92916774,0,3406.16788125,4210.2821424,1473,20707.45965
07/15/2024 16:15:10,N,14458.69636202,15755.81954907,5882.48031744,3389.78948211,3389.78948211,0,3417.48774738,4207.97179198,1470,21168.30941
07/15/2024 16:30:10,N,14150.64653445,15305.80129766,5886.36282953,3452.52977418,3452.52977418,0,3414.16945895,4206.7797296,1474,20917.29624
07/15/2024 16:45:11,N,14010.12126017,15306.44605969,5882.90870889,3558.85178947,3558.85178947,0,3415.92737746,4209.26587605,1474,20984.03617
07/15/2024 17:00:13,N,14146.90525103,15707.41651152,5940.09378465,3597.02519369,3597.02519369,0,3420.8314644,4076.55590939,1492,21299.60705
07/15/2024 17:15:10,N,14212.97743465,15617.38361786,5891.59847673,3575.18868422,3575.2886846,0,3461.23609481,4089.6665802,1495,21174.46167
07/15/2024 17:30:11,N,14103.71414185,15260.30375432,5891.49887689,3532.11805653,3532.32805752,0,3462.58116755,4089.91352701,1494,21021.44704
07/15/2024 17:45:10,N,14012.43190623,15419.58655738,5912.65108713,3563.46371507,3563.25371408,0,3465.961122,4088.13534975,1492,21127.49825
07/15/2024 18:00:12,N,14067.05285741,15358.93472265,5920.44658407,3542.41471576,3542.41471576,0,3470.30786857,4261.84103453,1544,21182.07165
07/15/2024 18:15:10,N,14014.9121647,15198.25009608,5944.79874452,3555.43656301,3555.43656301,0,3615.59300998,4274.12300407,1547,21015.42291
07/15/2024 18:30:10,N,13929.28554345,15032.74775766,5944.49501547,3506.81554079,3506.76554059,0,3597.63321696,4278.07622969,1546,21073.19377
07/15/2024 18:45:10,N,13757.89589454,14786.42022156,5944.39685282,3458.68633556,3458.68633556,0,3784.74933379,4269.24622118,1548,20922.67261
07/15/2024 19:00:13,N,13928.09667444,14795.53293371,6012.2763389,3363.90998435,3363.90998435,0,3751.82994555,4165.37439107,1562,20785.25987
07/15/2024 19:15:12,N,13664.69867013,14377.32097696,6059.25878462,3182.69248247,3182.69248247,0,3907.93588406,4142.93980646,1560,20551.29726
07/15/2024 19:30:10,N,13545.20945238,13968.21781038,6081.26384386,3207.52997732,3207.52997732,0,4032.0072204,4133.81784963,1561,20496.5211
07/15/2024 19:45:10,N,13470.43869917,13919.70502512,6357.69322046,3191.44958448,3191.28958463,0,3987.28818478,4136.11846542,1562,20644.96285
07/15/2024 20:00:13,N,13152.36658351,13648.19095769,6372.5930303,3292.73065519,3292.80065488,0,3835.36774622,4293.91796565,1561,20219.69366
07/15/2024 20:15:09,N,12988.78990134,13472.25587136,6372.5091947,3415.09152078,3415.09152078,0,3799.31419086,4224.93118491,1563,20111.49527
07/15/2024 20:30:09,N,12877.10444831,13448.50748541,6372.69955689,3513.89195871,3513.89195871,0,3678.20355998,4262.35795176,1563,20202.50043
