SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-IRR,SUM  HASL NON-IRR,SUM  LASL NON-IRR,SUM  BASE POINT WGR,SUM   HASL  WGR,SUM  LASL WGR,SUM  BASE POINT PVGR,SUM   HASL  PVGR,SUM  LASL PVGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
07/16/2024 00:00:14,N,33745.69388868,49054.40767765,24323.09666824,22378.84947413,22517.33503168,.1,152.06461212,153.31809012,1.34823627,3906.09103666,6567.44550783,2013.53540802,60478.55424
07/16/2024 00:15:13,N,33089.80981417,48836.03990983,24200.57116889,22566.33722126,22595.22779285,.1,2.05008799,3.30686127,1.34823627,3923.79771856,6555.95733792,2012.34434127,59637.42178
07/16/2024 00:30:12,N,31860.11232186,48564.02732038,23997.38086795,22804.0454005,22911.62688243,.1,152.06055971,153.31423995,1.34823627,3955.4196068,6577.21551312,2014.94063186,58892.11337
07/16/2024 00:45:12,N,31253.54374809,48531.66067028,23985.57457351,22926.46967494,22980.92609393,.1,2.056934,3.31493206,1.34823627,3899.74462216,6578.60966176,2018.89038467,58255.46639
07/16/2024 01:00:17,N,30823.41686857,48565.61300683,24075.82958912,22802.08212065,22860.80609154,.1,2.05918816,3.31496051,1.34823627,3901.84356809,6220.21931226,2016.23989105,57426.35269
07/16/2024 01:15:10,N,30046.35885535,48670.60493755,23924.00662994,22842.60038399,22848.10006356,.1,2.05103551,3.30808234,1.34823627,3942.18841101,6233.31206185,2015.8977127,56796.74891
07/16/2024 01:30:12,N,29963.37912564,47896.11716765,23462.73180198,22462.59699484,22527.25099897,.1,2.10071811,3.35744836,1.34823627,3930.42377264,6248.468597,2014.68107986,56348.93643
07/16/2024 01:45:12,N,29386.23501951,47899.11134028,23471.30291867,22355.03540122,22379.72478187,.1,152.07900983,153.33248782,1.34823627,4019.42412303,6256.95095498,2012.90596771,55998.26244
07/16/2024 02:00:18,N,29100.50968045,48004.28134822,23505.93040847,21988.10366529,22032.51562112,.1,2.07170841,3.32763281,1.34823627,3972.68966184,6136.26645858,2013.93470001,55123.74613
07/16/2024 02:15:13,N,28599.37313941,47757.42257443,23305.36696815,21639.66007447,21709.73145508,.1,2.13222795,3.38835187,1.34823627,3971.91405575,6162.51648862,2026.81247329,54295.93772
07/16/2024 02:30:13,N,28623.23840337,47783.65427379,23336.03218603,21357.0627467,21423.07858341,.1,2.05891152,3.31401411,1.34823627,3976.79716478,6170.99327189,2027.37157821,53835.87182
07/16/2024 02:45:11,N,28223.05053936,47705.36250782,23263.12181091,21081.55039092,21159.66668578,.1,2.78183022,4.03966743,1.34823627,3984.34783101,6205.60241467,2024.62313079,53498.65032
07/16/2024 03:00:14,N,28146.45031487,47806.4978981,23332.79822921,20487.38281166,20553.36969864,.1,2.06222922,3.32001342,1.35254248,3929.832469,6217.30187768,2008.5898056,52762.55837
07/16/2024 03:15:13,N,27689.11025043,47775.97619509,23305.33224678,20422.59615457,20428.38795602,.1,152.06304801,153.316526,1.34823627,3956.7523241,6212.93664224,2007.79057693,52162.44304
07/16/2024 03:30:10,N,27861.19516235,47716.66440486,23247.821208,20175.47328573,20178.86262899,.1,2.07154695,3.32933115,1.35254248,3930.4469192,6209.56694896,2009.10957336,51879.12748
07/16/2024 03:45:16,N,27687.37726004,47749.71454286,23313.23750877,20140.15017288,20147.26787537,.1,2.05588404,3.30936203,1.34823627,3948.15245699,6217.31596333,2010.08549499,51722.45803
07/16/2024 04:00:12,N,27836.54060678,47620.24765062,23303.92367362,19821.37894749,19826.97656559,.1,2.06643743,3.31991542,1.34823627,3912.5469892,6401.76770622,2010.85879135,51489.29221
07/16/2024 04:15:11,N,27822.96703224,47616.38611793,23302.80698394,19622.02651644,19626.73001147,.1,2.05847078,3.32002466,1.34823627,3915.44712287,6398.97661192,2012.845932,51277.23371
07/16/2024 04:30:11,N,27915.45674483,47618.63487386,23302.3668127,19665.74764141,19671.29674037,.1,2.06536768,3.32784568,1.34823627,3908.97852024,6400.24993821,2014.87423481,51402.37183
07/16/2024 04:45:11,N,27889.79722435,47621.25905984,23304.56052589,19557.30180623,19563.61018635,.1,2.06281734,3.31707207,1.34823627,3918.31359573,6397.29532797,2012.27427673,51231.09147
07/16/2024 05:00:14,N,28275.66862037,47767.76142978,23199.82151651,19294.19577305,19300.16405384,.1,2.06439861,3.3178766,1.34823627,3882.85870974,6135.17695863,2008.83631896,51301.53672
07/16/2024 05:15:11,N,28751.46094583,47774.81171989,23201.54381275,19099.38724252,19103.8874714,.1,2.06632589,3.31980388,1.34823627,3898.19074451,6133.96420104,2009.12818145,51613.55449
07/16/2024 05:30:09,N,29045.72898481,47784.7448368,23203.09010171,18814.66706296,18820.00486204,.1,2.05543587,3.30911361,1.34843602,3903.55120563,6133.98378522,2013.1028366,51601.23387
07/16/2024 05:45:09,N,29412.27868259,47772.00948464,23202.94267559,18551.67507699,18557.25819543,.1,2.06437373,3.31785173,1.34823627,3884.02958989,6125.08699042,2013.04764938,51711.60336
07/16/2024 06:00:13,N,29883.00950121,47970.28408391,23261.01319789,18301.28371239,18307.3900776,.1,2.06359382,3.31858748,1.34823627,3909.28986058,6104.21203072,2013.92311096,51816.20417
07/16/2024 06:15:09,N,30589.71996927,47927.71639966,23276.8507986,18083.44051966,18088.62877878,.1,2.10272121,3.35759819,1.34963526,3984.32454198,6151.65563375,2007.87525558,52404.53339
07/16/2024 06:30:12,N,30572.151162,47971.42893946,23338.96423625,17833.45623919,17834.96282336,.1,8.92772959,10.17420758,1.34823627,3972.79952406,6144.67579538,2010.12706756,52310.93065
07/16/2024 06:45:10,N,30766.23110858,47964.95266562,23337.73158168,17465.66117124,17468.62592021,.1,85.54053629,86.79459603,1.91491685,4099.32502075,6137.55318015,2007.83579254,52424.77501
07/16/2024 07:00:13,N,30774.37643493,47894.21876966,23510.5170803,17076.99200546,17081.03001511,.1,463.79969145,465.04513945,1.24545799,4123.94045774,6232.14483649,2004.56510925,52470.65241
07/16/2024 07:15:09,N,30635.31559727,47728.9335877,23522.95454406,16706.45717342,16709.83935268,.1,1428.41064726,1428.41064726,7.08128234,4037.97117048,6233.47383613,2006.6078186,52900.78528
07/16/2024 07:30:10,N,29702.00043765,47751.58906817,23510.42608356,16175.39902228,16179.67079657,.1,3106.71617486,3126.516176,7.32168315,4045.61500512,6232.02040321,2005.50461196,53238.99956
07/16/2024 07:45:10,N,29160.54648766,47831.40523302,23734.76588153,15160.67098152,15164.37895882,.1,5370.99984219,5394.49984219,7.36088705,4042.89537807,6228.1497993,2001.69439697,53789.74146
07/16/2024 08:00:14,N,27902.56394215,47050.80582451,23704.98672962,14292.82331969,14296.22758605,.1,8033.43958771,8050.83958923,7.08128234,4185.73642761,6745.49310572,2021.4395523,54622.94762
07/16/2024 08:15:09,N,27407.95717698,47280.25518628,23678.73644423,13949.26898163,13954.14710587,.1,10670.73779386,10682.93779081,7.08128234,4100.80195929,6741.08351452,2021.18445968,56260.93909
07/16/2024 08:30:11,N,26312.50106203,47245.50013208,23686.49345636,13558.31113225,13566.02914983,.1,13018.3359487,13025.63595175,7.08128234,4087.89578694,6726.01267273,2021.99939346,57327.03711
07/16/2024 08:45:10,N,26341.23276147,47254.4695326,23695.89403295,13367.98799258,13397.2821663,.1,14578.88106215,14609.64783155,7.08128234,3960.12118697,6621.21069367,1985.61766815,58191.06658
07/16/2024 09:00:14,N,25570.24901165,47469.27661418,23869.51330661,13396.5685139,13512.30200637,.1,15722.95010495,15775.42375302,7.08128234,4000.73491959,6068.96227939,1942.10499954,59207.47699
