SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
07/16/2024 00:00:14,N,60478.71165,-15.7,60494.41165
07/16/2024 00:15:13,N,59637.57948,118.2,59519.37948
07/16/2024 00:30:12,N,58892.27094,118,58774.27094
07/16/2024 00:45:12,N,58255.62385,119.2,58136.42385
07/16/2024 01:00:17,N,57426.51008,169.6,57256.91008
07/16/2024 01:15:10,N,56796.90651,142.7,56654.20651
07/16/2024 01:30:12,N,56349.09393,142.8,56206.29393
07/16/2024 01:45:12,N,55998.4197,142.6,55855.8197
07/16/2024 02:00:18,N,55123.90335,143.1,54980.80335
07/16/2024 02:15:13,N,54296.09522,87.7,54208.39522
07/16/2024 02:30:13,N,53839.53836,88.8,53750.73836
07/16/2024 02:45:11,N,53498.8076,88.1,53410.7076
07/16/2024 03:00:14,N,52762.71331,-34.2,52796.91331
07/16/2024 03:15:13,N,52162.59746,-99.8,52262.39746
07/16/2024 03:30:10,N,51879.28231,-99,51978.28231
07/16/2024 03:45:16,N,51722.61257,-98.9,51821.51257
07/16/2024 04:00:12,N,51489.44653,-98.7,51588.14653
07/16/2024 04:15:11,N,51277.38795,-118.4,51395.78795
07/16/2024 04:30:11,N,51402.52807,-97.9,51500.42807
07/16/2024 04:45:11,N,51231.24752,-97.8,51329.04752
07/16/2024 05:00:14,N,51301.69274,-95.9,51397.59274
07/16/2024 05:15:11,N,51613.71047,-149.9,51763.61047
07/16/2024 05:30:09,N,51601.39023,-101.1,51702.49023
07/16/2024 05:45:09,N,51711.75951,-101.6,51813.35951
07/16/2024 06:00:13,N,51816.36016,-57.6,51873.96016
07/16/2024 06:15:09,N,52404.6893,-1.4,52406.0893
07/16/2024 06:30:12,N,52311.08691,-.9,52311.98691
07/16/2024 06:45:10,N,52424.9312,-.6,52425.5312
07/16/2024 07:00:13,N,52470.80823,-1.7,52472.50823
07/16/2024 07:15:09,N,52900.94082,-1.2,52902.14082
07/16/2024 07:30:10,N,53239.15543,-.6,53239.75543
07/16/2024 07:45:10,N,53789.89747,-1.8,53791.69747
07/16/2024 08:00:14,N,54623.10378,-.5,54623.60378
07/16/2024 08:15:09,N,56261.07114,302.4,55958.67114
07/16/2024 08:30:11,N,57327.16916,303.5,57023.66916
07/16/2024 08:45:10,N,58191.19863,303.7,57887.49863
07/16/2024 09:00:14,N,59207.60904,344,58863.60904
07/16/2024 09:15:10,N,59926.99941,377.9,59549.09941
07/16/2024 09:30:10,N,60534.68549,378.3,60156.38549
07/16/2024 09:45:10,N,61510.29866,377.9,61132.39866
07/16/2024 10:00:14,N,62579.45416,391.7,62187.75416
07/16/2024 10:15:10,N,63457.3203,404.3,63053.0203
07/16/2024 10:30:09,N,64268.62113,424.6,63844.02113
07/16/2024 10:45:09,N,65399.47485,453.4,64946.07485
07/16/2024 11:00:16,N,66194.50317,453.2,65741.30317
07/16/2024 11:15:10,N,66980.38354,432.3,66548.08354
07/16/2024 11:30:12,N,68112.12219,403.6,67708.52219
07/16/2024 11:45:09,N,69646.57811,403.5,69243.07811
07/16/2024 12:00:16,N,70778.04595,357.8,70420.24595
07/16/2024 12:15:11,N,71289.77601,303.6,70986.17601
07/16/2024 12:30:11,N,72351.69435,303.4,72048.29435
07/16/2024 12:45:10,N,73190.96577,303.5,72887.46577
07/16/2024 13:00:14,N,74103.35393,303.8,73799.55393
07/16/2024 13:15:10,N,75147.35348,157.1,74990.25348
07/16/2024 13:30:10,N,75586.32374,2.6,75583.72374
07/16/2024 13:45:10,N,76356.58032,2.3,76354.28032
07/16/2024 14:00:14,N,77112.37156,2.3,77110.07156
07/16/2024 14:15:15,N,77515.90117,2.4,77513.50117
07/16/2024 14:30:10,N,77903.27884,2.9,77900.37884
