SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
07/22/2024 00:00:17,N,3885.10954,0,3885.10954
07/22/2024 00:15:12,N,3778.00635,-.1,3778.10635
07/22/2024 00:30:10,N,3699.40052,0,3699.40052
07/22/2024 00:45:12,N,3727.06619,0,3727.06619
07/22/2024 01:00:15,N,3904.7648,-.1,3904.8648
07/22/2024 01:15:10,N,3878.20002,0,3878.20002
07/22/2024 01:30:11,N,3837.79541,-.1,3837.89541
07/22/2024 01:45:11,N,4035.12759,0,4035.12759
07/22/2024 02:00:18,N,4098.1764,0,4098.1764
07/22/2024 02:15:11,N,4069.44228,-.1,4069.54228
07/22/2024 02:30:11,N,3930.344,0,3930.344
07/22/2024 02:45:11,N,3948.0859,0,3948.0859
07/22/2024 03:00:17,N,3901.08271,-.1,3901.18271
07/22/2024 03:15:12,N,3987.4861,-.1,3987.5861
07/22/2024 03:30:12,N,4042.71353,-.1,4042.81353
07/22/2024 03:45:12,N,4084.93018,-.1,4085.03018
07/22/2024 04:00:14,N,4173.17288,-.1,4173.27288
07/22/2024 04:15:11,N,4203.96485,-.1,4204.06485
07/22/2024 04:30:14,N,3994.08659,-.1,3994.18659
07/22/2024 04:45:11,N,3895.60143,0,3895.60143
07/22/2024 05:00:14,N,3659.14329,-.1,3659.24329
07/22/2024 05:15:10,N,3797.60449,0,3797.60449
07/22/2024 05:30:11,N,3978.63274,0,3978.63274
07/22/2024 05:45:11,N,4063.28137,-.1,4063.38137
07/22/2024 06:00:14,N,4185.68852,0,4185.68852
07/22/2024 06:15:09,N,4285.68685,0,4285.68685
07/22/2024 06:30:10,N,4251.75869,-.1,4251.85869
07/22/2024 06:45:09,N,4354.96045,-.1,4355.06045
07/22/2024 07:00:14,N,4430.89365,0,4430.89365
07/22/2024 07:15:09,N,4361.92585,0,4361.92585
07/22/2024 07:30:11,N,4655.12333,0,4655.12333
07/22/2024 07:45:10,N,4757.20722,-.1,4757.30722
07/22/2024 08:00:15,N,4685.40565,-.1,4685.50565
07/22/2024 08:15:10,N,4757.81522,0,4757.81522
07/22/2024 08:30:09,N,4934.32892,0,4934.32892
07/22/2024 08:45:11,N,5205.51162,0,5205.51162
07/22/2024 09:00:13,N,5249.12185,0,5249.12185
07/22/2024 09:15:11,N,5430.84097,24.3,5406.54097
07/22/2024 09:30:11,N,5453.8797,24.3,5429.5797
07/22/2024 09:45:11,N,5708.75241,24.2,5684.55241
07/22/2024 10:00:15,N,5718.30134,0,5718.30134
07/22/2024 10:15:11,N,6078.03742,0,6078.03742
07/22/2024 10:30:11,N,6398.19956,0,6398.19956
07/22/2024 10:45:13,N,6486.93985,0,6486.93985
07/22/2024 11:00:12,N,6428.28706,0,6428.28706
07/22/2024 11:15:10,N,6392.30885,0,6392.30885
07/22/2024 11:30:10,N,6687.35429,0,6687.35429
07/22/2024 11:45:09,N,7029.42249,0,7029.42249
07/22/2024 12:00:14,N,7306.41137,0,7306.41137
07/22/2024 12:15:10,N,7332.43067,0,7332.43067
07/22/2024 12:30:11,N,7655.3036,0,7655.3036
07/22/2024 12:45:11,N,7326.05835,0,7326.05835
07/22/2024 13:00:13,N,7350.55814,0,7350.55814
07/22/2024 13:15:10,N,7038.52698,0,7038.52698
07/22/2024 13:30:10,N,7172.02311,0,7172.02311
07/22/2024 13:45:09,N,7738.99099,0,7738.99099
07/22/2024 14:00:15,N,8036.70572,0,8036.70572
07/22/2024 14:15:09,N,7832.94204,0,7832.94204
07/22/2024 14:30:10,N,7755.97719,0,7755.97719
07/22/2024 14:45:09,N,7577.46305,0,7577.46305
07/22/2024 15:00:13,N,7056.32086,0,7056.32086
07/22/2024 15:15:10,N,7239.37942,0,7239.37942
07/22/2024 15:30:12,N,7720.84853,0,7720.84853
07/22/2024 15:45:10,N,7216.17033,0,7216.17033
07/22/2024 16:00:14,N,7389.91591,0,7389.91591
07/22/2024 16:15:10,N,7355.62568,0,7355.62568
07/22/2024 16:30:14,N,7563.46026,0,7563.46026
07/22/2024 16:45:11,N,7413.82875,0,7413.82875
07/22/2024 17:00:20,N,7976.55117,0,7976.55117
07/22/2024 17:15:09,N,8260.85378,0,8260.85378
07/22/2024 17:30:11,N,8192.82611,0,8192.82611
07/22/2024 17:45:09,N,7661.9398,0,7661.9398
07/22/2024 18:00:15,N,7324.69514,0,7324.69514
07/22/2024 18:15:10,N,7095.59082,0,7095.59082
07/22/2024 18:30:10,N,7051.32438,0,7051.32438
07/22/2024 18:45:11,N,6926.56894,0,6926.56894
07/22/2024 19:00:14,N,6685.79225,-53.6,6739.39225
07/22/2024 19:15:09,N,6202.45165,-120,6322.45165
07/22/2024 19:30:10,N,5884.12151,-119.9,6004.02151
07/22/2024 19:45:10,N,5417.98756,-119.9,5537.88756
07/22/2024 20:00:15,N,4718.88639,-119.9,4838.78639
07/22/2024 20:15:11,N,4467.0717,-119.9,4586.9717
07/22/2024 20:30:09,N,4029.17909,-76,4105.17909
07/22/2024 20:45:10,N,3869.19076,-71.5,3940.69076
07/22/2024 21:00:14,N,4008.46211,-23,4031.46211
07/22/2024 21:15:11,N,4107.76747,48.4,4059.36747
07/22/2024 21:30:10,N,3967.28719,48.4,3918.88719
07/22/2024 21:45:10,N,3967.69475,0,3967.69475
07/22/2024 22:00:16,N,4031.57991,0,4031.57991
07/22/2024 22:15:10,N,3845.34013,-.1,3845.44013
07/22/2024 22:30:10,N,3706.82121,0,3706.82121
07/22/2024 22:45:10,N,3462.65698,0,3462.65698
07/22/2024 23:00:13,N,3323.61213,-.1,3323.71213
07/22/2024 23:15:10,N,3192.13878,0,3192.13878
07/22/2024 23:30:09,N,3152.96434,0,3152.96434
07/22/2024 23:45:10,N,3212.82244,0,3212.82244
