SCED Time Stamp,Repeated Hour Flag,SUM TELEM DSR LOAD,SUM TELEM DSR GEN
07/23/2024 00:00:18,N,228.8,0
07/23/2024 00:15:10,N,228.2,0
07/23/2024 00:30:11,N,223.2,0
07/23/2024 00:45:11,N,218.8,0
07/23/2024 01:00:19,N,216,0
07/23/2024 01:15:10,N,213.8,0
07/23/2024 01:30:12,N,211.8,0
07/23/2024 01:45:09,N,208,0
07/23/2024 02:00:17,N,206.6,0
07/23/2024 02:15:11,N,204.5,0
07/23/2024 02:30:11,N,201.4,0
07/23/2024 02:45:09,N,200.3,0
07/23/2024 03:00:20,N,198,0
07/23/2024 03:15:10,N,198.6,0
07/23/2024 03:30:10,N,197,0
07/23/2024 03:45:13,N,197.5,0
07/23/2024 04:00:15,N,197.2,0
07/23/2024 04:15:09,N,197.7,0
07/23/2024 04:30:14,N,198.2,0
07/23/2024 04:45:10,N,201,0
07/23/2024 05:00:15,N,203.9,0
07/23/2024 05:15:09,N,207.7,0
07/23/2024 05:30:10,N,212.1,0
07/23/2024 05:45:09,N,212.2,0
07/23/2024 06:00:17,N,213.8,0
07/23/2024 06:15:09,N,217,0
07/23/2024 06:30:09,N,218.3,0
07/23/2024 06:45:09,N,221.2,0
07/23/2024 07:00:12,N,221.7,0
07/23/2024 07:15:09,N,224,0
07/23/2024 07:30:11,N,225.2,0
07/23/2024 07:45:11,N,226.6,0
07/23/2024 08:00:13,N,228.5,0
07/23/2024 08:15:09,N,234.1,0
07/23/2024 08:30:09,N,237.1,0
07/23/2024 08:45:10,N,239.5,0
07/23/2024 09:00:15,N,242.2,0
07/23/2024 09:15:07,N,245.9,0
07/23/2024 09:30:08,N,250,0
07/23/2024 09:45:08,N,253.5,0
07/23/2024 10:00:14,N,255.8,0
07/23/2024 10:15:11,N,260.8,0
07/23/2024 10:30:09,N,263.1,0
07/23/2024 10:45:09,N,267.7,0
07/23/2024 11:00:14,N,271.6,0
07/23/2024 11:15:08,N,274.4,0
07/23/2024 11:30:09,N,279,0
07/23/2024 11:45:07,N,282.1,0
07/23/2024 12:00:11,N,288.2,0
07/23/2024 12:15:08,N,295.6,0
07/23/2024 12:30:09,N,297.9,0
07/23/2024 12:45:09,N,304.6,0
07/23/2024 13:00:12,N,308,0
07/23/2024 13:15:09,N,313.4,0
07/23/2024 13:30:09,N,321.1,0
07/23/2024 13:45:12,N,325.2,0
07/23/2024 14:00:14,N,331.3,0
07/23/2024 14:15:09,N,338.9,0
07/23/2024 14:30:12,N,344.6,0
07/23/2024 14:45:10,N,349.7,0
07/23/2024 15:00:15,N,354.6,0
07/23/2024 15:15:09,N,357.3,0
07/23/2024 15:30:10,N,358.7,0
07/23/2024 15:45:12,N,362.1,0
07/23/2024 16:00:17,N,362.1,0
07/23/2024 16:15:09,N,363.5,0
07/23/2024 16:30:11,N,365.6,0
07/23/2024 16:45:08,N,365.5,0
07/23/2024 17:00:14,N,366.9,0
07/23/2024 17:15:08,N,367.1,0
07/23/2024 17:30:08,N,366,0
07/23/2024 17:45:10,N,366.5,0
07/23/2024 18:00:18,N,364.1,0
07/23/2024 18:15:10,N,360.7,0
07/23/2024 18:30:10,N,361.5,0
07/23/2024 18:45:11,N,356.5,0
07/23/2024 19:00:14,N,352.3,0
07/23/2024 19:15:10,N,349.9,0
07/23/2024 19:30:10,N,345.4,0
07/23/2024 19:45:12,N,337.9,0
07/23/2024 20:00:19,N,330.7,0
07/23/2024 20:15:11,N,325.5,0
07/23/2024 20:30:11,N,322.1,0
07/23/2024 20:45:10,N,318.3,0
07/23/2024 21:00:18,N,314.6,0
07/23/2024 21:15:11,N,311.6,0
07/23/2024 21:30:11,N,307.9,0
07/23/2024 21:45:10,N,305,0
07/23/2024 22:00:14,N,298.8,0
07/23/2024 22:15:11,N,291,0
07/23/2024 22:30:10,N,284.2,0
07/23/2024 22:45:11,N,276.6,0
07/23/2024 23:00:17,N,273.2,0
07/23/2024 23:15:10,N,265.1,0
07/23/2024 23:30:10,N,258.7,0
07/23/2024 23:45:11,N,253.8,0
