SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
07/24/2024 00:00:25,N,110,1107.99420881,4.3
07/24/2024 00:15:09,N,110,1104.04429435,4.3
07/24/2024 00:30:12,N,110,1101.72979676,4.3
07/24/2024 00:45:11,N,110,1103.70090293,4.3
07/24/2024 01:00:18,N,110,1094.29550218,1.7
07/24/2024 01:15:11,N,110,1095.70150613,1.7
07/24/2024 01:30:09,N,110,1095.08649015,1.7
07/24/2024 01:45:09,N,110,1092.23358964,1.7
07/24/2024 02:00:16,N,110,1093.53700184,2.6
07/24/2024 02:15:10,N,110,1094.03889703,2.6
07/24/2024 02:30:09,N,110,1094.27369546,2.6
07/24/2024 02:45:10,N,110,1094.24960184,2.6
07/24/2024 03:00:14,N,110,1327.78592538,3.7
07/24/2024 03:15:09,N,110,1325.17201757,3.7
07/24/2024 03:30:09,N,110,1327.55469846,3.7
07/24/2024 03:45:15,N,110,1325.83458089,3.7
07/24/2024 04:00:15,N,110,1097.64440584,32.3
07/24/2024 04:15:11,N,110,1097.86000204,32.3
07/24/2024 04:30:15,N,110,1097.65189886,32.3
07/24/2024 04:45:09,N,110,1091.34830856,32.3
07/24/2024 05:00:15,N,110,1314.04060983,8.9
07/24/2024 05:15:11,N,110,1314.17700862,8.9
07/24/2024 05:30:09,N,110,1313.22419404,8.9
07/24/2024 05:45:09,N,110,1309.20240259,8.9
07/24/2024 06:00:16,N,110,1320.61220026,6.7
07/24/2024 06:15:09,N,110,1320.35819911,6.7
07/24/2024 06:30:11,N,110,1320.15269708,6.7
07/24/2024 06:45:09,N,110,1319.0919938,6.7
07/24/2024 07:00:14,N,110,1346.89211177,8.78087999
07/24/2024 07:15:11,N,110,1350.76738682,10.1
07/24/2024 07:30:11,N,110,1281.43128466,14.13311004
07/24/2024 07:45:11,N,110,1386.01858806,23.80000038
07/24/2024 08:00:14,N,110,1300.51430177,36.04336149
07/24/2024 08:15:12,N,110,1311.77311182,50.69999904
07/24/2024 08:30:13,N,110,1331.53030204,69.80000038
07/24/2024 08:45:11,N,110,1349.77211201,88.99999923
07/24/2024 09:00:13,N,110,1691.44990527,125.09999923
07/24/2024 09:15:09,N,110,1698.56609678,134.9000061
07/24/2024 09:30:09,N,110,1703.56609678,139.70000152
07/24/2024 09:45:09,N,110,1704.79657626,142.3
07/24/2024 10:00:13,N,110,1232.32189631,142.02272462
07/24/2024 10:15:08,N,110,1233.38560009,143.5
07/24/2024 10:30:09,N,110,1240.1962223,147.70000076
07/24/2024 10:45:07,N,110,1236.75420856,152.5
07/24/2024 11:00:12,N,110,1240.70660114,149.6
07/24/2024 11:15:08,N,110,1238.37663173,153.20000228
07/24/2024 11:30:10,N,110,1235.3623867,154.61388072
07/24/2024 11:45:09,N,110,1235.91847896,154.40000305
07/24/2024 12:00:14,N,110,1394.55646467,149.10000305
07/24/2024 12:15:10,N,110,1393.00120663,198.21119077
07/24/2024 12:30:11,N,110,1390.78132271,196.06934945
07/24/2024 12:45:10,N,110,1384.51869988,197.76005323
07/24/2024 13:00:16,N,110,1659.85530138,198.55062789
07/24/2024 13:15:10,N,110,1659.78243064,151.10000534
07/24/2024 13:30:09,N,110,1657.17191934,151.00000305
07/24/2024 13:45:09,N,110,1659.60439729,149.36131228
07/24/2024 14:00:19,N,110,1464.76861572,158.2
07/24/2024 14:15:11,N,110,1484.02598571,165.40000457
07/24/2024 14:30:09,N,110,1486.04683303,169.79999847
07/24/2024 14:45:09,N,110,1488.02722167,168.13246534
07/24/2024 15:00:14,N,110,1629.05404043,112.5
07/24/2024 15:15:13,N,110,1634.42661809,138.79005849
07/24/2024 15:30:11,N,110,1602.6849246,104.80000305
07/24/2024 15:45:09,N,110,1600.75982236,106.38698494
07/24/2024 16:00:15,N,110,1508.45120096,148.6
07/24/2024 16:15:10,N,110,1518.52967119,145.24027011
07/24/2024 16:30:14,N,110,1538.54867219,155.00000152
07/24/2024 16:45:10,N,110,1535.28946733,160.72255463
07/24/2024 17:00:20,N,110,1999.74770402,143.78241794
07/24/2024 17:15:10,N,110,2011.08910989,147.00000457
07/24/2024 17:30:12,N,110,2003.84461069,139.39999847
07/24/2024 17:45:10,N,110,1999.96318674,139.93005471
07/24/2024 18:00:14,N,110,1625.89637231,170.20000457
07/24/2024 18:15:10,N,110,1623.99609804,178.52123999
07/24/2024 18:30:10,N,110,1615.46953153,169.5
07/24/2024 18:45:10,N,110,1602.50292253,160.20000076
07/24/2024 19:00:14,N,110,1667.30070352,103.60000152
07/24/2024 19:15:09,N,110,1646.77798128,75.60000152
07/24/2024 19:30:10,N,110,1633.30161762,59.09999961
07/24/2024 19:45:10,N,110,1614.35942029,45.80000133
07/24/2024 20:00:19,N,110,1500.73665714,111.40000047
07/24/2024 20:15:08,N,110,1480.38591146,101.14847999
07/24/2024 20:30:08,N,110,1470.18291592,94.53935995
07/24/2024 20:45:08,N,110,1467.28279101,92.3
07/24/2024 21:00:13,N,110,2061.10699033,690.70182994
07/24/2024 21:15:09,N,110,2172.44127225,688.5
07/24/2024 21:30:10,N,110,2172.4059844,688.5
07/24/2024 21:45:10,N,110,2172.38259363,689.04961997
07/24/2024 22:00:15,N,110,1383.27401113,196.8
07/24/2024 22:15:11,N,110,1384.68411302,196.8
07/24/2024 22:30:10,N,110,1380.60792684,196.8
07/24/2024 22:45:10,N,110,1381.06597948,199.81431995
07/24/2024 23:00:15,N,110,1040.61300325,53.52081999
07/24/2024 23:15:11,N,110,1040.20479917,60.44439015
07/24/2024 23:30:10,N,110,1040.20208501,53.1
07/24/2024 23:45:09,N,110,1040.20490503,53.1
