SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
07/26/2024 00:00:16,N,963.11999893,2521.74599456,283.8
07/26/2024 00:15:11,N,963.95999908,2520.269001,282.5
07/26/2024 00:30:12,N,963.39999771,2521.35399627,282.7
07/26/2024 00:45:13,N,962.5399971,2520.49899291,282.1
07/26/2024 01:00:17,N,961.5399971,2521.80299758,281.2
07/26/2024 01:15:10,N,961.11999893,2519.08100128,285.73023967
07/26/2024 01:30:12,N,960.55999755,2518.79499816,278.5
07/26/2024 01:45:09,N,958.23999786,2516.19699478,278
07/26/2024 02:00:16,N,958.97999954,2519.24300003,276.78358453
07/26/2024 02:15:14,N,958.37999725,2516.33699417,276.1
07/26/2024 02:30:11,N,960.79999923,2518.76100158,281.24718991
07/26/2024 02:45:09,N,958.95999908,2516.91299819,276.7
07/26/2024 03:00:17,N,962.5399971,2523.07899475,280.8
07/26/2024 03:15:09,N,960.25999832,2518.21699523,280.66906593
07/26/2024 03:30:08,N,978.52000045,2536.47599792,298.09174585
07/26/2024 03:45:13,N,981.52000045,2539.47499847,300.1
07/26/2024 04:00:14,N,981.23999786,2541.30999755,317.4
07/26/2024 04:15:11,N,976.6800003,2534.44499588,312.5
07/26/2024 04:30:13,N,978.39999771,2536.17099761,314.4
07/26/2024 04:45:09,N,977.55999755,2535.32999801,313.4
07/26/2024 05:00:13,N,978.6800003,2548.64600181,301.4875375
07/26/2024 05:15:11,N,977.69999694,2545.36999702,299.5
07/26/2024 05:30:10,N,979.25999832,2546.93099784,301.1
07/26/2024 05:45:10,N,979.81999969,2547.48999977,301.7
07/26/2024 06:00:16,N,964.37999725,2524.44699859,283.59733242
07/26/2024 06:15:12,N,966.95999908,2524.73099899,286.4
07/26/2024 06:30:10,N,968.6800003,2526.45299911,287.4
07/26/2024 06:45:11,N,966.23999786,2525.01199722,285.2
07/26/2024 07:00:16,N,972.07999801,2532.1479988,301.88331177
07/26/2024 07:15:09,N,973.63999938,2531.41599655,302.2
07/26/2024 07:30:11,N,968.97999954,2541.7470026,308.10838775
07/26/2024 07:45:10,N,977.2199974,2549.98700046,314.95853196
07/26/2024 08:00:13,N,1103.57999801,2678.54999732,428.20095173
07/26/2024 08:15:10,N,1106.27999877,2676.4470005,429.9897859
07/26/2024 08:30:11,N,1105.97999954,2677.3990004,430.46280045
07/26/2024 08:45:11,N,1102.7199974,2670.38499259,424.83104654
07/26/2024 09:00:14,N,1105.57999801,2675.54599952,424.3099233
07/26/2024 09:15:09,N,1108.41999816,2676.08799934,431.0862462
07/26/2024 09:30:09,N,1103.85999679,2671.52999687,424.03558883
07/26/2024 09:45:10,N,1095.35999679,2663.03299522,413.7
07/26/2024 10:00:16,N,1098.91999816,2663.99099731,418.6
07/26/2024 10:15:11,N,1097.34000015,2680.60500335,417.5
07/26/2024 10:30:08,N,1096.07999801,2675.17099761,416.7
07/26/2024 10:45:08,N,1094.7199974,2654.83799886,416.81429157
