SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
07/28/2024 00:00:19,N,13219.75931,361.2,12858.55931
07/28/2024 00:15:12,N,13354.98101,360.9,12994.08101
07/28/2024 00:30:11,N,13306.07407,360.8,12945.27407
07/28/2024 00:45:12,N,12960.86689,361,12599.86689
07/28/2024 01:00:19,N,12469.15474,205.6,12263.55474
07/28/2024 01:15:13,N,12250.10416,150,12100.10416
07/28/2024 01:30:11,N,12053.38147,149.9,11903.48147
07/28/2024 01:45:09,N,11788.1137,149.9,11638.2137
07/28/2024 02:00:17,N,11553.67928,69.3,11484.37928
07/28/2024 02:15:12,N,11455.48184,69.8,11385.68184
07/28/2024 02:30:09,N,11335.87983,69.8,11266.07983
07/28/2024 02:45:11,N,11218.67139,69.8,11148.87139
07/28/2024 03:00:15,N,11227.06883,75,11152.06883
07/28/2024 03:15:09,N,11259.42476,75.1,11184.32476
07/28/2024 03:30:09,N,11119.5654,75,11044.5654
07/28/2024 03:45:15,N,10969.04986,74.7,10894.34986
07/28/2024 04:00:15,N,10756.95067,91.9,10665.05067
07/28/2024 04:15:12,N,10608.54345,92.2,10516.34345
07/28/2024 04:30:13,N,10481.45124,91.8,10389.65124
07/28/2024 04:45:09,N,10468.05573,91.9,10376.15573
07/28/2024 05:00:14,N,10231.72515,39.5,10192.22515
07/28/2024 05:15:09,N,10203.51256,39.6,10163.91256
07/28/2024 05:30:09,N,10331.47687,39.3,10292.17687
07/28/2024 05:45:10,N,10275.46535,39.6,10235.86535
07/28/2024 06:00:18,N,10169.27846,5.4,10163.87846
07/28/2024 06:15:11,N,10397.48623,-.7,10398.18623
07/28/2024 06:30:09,N,10260.12018,-.7,10260.82018
07/28/2024 06:45:09,N,10462.66773,-.6,10463.26773
07/28/2024 07:00:15,N,10547.95057,5,10542.95057
07/28/2024 07:15:10,N,10808.01496,19.2,10788.81496
07/28/2024 07:30:11,N,10893.46541,19.6,10873.86541
07/28/2024 07:45:10,N,10792.46731,19.5,10772.96731
07/28/2024 08:00:14,N,10743.52843,19.4,10724.12843
07/28/2024 08:15:10,N,10909.57406,19.4,10890.17406
07/28/2024 08:30:11,N,10383.21018,19.7,10363.51018
