SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
08/02/2024 00:00:19,N,85,1275.9220077,3.81131304
08/02/2024 00:15:13,N,85,1275.91800608,3.8
08/02/2024 00:30:11,N,85,1275.92300715,3.8
08/02/2024 00:45:11,N,85,1273.3259994,3.81049249
08/02/2024 01:00:17,N,85,1242.12000575,10.2
08/02/2024 01:15:11,N,85,1242.12700953,10.21170011
08/02/2024 01:30:11,N,85,1242.13200679,10.2
08/02/2024 01:45:10,N,85,1242.12100901,28.07304687
08/02/2024 02:00:19,N,85,1117.11801066,17.8998661
08/02/2024 02:15:12,N,85,1117.12000956,17.89045333
08/02/2024 02:30:11,N,85,1117.12200846,17.89969825
08/02/2024 02:45:10,N,85,1117.12000575,17.8948574
08/02/2024 03:00:15,N,85,1117.11901011,23.20052032
08/02/2024 03:15:11,N,85,1117.12300791,23.19068603
08/02/2024 03:30:11,N,85,1117.13000788,23.18456726
08/02/2024 03:45:13,N,85,1117.12501063,23.19538955
08/02/2024 04:00:20,N,85,1117.12200846,18.3908081
08/02/2024 04:15:11,N,85,1117.12000575,18.39562606
08/02/2024 04:30:16,N,85,1117.12600627,18.39050674
08/02/2024 04:45:08,N,85,1117.12500682,18.39701461
08/02/2024 05:00:15,N,85,1114.52099909,18.07870407
08/02/2024 05:15:10,N,85,1114.52300181,18.09912033
08/02/2024 05:30:08,N,85,1114.52099909,19.15423209
08/02/2024 05:45:09,N,85,1114.52799906,18.09228057
08/02/2024 06:00:17,N,85,1113.12300029,33.29697837
08/02/2024 06:15:12,N,85,1116.72299876,15.4
08/02/2024 06:30:11,N,85,1116.72400202,15.4
08/02/2024 06:45:09,N,85,1116.72199931,15.4
08/02/2024 07:00:16,N,85,1116.72099986,0
08/02/2024 07:15:10,N,85,1117.10693104,.37889367
08/02/2024 07:30:10,N,85,1118.15160377,1.36251556
08/02/2024 07:45:10,N,85,1124.40290124,2.6213119
08/02/2024 08:00:17,N,85,1125.55806906,84.41511063
08/02/2024 08:15:11,N,85,1114.13146073,205.67539196
08/02/2024 08:30:10,N,85,1111.22502858,208.15384798
08/02/2024 08:45:13,N,85,980.67819125,91.02664237
08/02/2024 09:00:18,N,85,981.91207034,21.57795619
08/02/2024 09:15:11,N,85,979.17928178,50.83688259
08/02/2024 09:30:09,N,85,974.27980382,46.87984752
08/02/2024 09:45:10,N,85,1028.21435935,61.35457134
08/02/2024 10:00:16,N,85,1019.61010081,152.48781299
08/02/2024 10:15:14,N,85,964.04031999,139.81887626
08/02/2024 10:30:10,N,85,954.47986323,127.74781227
08/02/2024 10:45:11,N,85,1004.52034051,129.16051101
08/02/2024 11:00:14,N,85,1240.72101123,212.49318294
08/02/2024 11:15:10,N,85,1236.96766002,213.21135883
08/02/2024 11:30:11,N,85,1236.40007693,210.36297111
08/02/2024 11:45:09,N,85,1236.98476321,198.29273109
08/02/2024 12:00:15,N,85,1236.57995612,123.57968235
08/02/2024 12:15:11,N,85,1236.96481521,131.62163829
08/02/2024 12:30:10,N,85,1238.68249042,140.27480377
08/02/2024 12:45:11,N,85,1243.77230556,143.55605
08/02/2024 13:00:14,N,85,1243.79853255,164.06585998
08/02/2024 13:15:10,N,85,1375.10672147,164.18431676
08/02/2024 13:30:10,N,85,1374.7340656,163.89442699
08/02/2024 13:45:10,N,85,1452.87484796,163.78245372
08/02/2024 14:00:14,N,2465.22094726,3662.12074716,2542.51182556
08/02/2024 14:15:11,N,2464.5616455,3659.62422139,2548.29601284
08/02/2024 14:30:10,N,2464.5616455,3660.9861408,2556.96418285
08/02/2024 14:45:12,N,2465.88024902,3670.89791352,2565.53121757
08/02/2024 15:00:14,N,2465.88024902,3837.18543775,2562.16582946
08/02/2024 15:15:12,N,2465.88024902,3777.1855045,2569.73221664
08/02/2024 15:30:10,N,2464.5616455,3774.30529077,2577.22917251
08/02/2024 15:45:09,N,2465.22094726,3782.5256706,2584.59608917
08/02/2024 16:00:17,N,2465.22094726,3825.75679547,2639.62173538
08/02/2024 16:15:10,N,2465.22094726,3834.02253301,2639.59714488
08/02/2024 16:30:13,N,2463.90234374,3839.37616307,2639.45355587
08/02/2024 16:45:09,N,2464.5616455,3839.77211148,2639.21964787
08/02/2024 17:00:17,N,2463.90234375,3835.40735967,2585.57961864
08/02/2024 17:15:10,N,2464.5616455,3838.86291654,2586.08893282
08/02/2024 17:30:10,N,2463.90234375,3837.97559888,2587.94356627
08/02/2024 17:45:09,N,2463.90234375,3837.73080022,2592.55583305
08/02/2024 18:00:23,N,2463.90234374,3939.64129502,2638.41628211
08/02/2024 18:15:11,N,2464.5616455,3941.43937261,2637.86306374
08/02/2024 18:30:10,N,2463.90234375,3943.19559629,2636.84654796
08/02/2024 18:45:10,N,2463.24304199,3937.61954362,2634.72600187
08/02/2024 19:00:15,N,2463.90234375,3949.62855298,2582.10511624
08/02/2024 19:15:13,N,2462.58374023,3944.60810692,2581.43311871
08/02/2024 19:30:09,N,2463.90234375,3949.75176591,2580.10801872
08/02/2024 19:45:10,N,2463.24304199,3946.30098779,2579.1996885
08/02/2024 20:00:16,N,2463.24304199,4195.68318693,2595.53859782
08/02/2024 20:15:11,N,2462.58374023,4199.37038722,2584.51275088
08/02/2024 20:30:11,N,2463.90234375,4199.72466197,2584.5
08/02/2024 20:45:10,N,2463.90234375,4196.84467997,2584.5
08/02/2024 21:00:13,N,2463.90234374,3823.58348765,2674.1121282
08/02/2024 21:15:11,N,2463.24304199,3823.53145899,2674.1
08/02/2024 21:30:10,N,2462.58374023,3823.32451167,2674.11316642
08/02/2024 21:45:12,N,2463.24304199,3823.82466044,2674.1133677
08/02/2024 22:00:16,N,2463.90234375,4056.46707036,2806.8
08/02/2024 22:15:10,N,2463.90234375,4052.90140798,2806.82740645
08/02/2024 22:30:09,N,2463.90234375,4045.46778371,2806.81629639
08/02/2024 22:45:10,N,2461.26501464,4040.20140638,2806.80198936
08/02/2024 23:00:16,N,2462.58374023,3792.5181724,2487.31656239
08/02/2024 23:15:10,N,2463.90234375,3793.49396052,2487.31479816
08/02/2024 23:30:10,N,2463.90234375,3792.85356059,2487.30683975
08/02/2024 23:45:10,N,2463.24304199,3791.14452662,2487.31709251
