SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
08/04/2024 00:00:19,N,2829.8603754,9726.32670136,4572.04276948
08/04/2024 00:15:15,N,2829.05279731,9712.82741608,4567.13706058
08/04/2024 00:30:11,N,2828.35847473,9687.70120951,4516.89322809
08/04/2024 00:45:12,N,2831.61850357,9679.90268638,4621.27002751
08/04/2024 01:00:24,N,2835.18016242,9040.17672362,4446.26442826
08/04/2024 01:15:14,N,2833.69351482,9003.45630541,4315.01141133
08/04/2024 01:30:11,N,2833.41644859,8916.91942253,4318.43129289
08/04/2024 01:45:10,N,2827.89054965,9018.98583259,4307.51020831
08/04/2024 02:00:21,N,2829.17012596,8851.22062292,4371.9211506
08/04/2024 02:15:14,N,2830.59776115,8854.85407247,4251.60879871
08/04/2024 02:30:10,N,2830.89062404,8842.72877731,4242.36011526
08/04/2024 02:45:09,N,2832.81502723,8844.3168055,4243.69749559
08/04/2024 03:00:16,N,2827.74888038,8855.11889615,4139.76135096
08/04/2024 03:15:11,N,2828.27428722,8732.36867394,4147.7610087
08/04/2024 03:30:10,N,2825.55502033,8735.35796704,4151.10673521
08/04/2024 03:45:13,N,2825.09069061,8730.85978379,4154.00871359
08/04/2024 04:00:16,N,2824.89695549,8977.46631732,4176.14473103
08/04/2024 04:15:10,N,2827.89286518,8974.87276702,4201.56384368
08/04/2024 04:30:16,N,2833.6627407,8968.43930893,4231.16878636
08/04/2024 04:45:10,N,2838.16305541,8971.7747665,4260.17388249
08/04/2024 05:00:15,N,2836.27901458,9069.17175632,4298.46197705
08/04/2024 05:15:11,N,2842.92436027,9076.93231373,4337.70834155
08/04/2024 05:30:10,N,2842.68964385,9083.7608202,4376.96044021
08/04/2024 05:45:10,N,2837.39712238,8840.67571144,4376.28069729
08/04/2024 06:00:21,N,2841.83294868,8995.12894183,4416.18436429
08/04/2024 06:15:11,N,2849.07694244,8994.38282423,4447.25083482
08/04/2024 06:30:11,N,2849.33634185,8997.05548022,4478.93210947
08/04/2024 06:45:10,N,2850.49842262,9003.55077123,4511.64726781
08/04/2024 07:00:16,N,2850.45662403,8810.07287454,4433.86949027
08/04/2024 07:15:10,N,2846.04854011,8923.56127148,4412.43892904
08/04/2024 07:30:12,N,2857.63629341,8805.66690426,4428.78376361
