SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL  WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
08/06/2024 00:00:20,N,9507.47822834,12631.62709037,7143.11544936,.13656575,.13656575,0,963.53590869,1381.7366731,936.84166717,10526.27145
08/06/2024 00:15:11,N,9342.86892862,12083.55371615,6663.45443725,0,0,0,943.67283153,1381.71962331,938.92962265,10300.14909
08/06/2024 00:30:10,N,8878.79888558,11867.49332967,6256.45443725,0,0,0,946.40778654,1384.53399442,941.49799728,10052.37927
08/06/2024 00:45:12,N,8479.67136432,11657.83393952,6032.45443725,0,0,0,943.6894555,1384.28113912,937.32513809,9585.20538
08/06/2024 01:00:19,N,8294.61654268,11621.6048989,6039.45443725,1.88955533,1.88955533,0,949.38683462,1402.4032378,945.18824005,9340.60612
08/06/2024 01:15:12,N,8137.08582419,11625.66782553,5871.45443725,.62174832,.62174832,0,952.85176801,1410.35841511,948.41341781,9213.90809
08/06/2024 01:30:10,N,7992.30614803,11625.10145877,5871.45443725,1.18967461,1.18967461,0,951.67805337,1416.8534827,947.22048568,9012.41503
08/06/2024 01:45:11,N,7949.51975039,11623.72176772,5871.45620091,1.7708131,1.7708131,0,955.77700138,1425.81863926,950.9216423,8946.47062
08/06/2024 02:00:20,N,7916.52180325,11630.61858576,5874.45448656,1.50306618,1.50306618,0,952.5126357,1436.84705756,948.11205673,8903.96195
08/06/2024 02:15:11,N,7888.24337171,11778.30516536,5874.45693263,0,0,0,953.98194539,1444.51153968,948.98753738,8880.26199
08/06/2024 02:30:10,N,7841.71335325,11777.6984716,5705.45725209,0,0,0,953.11130428,1450.53637336,947.16237258,8837.45022
08/06/2024 02:45:09,N,7813.79390419,11779.78741906,5705.4571464,0,0,0,952.55330181,1452.47727988,946.56828308,8797.97007
08/06/2024 03:00:17,N,7769.66556702,11800.86416411,5708.45674254,0,0,0,953.26315045,1448.97363589,946.76863861,8740.86695
08/06/2024 03:15:10,N,7740.97158449,11805.61895224,5708.45751045,0,0,0,955.79048442,1450.21827624,950.01427841,8723.42468
08/06/2024 03:30:10,N,7624.89109238,11806.02354671,5708.45971873,0,0,0,960.34007692,1454.90372012,954.6887207,8650.74144
08/06/2024 03:45:15,N,7691.81164146,11800.87923178,5708.45512091,.77725917,.77725917,0,963.31419134,1457.68969272,957.48169708,8748.20072
08/06/2024 04:00:18,N,7703.37328677,11843.60997502,5742.45529574,0,0,0,961.61455821,1467.21772311,953.60372161,8708.673
08/06/2024 04:15:11,N,7635.77454969,11797.21193096,5710.45443725,0,0,0,962.84803047,1468.0618851,956.4438858,8689.10016
08/06/2024 04:30:16,N,7728.1103713,11748.82855913,5710.45443725,0,0,0,966.79447078,1471.59432147,959.97732162,8731.63389
08/06/2024 04:45:10,N,7891.60467874,11751.5940298,5710.45443725,0,0,0,963.11084127,1467.25951693,955.64952087,8701.3542
08/06/2024 05:00:17,N,7761.68060614,11739.01719336,5713.45849401,0,0,0,962.95247006,1442.02469848,953.91570281,8807.56117
08/06/2024 05:15:11,N,7765.80079419,11777.11247953,5713.45526228,0,0,0,979.92283535,1437.52849005,956.42449188,8766.67773
08/06/2024 05:30:09,N,7829.16348919,11771.9977669,5713.45576139,0,0,0,976.12216067,1440.25197027,958.13896942,8834.95254
08/06/2024 05:45:10,N,7961.94941289,11764.93371203,5713.45625142,0,0,0,964.32423019,1437.41864965,955.31165313,8855.4867
08/06/2024 06:00:16,N,7897.93700226,11691.25574494,5715.45964815,0,0,0,990.33967703,1455.69240377,959.78440856,8864.41946
08/06/2024 06:15:11,N,8098.36376179,11666.86927107,5715.45785742,0,0,0,987.15659904,1469.41435073,959.10435485,9013.15915
08/06/2024 06:30:09,N,8244.9862369,11649.04520351,5715.45922669,0,0,0,970.80399583,1473.76816008,963.46216201,9155.83161
08/06/2024 06:45:11,N,8248.90622208,11641.66688483,5715.45443725,0,0,0,975.22311043,1477.44887755,967.13888168,9207.94953
08/06/2024 07:00:14,N,8284.70907764,11677.80870155,5716.45443725,0,0,0,971.61225868,1500.8907759,964.9857788,9255.73
08/06/2024 07:15:13,N,8400.54737315,11779.50010233,5885.59606933,0,0,0,966.2606775,1494.04314254,960.13714599,9393.23873
08/06/2024 07:30:12,N,8426.59688507,11999.45197247,5885.59606933,0,0,0,975.12574873,1494.90747451,959.61047363,9494.62571
08/06/2024 07:45:10,N,8546.47198926,12269.22813128,5885.09609985,0,0,0,978.48449039,1494.09924793,956.02024841,9568.35951
08/06/2024 08:00:13,N,8557.22139483,12554.03185843,5879.59606933,0,0,0,979.65771412,1509.11985492,953.86585235,9594.58724
08/06/2024 08:15:12,N,8616.00683714,12853.77751874,5914.59606933,0,0,0,963.57990354,1501.99932527,948.30732727,9681.2184
08/06/2024 08:30:09,N,8521.91453574,13106.54695843,5919.39093017,0,0,0,974.69163489,1506.81888246,953.13088226,9648.48903
08/06/2024 08:45:11,N,8658.16388795,13300.07973336,5910.3093872,0,0,0,916.12558388,1451.23410844,900.71710586,9561.66085
08/06/2024 09:00:15,N,8597.25400679,13449.58269166,5891.40939331,0,0,0,881.76169687,1411.40170335,872.79671096,9555.26235
08/06/2024 09:15:12,N,8838.05471363,13552.82085465,5892.50936889,0,0,0,873.91288644,1407.98259401,868.21859741,9698.73684
08/06/2024 09:30:10,N,8902.73761842,13602.54646109,5729.90936279,0,0,0,874.29231452,1448.90550279,869.29130935,9789.30789
08/06/2024 09:45:13,N,8989.47052887,13477.41726207,5730.50936889,0,0,0,870.7727251,1448.32929992,866.48000335,9709.21852
08/06/2024 10:00:18,N,9288.87112359,13407.70842528,5715.50936889,0,0,0,869.14853668,1313.91267204,864.92546844,10154.404
08/06/2024 10:15:11,N,9562.53749733,13446.9377725,5715.50936889,0,0,0,868.55907871,1315.59072303,862.70432662,10335.5685
08/06/2024 10:30:09,N,9990.00266871,13558.37809371,5715.50936889,0,0,0,865.70751234,1309.77716636,860.01896286,10730.99303
08/06/2024 10:45:11,N,10536.82187836,13575.02332496,5883.50936889,0,0,0,865.94086045,1306.55826807,859.22236633,11033.685
08/06/2024 11:00:17,N,11117.52919449,13859.10525584,6131.54110717,0,0,0,858.89182758,1244.57297563,857.02467727,11754.27115
08/06/2024 11:15:12,N,11611.76259922,13620.96746277,5959.98617553,0,0,0,856.51669597,1238.67740678,852.22701263,12168.17915
08/06/2024 11:30:11,N,11911.85443891,13781.28811132,6153.98617553,0,0,0,852.60218883,1235.03984117,848.5854454,12502.08022
08/06/2024 11:45:12,N,12701.83835674,14103.07027244,6638.48617553,0,0,0,851.38598877,1236.08813095,847.03253555,12955.26239
08/06/2024 12:00:14,N,12986.50525857,14084.98316311,6704.48617553,0,0,0,852.33568298,1194.74455797,847.98775494,13576.36712
08/06/2024 12:15:12,N,13579.41430109,14422.40693521,6864.48617553,0,0,0,848.30750179,1202.59561824,844.53701782,14265.70207
08/06/2024 12:30:10,N,14115.64962071,14789.40441917,7914.19212532,0,0,0,852.29367847,1205.45958325,847.41298386,14783.52371
08/06/2024 12:45:12,N,14419.47577199,15056.24971532,8357.48617553,0,0,0,873.15803557,1225.25836849,867.17786407,14997.65739
08/06/2024 13:00:15,N,14809.67783546,15386.47623395,8637.48617553,0,0,0,873.35000804,1235.90168285,868.84197998,15434.15227
08/06/2024 13:15:11,N,15176.18833351,15635.51244688,9038.79083251,0,0,0,851.55288569,1211.52278423,846.47208404,15943.99593
08/06/2024 13:30:10,N,15325.03357505,15997.99359845,9186.35617446,0,0,0,845.79939395,1205.82657527,840.77137756,16062.18698
08/06/2024 13:45:10,N,15441.48968243,16038.88400697,9274.23617553,0,0,0,830.79807009,1184.71463108,820.65733146,16289.23497
08/06/2024 14:00:15,N,15639.10695838,16188.58427762,9483.28215789,0,0,0,824.99403029,1212.59088993,818.53909111,16485.23642
08/06/2024 14:15:11,N,15829.18876107,16451.39530705,9637.93764495,0,0,0,835.27126038,1214.8365097,817.39811134,16717.88687
08/06/2024 14:30:13,N,15622.41396713,16193.86272954,9843.97618102,0,0,0,834.16251087,1215.64897346,814.586277,16482.59623
08/06/2024 14:45:11,N,15499.97038935,16297.00510072,9631.30030059,0,0,0,839.29885646,1223.57388114,813.40108108,16424.94555
08/06/2024 15:00:17,N,15502.86723899,16252.04460096,9596.79947662,0,0,0,831.61563296,1202.06106948,815.3474636,16258.54188
08/06/2024 15:15:12,N,15573.85060786,16343.51762818,9594.79947662,0,0,0,822.05940108,1196.27342796,814.19933319,16388.04866
08/06/2024 15:30:11,N,15700.16599538,16236.17659738,9561.8249607,6.71000003,6.71000003,0,827.42665934,1197.14674186,819.30914688,16309.10314
08/06/2024 15:45:11,N,15701.18067932,16153.07748889,9707.88321685,13.67302608,13.67302608,0,832.58037167,1200.0809307,822.24152755,16495.43806
08/06/2024 16:00:18,N,15770.32866286,16324.84608935,9561.39947128,18.73406982,18.73406982,0,828.38366106,1204.93498229,816.12008476,16533.03363
08/06/2024 16:15:11,N,15688.96000289,16425.24325131,9620.35936546,17.23358345,17.23358345,0,824.89176392,1153.64696407,814.49596118,16479.02487
08/06/2024 16:30:13,N,15816.18459319,16486.52099561,9733.44357871,19.51519966,19.51519966,0,831.82855539,1159.72543239,824.30743217,16581.03627
08/06/2024 16:45:10,N,15831.34760379,16476.45303964,9749.68616866,23.47606468,23.47606468,0,829.38144195,1156.43176198,821.0067656,16596.67145
08/06/2024 17:00:17,N,16050.05738638,16620.95552777,9902.55618285,23.5612812,23.5612812,0,824.90218836,1161.65586376,816.56586647,16695.59153
08/06/2024 17:15:13,N,15907.66354077,16508.78258698,9774.08617401,25.32968139,25.32968139,0,827.47264528,1161.5763123,818.77932,16729.08343
08/06/2024 17:30:12,N,15914.79269122,16350.11267661,9823.65843963,23.40454101,23.40454101,0,833.72226685,1167.33582139,824.81982922,16546.81851
