SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
08/06/2024 00:00:20,N,2251.22213721,3931.30095215,1252.17566536,9337.21160757,9340.02309286,1236.27194837,3.94700469,1246.05198383,0,11582.85309
08/06/2024 00:15:11,N,2148.53279662,3693.08652563,1215.95975731,9369.71423149,9436.46665764,1270.74695239,49.72123572,1146.31831216,0,11569.56498
08/06/2024 00:30:10,N,2108.64391636,3745.86985274,1222.75704048,9387.92609655,9500.64383757,1236.34994421,105.26203076,1145.69564485,0,11580.04372
08/06/2024 00:45:12,N,2107.44552063,3767.77155657,1223.04849861,9651.57986009,9655.13750398,1192.70395634,3.93988446,1096.47578811,0,11652.90319
08/06/2024 01:00:19,N,2107.15618562,4046.50512881,1223.04767464,9663.52466434,9742.48274463,1195.39694616,.29304778,794.57559156,0,11809.89753
08/06/2024 01:15:12,N,2165.72457337,4048.33355065,1223.47301338,9583.53288799,9715.42194181,1200.17996273,24.17554303,747.35040283,0,11712.49884
08/06/2024 01:30:10,N,2109.35670804,4077.55814452,1223.91057442,9538.37591339,9608.31705547,1215.3029432,.28656248,748.09713792,0,11597.8833
08/06/2024 01:45:11,N,2127.31036282,4154.66656538,1223.3200898,9331.72455841,9447.69550913,1191.78994373,.32314128,748.52061367,0,11408.53407
08/06/2024 02:00:20,N,2107.07541179,4024.6147923,1223.24172066,9231.86141264,9245.34330141,1119.83795658,.24168189,894.7187457,0,11217.09815
08/06/2024 02:15:11,N,2107.10632801,3963.8586144,1222.85480354,8847.98634207,8902.85753691,1081.54596529,.27717753,944.16870164,0,10931.05962
08/06/2024 02:30:10,N,2107.40375041,4009.070641,1222.66373299,8396.900514,8489.40765798,1061.20196781,1.78507582,944.53139162,0,10486.69213
08/06/2024 02:45:09,N,2116.58727049,4029.6115696,1222.14316414,8078.9023472,8166.507959,1047.83295521,2.10454219,991.99846982,0,10196.74204
08/06/2024 03:00:17,N,2109.56142497,4031.66167088,1223.25409554,7928.74200066,8028.64612492,1072.52994675,.27358086,796.14241456,0,10042.19071
08/06/2024 03:15:10,N,2108.78665137,3948.60744972,1223.19904182,7776.65069725,7811.41649057,1024.8139621,.27360054,857.25289869,0,9820.99912
08/06/2024 03:30:10,N,2106.80114412,3991.1612453,1222.95389412,7770.67320214,7846.26610957,1.90199992,2.12112668,855.91490316,0,9581.27186
08/06/2024 03:45:15,N,2106.4429934,3987.20198031,1223.22424934,7566.55767774,7639.9039607,1.88199994,.28806388,856.14788866,0,9296.91873
08/06/2024 04:00:18,N,2188.82930278,4149.15208574,1223.14195869,7199.59680771,7277.20074868,2.00499997,.27815442,735.28970384,0,8944.24126
08/06/2024 04:15:11,N,1927.16616239,3975.80120121,1223.1021551,7197.21822714,7200.1118505,1.56599996,.24415342,692.62990713,0,8682.15044
08/06/2024 04:30:16,N,2092.35682964,3994.90316911,1222.79451607,6677.35910862,6770.68552845,1.20099995,2.30679531,692.59930467,0,8320.53286
08/06/2024 04:45:10,N,2236.26468992,4073.54141422,1223.41857002,5881.15734516,5991.29716466,1.20099995,51.96249258,692.59578752,0,8096.52938
08/06/2024 05:00:17,N,2122.22593474,4059.55702801,1216.93123863,5620.38103514,5716.91870909,1.16399989,.26385815,939.18241167,0,7864.47189
08/06/2024 05:15:11,N,2089.68362521,3905.76001401,1216.62864874,5922.73637204,5924.41731076,1.46999988,.25848016,919.46306753,0,8006.60065
08/06/2024 05:30:09,N,2134.27986913,3954.24406768,1216.88802574,5830.03661173,5883.23377913,1.64599988,.26270224,919.06658601,0,8100.64806
08/06/2024 05:45:10,N,2043.91164302,4095.40228124,1217.35448692,5917.89417725,5919.68313866,1.59199998,.27707776,916.91286325,0,7995.28729
08/06/2024 06:00:16,N,2045.46920299,3755.9536366,1217.81745384,5735.00225687,5736.52801561,1.90699992,13.25306515,1370.68439674,0,7866.94913
08/06/2024 06:15:11,N,2046.05436801,3618.07099767,1218.04804466,5710.56122681,5712.12374779,.1,10.46507185,1370.43176937,0,7754.07533
08/06/2024 06:30:09,N,2094.38262319,3675.3484201,1217.5534005,5587.82097864,5589.12377405,.1,15.27088224,1370.73028278,0,7670.76569
08/06/2024 06:45:11,N,2093.73181509,3756.05272789,1217.56499718,5588.09201961,5589.57954555,.1,11.33832356,1360.68308734,0,7647.0542
08/06/2024 07:00:14,N,2121.01353461,4043.64887959,1224.05660103,5696.57203984,5697.94445729,.1,11.95827154,1036.13491296,0,7768.39424
