SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL  WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
08/07/2024 00:00:15,N,20480.79081468,27317.07794216,13488.65799331,1867.28262591,1867.28262591,0,67.58692836,850.82700934,50,22228.77387
08/07/2024 00:15:12,N,20522.5550435,27321.28376463,13487.78137969,1883.62646985,1883.62646985,0,66.51966768,852.12301078,50,22588.44063
08/07/2024 00:30:10,N,20652.44688686,26943.17524465,13488.67278671,1859.31870377,1859.31870377,0,50.36905187,853.33101096,50,22439.1266
08/07/2024 00:45:11,N,20536.98231631,26927.40127258,13486.41082382,1846.51027178,1846.51027178,0,95.70840439,853.32700934,50,22486.67177
08/07/2024 01:00:20,N,20059.58202447,26973.24990117,13551.36266708,1736.82532083,1736.82532083,0,94.45923614,835.52101435,50,22121.48807
08/07/2024 01:15:11,N,19783.19891018,26988.07379286,13563.13746261,1662.97723436,1662.97723436,0,92.49524614,835.52901568,50,21652.92226
08/07/2024 01:30:10,N,19520.43105542,27053.85129604,13563.96256637,1622.77295827,1622.77295827,0,107.95831862,835.52401461,50,21288.8515
08/07/2024 01:45:10,N,19396.0804192,27052.36729801,13560.25822067,1591.37748241,1591.37748241,0,98.53399705,835.5220138,50,21127.62986
08/07/2024 02:00:16,N,18996.00482424,27113.13275605,13637.06428527,1557.26121568,1557.26121568,0,152.85440957,768.42399707,50,20747.74632
08/07/2024 02:15:13,N,19203.54667614,27134.41251536,13632.54031753,1577.89714527,1577.89714527,0,71.79387211,768.42399707,50,20781.15771
08/07/2024 02:30:10,N,19099.28987892,27054.08811028,13645.4797821,1550.41946935,1550.41946935,0,72.55210494,768.42199626,50,20642.13015
08/07/2024 02:45:10,N,19103.35924461,27050.56608725,13645.1658287,1582.18569779,1582.18569779,0,69.33083319,768.42799678,50,20733.94765
08/07/2024 03:00:15,N,19001.68393873,26878.07988849,13661.93889236,1557.49989223,1557.49989223,0,57.25311565,818.41899981,50,20609.78423
08/07/2024 03:15:10,N,18964.48395512,26877.82015987,13667.04226303,1554.59245622,1554.59245622,0,50.05081558,818.42399897,50,20432.04231
08/07/2024 03:30:08,N,18833.12904579,26905.697767,13665.88406372,1498.27347564,1498.27347564,0,50.0506134,818.42399707,50,20267.03785
08/07/2024 03:45:13,N,18900.03344692,26899.06248653,13662.03255081,1418.70859313,1418.70859313,0,52.0530157,818.42199816,50,20340.11938
08/07/2024 04:00:16,N,19029.69492228,26946.70982022,13658.1472702,1367.43660593,1367.43660593,0,50.05075836,836.82300296,50,20240.25292
08/07/2024 04:15:12,N,19012.50913088,26933.60734945,13661.26657104,1321.08097183,1321.08097183,0,50.05067825,836.8220035,50,20372.27835
08/07/2024 04:30:15,N,18823.76853789,26933.48694993,13663.51443481,1258.71732711,1258.71732711,0,53.25283432,836.82100215,50,20097.71318
08/07/2024 04:45:11,N,18861.97260374,26925.47100312,13676.79594421,1251.74812602,1251.74812602,0,58.6303726,836.82300105,50,20147.95797
08/07/2024 05:00:14,N,19036.67268048,27000.64704727,13551.60831832,1163.50570833,1163.50570833,0,52.45314335,734.52700343,50,20085.12287
08/07/2024 05:15:11,N,19218.67315498,27025.85924128,13551.58963012,1105.97570276,1105.97570276,0,59.23681712,734.52400508,50,20320.45617
08/07/2024 05:30:11,N,19258.27191139,27027.50462474,13551.49227905,1054.61326193,1054.61326193,0,62.54156517,734.52200427,50,20315.82962
08/07/2024 05:45:09,N,19329.41501034,27050.02618361,13548.66003799,1050.56185686,1050.56185686,0,119.65795946,734.52000537,50,20439.77908
08/07/2024 06:00:15,N,19452.82541419,27101.35833658,13591.1051445,1046.8021512,1046.8021512,0,164.35568857,728.42100825,50,20558.15163
08/07/2024 06:15:10,N,19951.44346108,27141.94020297,13592.22770309,1046.63524556,1046.63524556,0,154.75121307,728.42101206,50,20905.32789
