SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
08/08/2024 00:00:17,N,919.52896881,1573.89496409,812.4
08/08/2024 00:15:11,N,919.7898674,1574.27886158,812.9
08/08/2024 00:30:11,N,919.88404083,1574.35504305,812.8
08/08/2024 00:45:12,N,920.68495178,1575.39194762,814.21765459
08/08/2024 01:00:17,N,921.0376892,1575.874691,812.4
08/08/2024 01:15:14,N,917.97619628,1572.94419491,809.73246223
08/08/2024 01:30:10,N,921.29822921,1575.13922655,812.7
08/08/2024 01:45:11,N,922.62361145,1576.42961227,812.6
08/08/2024 02:00:18,N,920.37101745,1575.9710164,814.9
08/08/2024 02:15:11,N,921.91083526,1577.63982939,813.6
08/08/2024 02:30:11,N,923.26872253,1579.10972321,815.9
08/08/2024 02:45:12,N,919.19720458,1574.96220016,812
08/08/2024 03:00:16,N,918.81369781,1576.08269691,812.3
08/08/2024 03:15:10,N,921.96437454,1579.32836818,813.6
08/08/2024 03:30:11,N,923.04305267,1579.48905158,814.4
08/08/2024 03:45:14,N,923.24509429,1580.83709406,815.9
08/08/2024 04:00:17,N,925.21678161,1582.910784,817.6
08/08/2024 04:15:11,N,922.13206481,1579.93206524,812.8
08/08/2024 04:30:14,N,925.47897338,1583.4119699,818.3
08/08/2024 04:45:10,N,928.19612884,1586.23613023,820.9
08/08/2024 05:00:14,N,927.00271987,1585.14572024,826.8
08/08/2024 05:15:10,N,928.96685409,1587.23285484,828.7
08/08/2024 05:30:09,N,929.26383209,1587.605834,828.8
08/08/2024 05:45:09,N,930.09397125,1588.51497268,829.4
08/08/2024 06:00:16,N,929.0385437,1587.54253911,825.10375967
08/08/2024 06:15:12,N,929.27472686,1587.87172174,821.9
08/08/2024 06:30:09,N,928.98530578,1587.5943067,822.6140174
08/08/2024 06:45:09,N,928.89345169,1587.54845261,822.2
08/08/2024 07:00:14,N,931.67491912,1585.527915,835.52594035
08/08/2024 07:15:11,N,926.41230773,1577.09430599,827.759
08/08/2024 07:30:12,N,929.1714096,1579.87240624,832.359
08/08/2024 07:45:11,N,927.36256408,1578.07656502,829.159
08/08/2024 08:00:18,N,929.90066528,1570.71766495,822.1
08/08/2024 08:15:10,N,929.81511306,1578.07211518,823.6
08/08/2024 08:30:09,N,927.63349533,1593.93950104,819.3
08/08/2024 08:45:09,N,923.17060089,1590.47460007,815.5
08/08/2024 09:00:12,N,921.31633377,1594.35533118,814.979
08/08/2024 09:15:12,N,919.85420227,1596.25219964,814.2
08/08/2024 09:30:13,N,918.35360336,1596.41960763,813.1
08/08/2024 09:45:10,N,915.37361526,1594.99461221,810.3
08/08/2024 10:00:15,N,916.16053771,1592.43653345,811.2
08/08/2024 10:15:11,N,915.83318328,1589.80818033,810.8
08/08/2024 10:30:09,N,918.89159393,1599.6615982,813.6
08/08/2024 10:45:09,N,913.38098526,1674.16098785,809.1
08/08/2024 11:00:16,N,903.70587158,1666.58887481,824.4
08/08/2024 11:15:11,N,920.38989257,1680.98489761,850.6287815
08/08/2024 11:30:09,N,931.33632659,1738.95933151,851.8
08/08/2024 11:45:10,N,928.98751449,1735.54451751,848.4
08/08/2024 12:00:14,N,927.7312622,1745.82266235,821.7
08/08/2024 12:15:12,N,929.42063903,1697.40154647,824.45489537
08/08/2024 12:30:09,N,926.72164916,1599.50804901,821.9
08/08/2024 12:45:10,N,921.47367095,1593.84207534,816.3
08/08/2024 13:00:18,N,921.50131988,1542.7693119,837.427926
08/08/2024 13:15:11,N,923.15071487,1542.1157093,841.463102
08/08/2024 13:30:13,N,920.06438064,1539.0353794,839.37816362
08/08/2024 13:45:12,N,918.13567352,1533.93867301,832.75700112
08/08/2024 14:00:16,N,914.94703674,1534.69802856,824.78248448
08/08/2024 14:15:12,N,907.70698547,1570.5689888,816.03247444
08/08/2024 14:30:11,N,899.62874221,1561.48274993,809.49940123
08/08/2024 14:45:11,N,904.44265747,1556.28365707,812.8158823
08/08/2024 15:00:17,N,893.48918151,1651.03618621,798.78266377
08/08/2024 15:15:10,N,891.97902297,1696.58301925,797.39568071
08/08/2024 15:30:12,N,893.89611434,1698.50811386,799.59936356
08/08/2024 15:45:11,N,896.20870971,1706.80771255,802.6368632
08/08/2024 16:00:17,N,913.7021408,1722.69414138,832.3
08/08/2024 16:15:12,N,944.12879943,1750.40679931,865.51735525
08/08/2024 16:30:14,N,942.82613372,1749.63013076,862.83542512
08/08/2024 16:45:11,N,941.00404357,1746.46744155,859.34160618
08/08/2024 17:00:18,N,943.29510498,1758.14421463,845.72896337
08/08/2024 17:15:13,N,942.99715423,1755.44686889,840.3
08/08/2024 17:30:12,N,945.72928619,1758.10919189,841.6
08/08/2024 17:45:13,N,942.91213226,1752.73435211,839.8
08/08/2024 18:00:17,N,926.10246658,1740.47856903,827.3
08/08/2024 18:15:12,N,919.19734573,1731.30864715,822.01514858
08/08/2024 18:30:12,N,921.8322792,1733.9062767,822.7
08/08/2024 18:45:11,N,921.11999893,1729.35489654,823.71379836
08/08/2024 19:00:16,N,925.27892684,1735.29723739,820.8
08/08/2024 19:15:12,N,921.60019683,1729.07188796,819.6870133
08/08/2024 19:30:12,N,922.38471221,1728.38022232,824.14943666
08/08/2024 19:45:13,N,930.61826324,1736.650177,950.10436401
08/08/2024 20:00:15,N,921.06074523,1729.05544662,935.50852737
08/08/2024 20:15:13,N,911.03438186,1713.50388717,933.99228668
08/08/2024 20:30:11,N,911.92339324,1710.70139694,998.85289154
08/08/2024 20:45:11,N,916.3358078,1715.23981094,971.19956359
08/08/2024 21:00:17,N,917.77616119,1720.13716888,980.2701332
08/08/2024 21:15:13,N,922.85976409,1722.84037017,907.38836233
08/08/2024 21:30:11,N,927.07302093,1727.1990242,912.54066452
08/08/2024 21:45:11,N,927.63594055,1727.5576477,906.2
08/08/2024 22:00:20,N,928.4189682,1878.87327575,828.7439105
08/08/2024 22:15:11,N,929.54263687,1874.18233871,830.41030343
08/08/2024 22:30:11,N,927.8603363,1863.5610466,829.69251625
08/08/2024 22:45:10,N,931.08132934,1863.16882896,829.8
08/08/2024 23:00:15,N,929.94212722,1860.5260353,828.92187626
08/08/2024 23:15:10,N,932.03344345,1860.30404663,828.40169217
08/08/2024 23:30:11,N,931.31258392,1859.45022201,831.63235287
08/08/2024 23:45:11,N,933.06500625,1861.1329708,826.1
