SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
08/10/2024 00:00:16,N,15665.77901,360.7,15305.07901
08/10/2024 00:15:11,N,15390.58444,361.3,15029.28444
08/10/2024 00:30:11,N,15284.22937,361.4,14922.82937
08/10/2024 00:45:13,N,15201.74333,360.6,14841.14333
08/10/2024 01:00:18,N,15144.81173,361.1,14783.71173
08/10/2024 01:15:11,N,14982.05534,361.1,14620.95534
08/10/2024 01:30:10,N,14855.25162,361.2,14494.05162
08/10/2024 01:45:09,N,14743.90493,360.9,14383.00493
08/10/2024 02:00:16,N,14762.37735,322.9,14439.47735
08/10/2024 02:15:11,N,14820.16337,205.3,14614.86337
08/10/2024 02:30:11,N,14663.79703,205.2,14458.59703
08/10/2024 02:45:09,N,14642.91275,206.2,14436.71275
08/10/2024 03:00:17,N,14742.03265,301.5,14440.53265
08/10/2024 03:15:12,N,14559.40338,314.7,14244.70338
08/10/2024 03:30:09,N,14380.91646,315.9,14065.01646
08/10/2024 03:45:12,N,14475.76846,314.8,14160.96846
08/10/2024 04:00:14,N,14230.46615,212,14018.46615
08/10/2024 04:15:11,N,14184.24663,139.9,14044.34663
08/10/2024 04:30:16,N,14087.21614,140.1,13947.11614
08/10/2024 04:45:10,N,13956.80396,139.8,13817.00396
08/10/2024 05:00:16,N,13862.54744,79.1,13783.44744
08/10/2024 05:15:10,N,14019.85086,69.5,13950.35086
08/10/2024 05:30:11,N,14013.31176,69.6,13943.71176
08/10/2024 05:45:10,N,14120.39167,69.8,14050.59167
08/10/2024 06:00:25,N,14113.54502,69.6,14043.94502
08/10/2024 06:15:12,N,14138.71535,69.8,14068.91535
08/10/2024 06:30:12,N,14115.86059,49.7,14066.16059
08/10/2024 06:45:10,N,14173.32806,49.9,14123.42806
08/10/2024 07:00:15,N,13954.95799,-.4,13955.35799
08/10/2024 07:15:10,N,14079.85688,-.5,14080.35688
08/10/2024 07:30:11,N,14230.70733,-.9,14231.60733
08/10/2024 07:45:10,N,14331.73363,-.7,14332.43363
08/10/2024 08:00:14,N,14388.25719,-.7,14388.95719
08/10/2024 08:15:11,N,14706.78395,-.6,14707.38395
08/10/2024 08:30:10,N,14741.96085,-.5,14742.46085
08/10/2024 08:45:10,N,14436.70513,-.7,14437.40513
08/10/2024 09:00:16,N,14269.50071,-.6,14270.10071
08/10/2024 09:15:11,N,14291.45431,-.4,14291.85431
08/10/2024 09:30:10,N,14623.564,-.6,14624.164
08/10/2024 09:45:11,N,15012.8512,-.9,15013.7512
08/10/2024 10:00:15,N,15523.13519,-.5,15523.63519
08/10/2024 10:15:10,N,15754.35859,-.6,15754.95859
08/10/2024 10:30:10,N,16176.21611,-.6,16176.81611
08/10/2024 10:45:10,N,16387.4012,-.7,16388.1012
08/10/2024 11:00:14,N,16651.04327,-.9,16651.94327
08/10/2024 11:15:10,N,17108.56887,-.6,17109.16887
08/10/2024 11:30:09,N,17511.13522,-.6,17511.73522
08/10/2024 11:45:09,N,17819.68508,-.8,17820.48508
08/10/2024 12:00:16,N,18036.91103,-.4,18037.31103
08/10/2024 12:15:09,N,17939.15545,-.7,17939.85545
08/10/2024 12:30:10,N,18119.32528,-.5,18119.82528
08/10/2024 12:45:10,N,18373.37422,-.5,18373.87422
08/10/2024 13:00:16,N,18732.30632,-.8,18733.10632
08/10/2024 13:15:13,N,18981.33796,-1,18982.33796
08/10/2024 13:30:10,N,19308.52903,-.6,19309.12903
08/10/2024 13:45:09,N,19400.2793,-1,19401.2793
08/10/2024 14:00:16,N,19652.30591,-.7,19653.00591
08/10/2024 14:15:10,N,19830.75083,-.8,19831.55083
08/10/2024 14:30:10,N,19927.05264,-.7,19927.75264
08/10/2024 14:45:10,N,20110.09995,-.6,20110.69995
08/10/2024 15:00:14,N,20048.46713,-.9,20049.36713
08/10/2024 15:15:09,N,20266.08677,-.7,20266.78677
08/10/2024 15:30:11,N,20370.29615,-.5,20370.79615
08/10/2024 15:45:10,N,20758.18937,-.8,20758.98937
08/10/2024 16:00:18,N,20505.60563,-.9,20506.50563
08/10/2024 16:15:11,N,21061.03038,-1,21062.03038
08/10/2024 16:30:13,N,20861.50536,-.8,20862.30536
08/10/2024 16:45:10,N,21165.29371,-.8,21166.09371
08/10/2024 17:00:17,N,20944.40569,-.7,20945.10569
08/10/2024 17:15:13,N,20692.50981,-.5,20693.00981
08/10/2024 17:30:09,N,20602.74174,-.6,20603.34174
08/10/2024 17:45:11,N,20575.86582,-.9,20576.76582
08/10/2024 18:00:19,N,20396.71241,13.1,20383.61241
08/10/2024 18:15:12,N,20661.52042,19.5,20642.02042
08/10/2024 18:30:10,N,20704.5156,19,20685.5156
08/10/2024 18:45:09,N,20321.64049,19.2,20302.44049
08/10/2024 19:00:14,N,20382.00908,19.1,20362.90908
08/10/2024 19:15:10,N,20471.06696,-.9,20471.96696
08/10/2024 19:30:09,N,20559.75926,-.7,20560.45926
08/10/2024 19:45:09,N,20403.75426,-.5,20404.25426
08/10/2024 20:00:15,N,20312.89484,113.9,20198.99484
08/10/2024 20:15:11,N,19844.94575,202.4,19642.54575
08/10/2024 20:30:11,N,19671.45421,202.8,19468.65421
08/10/2024 20:45:10,N,19466.43646,201.8,19264.63646
08/10/2024 21:00:14,N,19281.47129,298,18983.47129
08/10/2024 21:15:10,N,19005.19124,357.6,18647.59124
08/10/2024 21:30:10,N,18850.01298,357.7,18492.31298
08/10/2024 21:45:10,N,18708.31487,357.7,18350.61487
08/10/2024 22:00:17,N,18347.70735,352.3,17995.40735
08/10/2024 22:15:11,N,17646.45458,352.8,17293.65458
08/10/2024 22:30:11,N,17204.62287,353.5,16851.12287
08/10/2024 22:45:11,N,16921.15389,353.4,16567.75389
08/10/2024 23:00:15,N,16467.46395,360.9,16106.56395
08/10/2024 23:15:10,N,16080.21488,361.4,15718.81488
08/10/2024 23:30:11,N,15865.21652,360.8,15504.41652
08/10/2024 23:45:11,N,15618.2827,361.1,15257.1827
