SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
08/11/2024 00:00:17,N,20868.81024,-56,20924.81024
08/11/2024 00:15:10,N,20605.88963,0,20605.88963
08/11/2024 00:30:11,N,20093.83549,0,20093.83549
08/11/2024 00:45:11,N,19845.59381,0,19845.59381
08/11/2024 01:00:20,N,19714.24906,0,19714.24906
08/11/2024 01:15:15,N,19254.51589,0,19254.51589
08/11/2024 01:30:11,N,18807.25118,0,18807.25118
08/11/2024 01:45:10,N,18560.81647,0,18560.81647
08/11/2024 02:00:17,N,18149.27535,-1,18150.27535
08/11/2024 02:15:11,N,18165.4231,-1,18166.4231
08/11/2024 02:30:10,N,17880.2799,0,17880.2799
08/11/2024 02:45:10,N,17721.33994,0,17721.33994
08/11/2024 03:00:16,N,17614.70425,0,17614.70425
08/11/2024 03:15:11,N,17573.6795,0,17573.6795
08/11/2024 03:30:09,N,17600.58451,0,17600.58451
08/11/2024 03:45:12,N,17548.47052,0,17548.47052
08/11/2024 04:00:16,N,17371.4844,-1,17372.4844
08/11/2024 04:15:10,N,16987.74527,0,16987.74527
08/11/2024 04:30:15,N,16827.36657,-1,16828.36657
08/11/2024 04:45:11,N,16764.89118,-1,16765.89118
08/11/2024 05:00:15,N,16830.19599,0,16830.19599
08/11/2024 05:15:10,N,16899.64629,0,16899.64629
08/11/2024 05:30:10,N,16802.81158,0,16802.81158
08/11/2024 05:45:11,N,16894.06887,0,16894.06887
08/11/2024 06:00:20,N,16946.05966,0,16946.05966
08/11/2024 06:15:10,N,16970.54203,0,16970.54203
08/11/2024 06:30:10,N,17058.52661,0,17058.52661
08/11/2024 06:45:11,N,16897.86134,0,16897.86134
08/11/2024 07:00:16,N,16787.10583,92,16695.10583
08/11/2024 07:15:11,N,16842.45509,202.1,16640.35509
08/11/2024 07:30:10,N,17035.8922,202.1,16833.7922
08/11/2024 07:45:11,N,17065.58746,202.1,16863.48746
08/11/2024 08:00:20,N,17183.51573,294.1,16889.41573
08/11/2024 08:15:11,N,16996.8336,405.2,16591.6336
08/11/2024 08:30:09,N,17039.20098,405.2,16634.00098
08/11/2024 08:45:11,N,17110.26541,405.2,16705.06541
08/11/2024 09:00:19,N,16914.66302,405.2,16509.46302
08/11/2024 09:15:12,N,17363.2508,593.3,16769.9508
08/11/2024 09:30:10,N,17681.03106,609.3,17071.73106
08/11/2024 09:45:11,N,17900.82765,609.3,17291.52765
08/11/2024 10:00:15,N,18725.49437,609.3,18116.19437
08/11/2024 10:15:13,N,18622.01187,609.3,18012.71187
08/11/2024 10:30:11,N,19282.73077,609.3,18673.43077
08/11/2024 10:45:11,N,19630.48267,482.2,19148.28267
08/11/2024 11:00:17,N,20059.02977,405.2,19653.82977
08/11/2024 11:15:13,N,20480.28187,405.2,20075.08187
08/11/2024 11:30:11,N,20999.01794,373.2,20625.81794
08/11/2024 11:45:11,N,21842.52601,203.1,21639.42601
08/11/2024 12:00:17,N,22608.72351,131.1,22477.62351
08/11/2024 12:15:11,N,23285.42928,53,23232.42928
08/11/2024 12:30:11,N,23999.90018,32,23967.90018
08/11/2024 12:45:11,N,24611.58,10,24601.58
08/11/2024 13:00:19,N,25310.52573,246.1,25064.42573
08/11/2024 13:15:11,N,25644.92264,354.2,25290.72264
08/11/2024 13:30:13,N,25660.82953,354.2,25306.62953
