SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL  WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
08/13/2024 00:00:18,N,9363.41654682,11292.7007842,5423.49049282,4043.01787355,4075.46982157,18.77121353,3340.8740124,4107.27429676,1465,16684.12697
08/13/2024 00:15:11,N,9413.71201308,11275.6525348,5412.57111152,4007.77500802,4008.70869266,18.54405784,3348.16716972,4131.67993116,1465,16694.84475
08/13/2024 00:30:11,N,9246.17365574,11319.11870932,5410.76382184,3989.81587845,4038.78905427,15.74592971,3378.69079891,4135.36327028,1465,16625.5587
08/13/2024 00:45:12,N,9237.76808214,11326.55462343,5415.91947984,4028.69554817,4092.72604501,13.9906454,3343.53826536,4110.42923688,1465,16561.98288
08/13/2024 01:00:20,N,9243.227427,11563.72448301,5493.68418169,3973.53036367,4015.78533959,11.80170345,3339.40651612,4047.71926283,1465,16428.63461
08/13/2024 01:15:11,N,9226.98430633,11481.42577004,5492.58595085,3983.53539192,3984.10104048,11.72942638,3305.14821222,4035.10150313,1465,16445.25059
08/13/2024 01:30:11,N,9298.89371776,11528.39532399,5497.44346904,3773.04791605,3773.45010709,10.55235385,3300.5583572,4026.04073309,1465,16285.6605
08/13/2024 01:45:10,N,9248.52548682,11509.93341171,5493.8014096,3514.37430548,3514.98700487,11.59003639,3304.42152892,4025.88587737,1465,15998.87722
08/13/2024 02:00:17,N,9223.40579223,11498.12621974,5489.18924713,3470.87593889,3471.46092212,12.35926437,3315.11646985,4097.02060747,1465,15942.84453
08/13/2024 02:15:12,N,9185.27842916,11509.73263086,5509.86581052,3524.0112276,3524.55091083,14.72373485,3334.56321092,4114.10037374,1483,15954.132
08/13/2024 02:30:09,N,9075.88141497,11526.59705313,5504.77616556,3482.90091991,3483.47101926,13.43308448,3330.36371163,4110.72211694,1483,15912.08182
08/13/2024 02:45:08,N,9014.78390955,11538.05133542,5506.87944611,3396.998335,3397.59886145,12.46251583,3337.44956478,4113.53545522,1483,15736.19366
