SCED Time Stamp,Repeated Hour Flag,SUM TELEM DSR LOAD,SUM TELEM DSR GEN
08/14/2024 00:00:35,N,333.9,0
08/14/2024 00:15:11,N,329.8,0
08/14/2024 00:30:11,N,323.1,0
08/14/2024 00:45:11,N,317.6,0
08/14/2024 01:00:22,N,311.8,0
08/14/2024 01:15:12,N,308,0
08/14/2024 01:30:11,N,304.2,0
08/14/2024 01:45:10,N,299.9,0
08/14/2024 02:00:16,N,295.2,0
08/14/2024 02:15:12,N,292.5,0
08/14/2024 02:30:11,N,288.4,0
08/14/2024 02:45:09,N,284.1,0
08/14/2024 03:00:17,N,282.5,0
08/14/2024 03:15:10,N,282.2,0
08/14/2024 03:30:09,N,277.7,0
08/14/2024 03:45:13,N,278.2,0
08/14/2024 04:00:18,N,274,0
08/14/2024 04:15:10,N,274.9,0
08/14/2024 04:30:12,N,273.7,0
08/14/2024 04:45:09,N,274.1,0
08/14/2024 05:00:16,N,273.5,0
08/14/2024 05:15:10,N,275.5,0
08/14/2024 05:30:09,N,273.9,0
08/14/2024 05:45:10,N,276,0
08/14/2024 06:00:17,N,281.7,0
08/14/2024 06:15:11,N,282.8,0
08/14/2024 06:30:11,N,282.4,0
08/14/2024 06:45:10,N,285.9,0
08/14/2024 07:00:15,N,285.8,0
08/14/2024 07:15:11,N,287.8,0
08/14/2024 07:30:10,N,288.4,0
08/14/2024 07:45:09,N,289.1,0
08/14/2024 08:00:17,N,293.6,0
08/14/2024 08:15:10,N,298.3,0
08/14/2024 08:30:12,N,303.2,0
08/14/2024 08:45:11,N,309.7,0
08/14/2024 09:00:16,N,314.5,0
08/14/2024 09:15:13,N,323.5,0
08/14/2024 09:30:10,N,328.1,0
08/14/2024 09:45:12,N,335.1,0
08/14/2024 10:00:15,N,345.2,0
08/14/2024 10:15:12,N,352.9,0
08/14/2024 10:30:10,N,360.1,0
08/14/2024 10:45:10,N,368.5,0
08/14/2024 11:00:16,N,375.9,0
08/14/2024 11:15:11,N,386.2,0
08/14/2024 11:30:16,N,392.6,0
08/14/2024 11:45:11,N,401.2,0
08/14/2024 12:00:16,N,405.9,0
08/14/2024 12:15:12,N,417.9,0
08/14/2024 12:30:11,N,424,0
08/14/2024 12:45:12,N,428.4,0
08/14/2024 13:00:15,N,434.9,0
08/14/2024 13:15:12,N,441.4,0
08/14/2024 13:30:10,N,442.7,0
08/14/2024 13:45:12,N,447.7,0
08/14/2024 14:00:16,N,456,0
08/14/2024 14:15:10,N,458,0
08/14/2024 14:30:12,N,462.5,0
08/14/2024 14:45:11,N,465,0
08/14/2024 15:00:16,N,464.3,0
08/14/2024 15:15:12,N,470,0
08/14/2024 15:30:11,N,472.5,0
08/14/2024 15:45:10,N,476,0
08/14/2024 16:00:16,N,476.5,0
08/14/2024 16:15:11,N,478.9,0
08/14/2024 16:30:17,N,479.5,0
08/14/2024 16:45:10,N,482.1,0
08/14/2024 17:00:17,N,479.5,0
08/14/2024 17:15:12,N,480.4,0
08/14/2024 17:30:12,N,478,0
08/14/2024 17:45:10,N,477.5,0
08/14/2024 18:00:23,N,473.9,0
08/14/2024 18:15:12,N,471.3,0
08/14/2024 18:30:12,N,466.8,0
08/14/2024 18:45:10,N,463.4,0
08/14/2024 19:00:17,N,458,0
08/14/2024 19:15:12,N,451.2,0
08/14/2024 19:30:10,N,444,0
08/14/2024 19:45:11,N,438,0
08/14/2024 20:00:18,N,432.3,0
08/14/2024 20:15:12,N,428.8,0
08/14/2024 20:30:11,N,427.8,0
08/14/2024 20:45:11,N,424,0
08/14/2024 21:00:16,N,416.8,0
08/14/2024 21:15:12,N,412.8,0
08/14/2024 21:30:09,N,406.5,0
08/14/2024 21:45:10,N,400.6,0
08/14/2024 22:00:18,N,394.2,0
08/14/2024 22:15:11,N,386.9,0
08/14/2024 22:30:09,N,378.9,0
08/14/2024 22:45:11,N,371.7,0
08/14/2024 23:00:16,N,361.8,0
08/14/2024 23:15:12,N,355.8,0
08/14/2024 23:30:10,N,345.5,0
08/14/2024 23:45:10,N,340.5,0
