SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
08/17/2024 00:00:18,N,11044.3991,0,11044.3991
08/17/2024 00:15:11,N,10595.18868,0,10595.18868
08/17/2024 00:30:11,N,10060.34515,0,10060.34515
08/17/2024 00:45:12,N,9854.64191,0,9854.64191
08/17/2024 01:00:17,N,9618.00022,0,9618.00022
08/17/2024 01:15:11,N,9584.92694,0,9584.92694
08/17/2024 01:30:12,N,9466.88056,0,9466.88056
08/17/2024 01:45:11,N,9282.38468,0,9282.38468
08/17/2024 02:00:16,N,9240.8217,0,9240.8217
08/17/2024 02:15:10,N,9051.11424,0,9051.11424
08/17/2024 02:30:11,N,8922.27086,0,8922.27086
08/17/2024 02:45:11,N,8967.82916,0,8967.82916
08/17/2024 03:00:15,N,8858.78983,0,8858.78983
08/17/2024 03:15:10,N,8884.22373,0,8884.22373
08/17/2024 03:30:09,N,8915.77273,0,8915.77273
08/17/2024 03:45:14,N,8993.71199,0,8993.71199
08/17/2024 04:00:15,N,9044.86336,0,9044.86336
08/17/2024 04:15:11,N,9123.94653,0,9123.94653
08/17/2024 04:30:11,N,9092.12962,0,9092.12962
08/17/2024 04:45:09,N,9093.00692,0,9093.00692
08/17/2024 05:00:15,N,9104.76009,0,9104.76009
08/17/2024 05:15:11,N,9060.18833,0,9060.18833
08/17/2024 05:30:10,N,8887.16671,0,8887.16671
08/17/2024 05:45:11,N,8867.22485,0,8867.22485
08/17/2024 06:00:19,N,8801.01423,0,8801.01423
08/17/2024 06:15:11,N,8804.29877,0,8804.29877
08/17/2024 06:30:10,N,8841.37802,0,8841.37802
08/17/2024 06:45:09,N,8871.47433,0,8871.47433
08/17/2024 07:00:16,N,8850.62004,0,8850.62004
08/17/2024 07:15:10,N,8842.48958,0,8842.48958
08/17/2024 07:30:11,N,8809.2766,0,8809.2766
08/17/2024 07:45:12,N,8993.07567,0,8993.07567
08/17/2024 08:00:16,N,8942.89887,0,8942.89887
08/17/2024 08:15:11,N,9349.15228,0,9349.15228
08/17/2024 08:30:11,N,9471.85773,0,9471.85773
08/17/2024 08:45:08,N,9486.44082,0,9486.44082
08/17/2024 09:00:15,N,9259.3987,0,9259.3987
08/17/2024 09:15:12,N,9618.39887,0,9618.39887
08/17/2024 09:30:10,N,9764.35887,0,9764.35887
08/17/2024 09:45:11,N,9877.31082,0,9877.31082
08/17/2024 10:00:16,N,10356.35476,0,10356.35476
08/17/2024 10:15:13,N,10420.78048,0,10420.78048
08/17/2024 10:30:10,N,10656.43494,0,10656.43494
08/17/2024 10:45:10,N,11090.80266,0,11090.80266
08/17/2024 11:00:17,N,11571.22585,0,11571.22585
08/17/2024 11:15:09,N,12029.60864,0,12029.60864
08/17/2024 11:30:09,N,12543.4149,0,12543.4149
08/17/2024 11:45:09,N,12895.45375,0,12895.45375
08/17/2024 12:00:18,N,13550.73115,0,13550.73115
08/17/2024 12:15:10,N,13901.92601,0,13901.92601
08/17/2024 12:30:10,N,14317.00167,0,14317.00167
08/17/2024 12:45:09,N,14729.58592,0,14729.58592
08/17/2024 13:00:16,N,14910.79185,0,14910.79185
08/17/2024 13:15:11,N,15375.75115,0,15375.75115
08/17/2024 13:30:10,N,15926.5899,0,15926.5899
08/17/2024 13:45:10,N,16328.65833,0,16328.65833
08/17/2024 14:00:15,N,16473.14184,0,16473.14184
08/17/2024 14:15:11,N,16547.44095,0,16547.44095
08/17/2024 14:30:11,N,16593.74432,0,16593.74432
08/17/2024 14:45:10,N,16718.73895,0,16718.73895
08/17/2024 15:00:17,N,16790.94627,0,16790.94627
08/17/2024 15:15:11,N,16818.82858,0,16818.82858
08/17/2024 15:30:11,N,17129.46772,0,17129.46772
08/17/2024 15:45:10,N,16827.22353,0,16827.22353
08/17/2024 16:00:17,N,16696.5474,0,16696.5474
08/17/2024 16:15:10,N,16640.0387,0,16640.0387
08/17/2024 16:30:10,N,16838.38828,0,16838.38828
08/17/2024 16:45:11,N,17025.67639,0,17025.67639
08/17/2024 17:00:16,N,16617.48873,0,16617.48873
08/17/2024 17:15:11,N,16335.13464,0,16335.13464
08/17/2024 17:30:10,N,16415.1425,0,16415.1425
08/17/2024 17:45:11,N,16555.71288,0,16555.71288
08/17/2024 18:00:18,N,16555.98996,0,16555.98996
08/17/2024 18:15:13,N,16652.86111,0,16652.86111
08/17/2024 18:30:11,N,16510.37109,0,16510.37109
08/17/2024 18:45:10,N,16445.4742,0,16445.4742
08/17/2024 19:00:16,N,16278.37527,0,16278.37527
08/17/2024 19:15:10,N,16167.46352,0,16167.46352
08/17/2024 19:30:11,N,16226.86094,0,16226.86094
08/17/2024 19:45:11,N,16068.32753,0,16068.32753
08/17/2024 20:00:17,N,16075.62311,0,16075.62311
08/17/2024 20:15:12,N,16176.6265,0,16176.6265
08/17/2024 20:30:10,N,16202.20343,0,16202.20343
08/17/2024 20:45:12,N,16119.15605,0,16119.15605
08/17/2024 21:00:15,N,16066.51443,0,16066.51443
08/17/2024 21:15:13,N,15828.60543,0,15828.60543
08/17/2024 21:30:10,N,15376.17508,0,15376.17508
08/17/2024 21:45:11,N,15157.48536,0,15157.48536
08/17/2024 22:00:15,N,14830.23015,0,14830.23015
08/17/2024 22:15:12,N,14599.66538,0,14599.66538
08/17/2024 22:30:10,N,14522.08937,0,14522.08937
08/17/2024 22:45:11,N,13861.53787,0,13861.53787
08/17/2024 23:00:15,N,13563.12894,0,13563.12894
08/17/2024 23:15:12,N,13423.70185,0,13423.70185
08/17/2024 23:30:10,N,12875.58877,0,12875.58877
08/17/2024 23:45:10,N,12191.8253,0,12191.8253
