SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
08/23/2024 00:04:31,N,18406.54775,-217.4,18623.94775
08/23/2024 00:15:17,N,18453.36493,-217.5,18670.86493
08/23/2024 00:30:12,N,18476.39902,-217.3,18693.69902
08/23/2024 00:45:15,N,18468.17847,-217.4,18685.57847
08/23/2024 01:00:23,N,17864.73299,-217.4,18082.13299
08/23/2024 01:15:11,N,17845.46993,-217.4,18062.86993
08/23/2024 01:30:11,N,16979.10665,-217.3,17196.40665
08/23/2024 01:45:13,N,17196.60892,-217.2,17413.80892
08/23/2024 02:00:17,N,16534.19261,-217.3,16751.49261
08/23/2024 02:15:14,N,16769.08288,-217.4,16986.48288
08/23/2024 02:30:13,N,16052.35579,-217.3,16269.65579
08/23/2024 02:45:11,N,16303.11805,-217.3,16520.41805
08/23/2024 03:00:14,N,15680.30064,-217.5,15897.80064
08/23/2024 03:15:10,N,15988.45732,-217.3,16205.75732
08/23/2024 03:30:12,N,15753.16996,-217.4,15970.56996
08/23/2024 03:45:16,N,15725.79926,-217.4,15943.19926
08/23/2024 04:00:16,N,16219.96102,-217.4,16437.36102
08/23/2024 04:15:10,N,16320.08818,-217.4,16537.48818
08/23/2024 04:30:12,N,15623.82293,-217.6,15841.42293
08/23/2024 04:45:11,N,15895.96927,-217.6,16113.56927
08/23/2024 05:00:20,N,15902.89974,-217.4,16120.29974
08/23/2024 05:15:10,N,15736.32757,-217.4,15953.72757
08/23/2024 05:30:10,N,15934.81417,-217.4,16152.21417
08/23/2024 05:45:09,N,15697.49307,-217.4,15914.89307
08/23/2024 06:00:14,N,15833.53733,-217.5,16051.03733
08/23/2024 06:15:11,N,15632.11783,-217.5,15849.61783
08/23/2024 06:30:11,N,15903.14921,-217.5,16120.64921
08/23/2024 06:45:10,N,15466.37748,-217.4,15683.77748
08/23/2024 07:00:17,N,15518.81198,-217.5,15736.31198
08/23/2024 07:15:10,N,15013.31685,-217.5,15230.81685
08/23/2024 07:30:11,N,15056.08877,-217.5,15273.58877
08/23/2024 07:45:09,N,14689.51563,-217.4,14906.91563
08/23/2024 08:00:14,N,15088.86337,-120.7,15209.56337
08/23/2024 08:15:10,N,15246.05004,-.1,15246.15004
08/23/2024 08:30:10,N,15706.76279,0,15706.76279
08/23/2024 08:45:10,N,16273.96904,-.1,16274.06904
08/23/2024 09:00:14,N,16769.60043,-.2,16769.80043
08/23/2024 09:15:10,N,17386.70644,-.1,17386.80644
08/23/2024 09:30:09,N,17488.91536,-.1,17489.01536
08/23/2024 09:45:09,N,18125.26455,-.1,18125.36455
08/23/2024 10:00:14,N,18311.43119,0,18311.43119
08/23/2024 10:15:08,N,18548.16406,-.1,18548.26406
08/23/2024 10:30:10,N,18341.13747,-.1,18341.23747
08/23/2024 10:45:10,N,19079.67231,-.1,19079.77231
08/23/2024 11:00:10,N,20072.00677,0,20072.00677
08/23/2024 11:15:09,N,20205.92869,0,20205.92869
08/23/2024 11:30:10,N,19765.08966,0,19765.08966
08/23/2024 11:45:10,N,19575.24241,0,19575.24241
08/23/2024 12:00:12,N,19241.23639,-.1,19241.33639
08/23/2024 12:15:11,N,18925.42404,-.1,18925.52404
08/23/2024 12:30:09,N,18548.59908,-.1,18548.69908
08/23/2024 12:45:11,N,17942.07125,-.1,17942.17125
08/23/2024 13:00:10,N,17785.89587,-.1,17785.99587
08/23/2024 13:15:09,N,17331.92876,-.1,17332.02876
08/23/2024 13:30:09,N,16820.9444,-.1,16821.0444
08/23/2024 13:45:09,N,16069.52174,-.1,16069.62174
08/23/2024 14:00:10,N,15447.14297,-.1,15447.24297
08/23/2024 14:15:10,N,14807.60534,-.1,14807.70534
08/23/2024 14:30:11,N,14235.74654,0,14235.74654
08/23/2024 14:45:09,N,14066.54744,-.1,14066.64744
08/23/2024 15:00:11,N,13767.52902,-.1,13767.62902
08/23/2024 15:15:10,N,13243.40101,0,13243.40101
08/23/2024 15:30:11,N,13232.39311,0,13232.39311
08/23/2024 15:45:10,N,12931.16009,-.1,12931.26009
08/23/2024 16:00:12,N,13775.02133,0,13775.02133
08/23/2024 16:15:11,N,13592.5851,-.1,13592.6851
08/23/2024 16:30:12,N,13955.98888,0,13955.98888
08/23/2024 16:45:10,N,13603.55829,0,13603.55829
08/23/2024 17:00:11,N,14190.87683,-51.7,14242.57683
08/23/2024 17:15:10,N,13921.75671,-212.8,14134.55671
08/23/2024 17:30:10,N,14211.53099,-218.4,14429.93099
08/23/2024 17:45:10,N,14487.76856,-218.4,14706.16856
08/23/2024 18:00:12,N,14490.89454,-170,14660.89454
08/23/2024 18:15:10,N,14843.04633,-218.4,15061.44633
08/23/2024 18:30:10,N,15375.93737,-218.4,15594.33737
08/23/2024 18:45:09,N,15272.91646,-218.4,15491.31646
08/23/2024 19:00:11,N,14495.19676,-218.3,14713.49676
08/23/2024 19:15:10,N,14459.09976,-218.3,14677.39976
08/23/2024 19:30:10,N,13841.32805,-218.5,14059.82805
08/23/2024 19:45:10,N,13339.06753,-218.4,13557.46753
08/23/2024 20:00:11,N,13494.56593,-218.4,13712.96593
08/23/2024 20:15:10,N,13903.8442,-218.4,14122.2442
08/23/2024 20:30:09,N,13933.61358,-218.4,14152.01358
08/23/2024 20:45:09,N,14119.63719,-168.3,14287.93719
08/23/2024 21:00:11,N,14598.35132,-168.3,14766.65132
08/23/2024 21:15:10,N,14532.4155,-218.5,14750.9155
08/23/2024 21:30:10,N,14963.57169,-218.4,15181.97169
08/23/2024 21:45:09,N,15236.82249,-218.4,15455.22249
08/23/2024 22:00:12,N,15417.09764,-218.3,15635.39764
08/23/2024 22:15:10,N,15571.64368,-218.2,15789.84368
08/23/2024 22:30:10,N,16230.611,-218.3,16448.911
08/23/2024 22:45:08,N,17284.92821,-218.4,17503.32821
08/23/2024 23:00:11,N,17722.38173,-218.1,17940.48173
08/23/2024 23:15:09,N,18019.54756,-218.4,18237.94756
08/23/2024 23:30:10,N,17862.4422,-218.1,18080.5422
08/23/2024 23:45:09,N,17869.05319,-218.3,18087.35319
