SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
08/28/2024 00:00:19,N,55772.64266,243.7,55528.94266
08/28/2024 00:15:08,N,54884.81266,273.8,54611.01266
08/28/2024 00:30:10,N,54228.50942,362.3,53866.20942
08/28/2024 00:45:09,N,53999.68644,609.1,53390.58644
08/28/2024 01:00:12,N,53292.93919,614.4,52678.53919
08/28/2024 01:15:09,N,52570.41859,459.7,52110.71859
08/28/2024 01:30:09,N,52062.95638,459.3,51603.65638
08/28/2024 01:45:09,N,51586.68439,437.8,51148.88439
08/28/2024 02:00:10,N,51104.38472,318.7,50785.68472
08/28/2024 02:15:09,N,50716.46241,204.6,50511.86241
08/28/2024 02:30:09,N,50039.04994,159.1,49879.94994
08/28/2024 02:45:08,N,49657.53064,154.7,49502.83064
08/28/2024 03:00:10,N,49587.58098,154.9,49432.68098
08/28/2024 03:15:09,N,49252.43675,154.7,49097.73675
08/28/2024 03:30:09,N,49124.37048,103.8,49020.57048
08/28/2024 03:45:11,N,49186.67569,103.5,49083.17569
08/28/2024 04:00:10,N,48839.9822,103.7,48736.2822
08/28/2024 04:15:08,N,49105.93896,103.2,49002.73896
08/28/2024 04:30:11,N,49063.16293,11.6,49051.56293
08/28/2024 04:45:09,N,49254.81855,3,49251.81855
08/28/2024 05:00:10,N,49066.86391,2.4,49064.46391
08/28/2024 05:15:09,N,50006.52993,2.6,50003.92993
08/28/2024 05:30:09,N,50196.90887,2.5,50194.40887
08/28/2024 05:45:09,N,50543.92342,2.7,50541.22342
08/28/2024 06:00:12,N,51150.18105,188.5,50961.68105
08/28/2024 06:15:09,N,52219.37219,398.6,51820.77219
08/28/2024 06:30:09,N,52930.28409,398.7,52531.58409
08/28/2024 06:45:09,N,53602.76284,398.8,53203.96284
08/28/2024 07:00:11,N,53705.64121,445.3,53260.34121
08/28/2024 07:15:09,N,53464.65999,496.9,52967.75999
08/28/2024 07:30:09,N,53172.25829,498.1,52674.15829
08/28/2024 07:45:09,N,53873.81973,497,53376.81973
08/28/2024 08:00:10,N,54188.2158,520.5,53667.7158
08/28/2024 08:15:09,N,55540.06581,574.8,54965.26581
08/28/2024 08:30:10,N,56178.85354,599.1,55579.75354
08/28/2024 08:45:09,N,56910.26836,638.5,56271.76836
08/28/2024 09:00:09,N,57048.01563,719.1,56328.91563
08/28/2024 09:15:09,N,58189.18282,821,57368.18282
08/28/2024 09:30:09,N,58637.47468,821.9,57815.57468
08/28/2024 09:45:09,N,59426.35397,821.9,58604.45397
08/28/2024 10:00:10,N,60245.92455,822,59423.92455
08/28/2024 10:15:09,N,61514.42118,821.7,60692.72118
08/28/2024 10:30:09,N,62155.49473,719.2,61436.29473
08/28/2024 10:45:08,N,63046.36859,507.5,62538.86859
08/28/2024 11:00:10,N,63490.05464,305,63185.05464
08/28/2024 11:15:09,N,64499.30961,192.3,64307.00961
08/28/2024 11:30:08,N,65583.57224,192.1,65391.47224
08/28/2024 11:45:08,N,66407.19014,192.8,66214.39014
08/28/2024 12:00:11,N,67600.51739,192.1,67408.41739
08/28/2024 12:15:09,N,68564.51607,340.6,68223.91607
08/28/2024 12:30:09,N,70238.26478,645.3,69592.96478
08/28/2024 12:45:09,N,70992.05922,822.5,70169.55922
08/28/2024 13:00:10,N,72019.61562,822,71197.61562
08/28/2024 13:15:09,N,72949.80295,822.1,72127.70295
08/28/2024 13:30:09,N,73592.83654,694.7,72898.13654
08/28/2024 13:45:09,N,73949.45674,503.9,73445.55674
08/28/2024 14:00:11,N,74801.40882,401.9,74399.50882
08/28/2024 14:15:10,N,74873.30281,155.4,74717.90281
08/28/2024 14:30:11,N,75287.44879,33.8,75253.64879
08/28/2024 14:45:09,N,75783.51596,88.6,75694.91596
08/28/2024 15:00:11,N,75954.08756,89.3,75864.78756
08/28/2024 15:15:10,N,76297.70377,88.1,76209.60377
08/28/2024 15:30:09,N,76502.09384,90.4,76411.69384
08/28/2024 15:45:10,N,77201.72421,137.6,77064.12421
