SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
08/28/2024 00:00:19,N,110,1824.43280506,57.9
08/28/2024 00:15:08,N,110,1825.03781223,57.9
08/28/2024 00:30:10,N,110,1824.38440608,57.9
08/28/2024 00:45:09,N,110,1823.95501041,57.9
08/28/2024 01:00:12,N,110,1106.64010763,3.7
08/28/2024 01:15:09,N,110,1106.90469932,3.7
08/28/2024 01:30:09,N,110,1105.95060491,3.7
08/28/2024 01:45:09,N,110,1105.73549985,3.7
08/28/2024 02:00:10,N,110,1152.17710065,62.2
08/28/2024 02:15:09,N,110,1162.14140224,62.2
08/28/2024 02:30:09,N,110,1196.62369918,62.2
08/28/2024 02:45:08,N,110,1201.94009828,62.2
08/28/2024 03:00:10,N,110,1106.89820957,17.8
08/28/2024 03:15:09,N,110,1106.46339988,17.8
08/28/2024 03:30:09,N,110,1097.73871564,17.8
08/28/2024 03:45:11,N,110,1105.64870929,17.8
08/28/2024 04:00:10,N,110,1456.31559991,.7
08/28/2024 04:15:08,N,110,1454.17110776,.7
08/28/2024 04:30:11,N,110,1448.17959785,.7
08/28/2024 04:45:09,N,110,1455.81830596,.7
08/28/2024 05:00:10,N,110,1368.81180524,69.1
08/28/2024 05:15:09,N,110,1370.57670307,69.1
08/28/2024 05:30:09,N,110,1360.6805067,69.1
08/28/2024 05:45:09,N,110,1382.80790281,69.1
08/28/2024 06:00:12,N,110,1880.52640724,4.3
08/28/2024 06:15:09,N,110,1878.9620018,4.3
08/28/2024 06:30:09,N,110,1878.04410743,4.3
08/28/2024 06:45:09,N,110,1881.42400312,4.3
08/28/2024 07:00:11,N,110,1712.89400339,0
08/28/2024 07:15:09,N,110,1705.82800388,0
08/28/2024 07:30:09,N,110,1706.18500232,0
08/28/2024 07:45:09,N,110,1713.89000368,0
08/28/2024 08:00:10,N,110,1489.15600109,147.8
08/28/2024 08:15:09,N,110,1490.1019988,147.8
08/28/2024 08:30:10,N,110,1494.0119996,147.8
08/28/2024 08:45:09,N,110,1492.72799968,147.88268
08/28/2024 09:00:09,N,110,1374.71299886,35.2
08/28/2024 09:15:09,N,110,1375.11100149,35.2
08/28/2024 09:30:09,N,110,1375.98500061,35.2
08/28/2024 09:45:09,N,110,1375.44999837,35.2
08/28/2024 10:00:10,N,110,1492.02099776,5.41666998
08/28/2024 10:15:09,N,110,1489.69999694,3.8
08/28/2024 10:30:09,N,110,1489.69999694,3.8
08/28/2024 10:45:08,N,110,1492.73999691,3.8
08/28/2024 11:00:10,N,110,1128.05099821,26.5
08/28/2024 11:15:09,N,110,1126.28199863,26.5
08/28/2024 11:30:08,N,110,1126.33799839,26.5
08/28/2024 11:45:08,N,110,1124.7639985,26.5
08/28/2024 12:00:11,N,110,1121.74649906,4.90526999
08/28/2024 12:15:09,N,110,1121.5398097,4.8
08/28/2024 12:30:09,N,110,1123.16200733,4.8
08/28/2024 12:45:09,N,110,1123.15910148,4.8
08/28/2024 13:00:10,N,110,1132.24599838,.9
08/28/2024 13:15:09,N,110,1132.24399852,4.99864002
08/28/2024 13:30:09,N,110,1132.24599838,1.16664
08/28/2024 13:45:09,N,110,1129.5032072,1.19547998
08/28/2024 14:00:11,N,110,1142.25130462,2.20741003
08/28/2024 14:15:10,N,110,1142.24400234,5.25629343
08/28/2024 14:30:11,N,110,1142.30939865,1.4
08/28/2024 14:45:09,N,110,1142.15689754,2.15842998
08/28/2024 15:00:11,N,110,2336.02989292,12.2
08/28/2024 15:15:10,N,110,2336.14369297,17.23126001
08/28/2024 15:30:09,N,110,2333.9776988,12.2
08/28/2024 15:45:10,N,110,2334.947196,12.2
08/28/2024 16:00:12,N,110,1131.79139614,8.9
08/28/2024 16:15:09,N,110,1131.7882986,8.9
08/28/2024 16:30:11,N,110,1131.72469997,8.9
08/28/2024 16:45:09,N,110,1128.90939283,8.9
08/28/2024 17:00:11,N,110,1127.28659582,10
08/28/2024 17:15:09,N,110,1129.14629936,10
08/28/2024 17:30:09,N,110,1121.4199028,10
08/28/2024 17:45:09,N,110,1132.10299873,10
08/28/2024 18:00:10,N,110,1565.59030103,13.2
08/28/2024 18:15:10,N,110,1562.65169823,13.27050999
08/28/2024 18:30:10,N,110,1562.00799584,13.2
08/28/2024 18:45:08,N,110,1562.01670289,13.2
08/28/2024 19:00:12,N,110,1562.00459831,4
08/28/2024 19:15:09,N,110,1564.75499886,4
08/28/2024 19:30:09,N,110,1564.67800277,4
08/28/2024 19:45:10,N,110,1564.55000001,4
08/28/2024 20:00:10,N,110,1686.37400513,86.4990247
08/28/2024 20:15:08,N,110,1685.93400192,86.5
08/28/2024 20:30:08,N,110,1685.93400192,86.5
08/28/2024 20:45:07,N,110,1685.93400192,86.5
08/28/2024 21:00:09,N,110,1250.93400192,46.6
08/28/2024 21:15:08,N,110,1250.9290018,46.6
08/28/2024 21:30:07,N,110,1250.93200206,46.6
08/28/2024 21:45:08,N,110,1250.88600444,46.6
08/28/2024 22:00:09,N,110,1250.89700603,23.2
08/28/2024 22:15:08,N,110,1250.88600254,23.28155
08/28/2024 22:30:08,N,110,1250.89000415,23.2
08/28/2024 22:45:08,N,110,1250.88900279,23.46976999
08/28/2024 23:00:09,N,110,1248.14160442,.2
08/28/2024 23:15:07,N,110,1248.13620853,.2
08/28/2024 23:30:07,N,110,1248.2837038,.2
08/28/2024 23:45:08,N,110,1248.27800178,.2
