SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
08/31/2024 00:00:14,N,110,1671.25089454,52
08/31/2024 00:15:11,N,110,1668.94659137,52
08/31/2024 00:30:11,N,110,1668.95348453,52
08/31/2024 00:45:10,N,110,1668.94659519,52
08/31/2024 01:00:13,N,110,1666.25250434,60.3
08/31/2024 01:15:10,N,110,1666.25039863,60.3
08/31/2024 01:30:10,N,110,1666.25149726,60.3
08/31/2024 01:45:10,N,110,1666.25769615,60.3
08/31/2024 02:00:12,N,110,1446.45619773,51.1
08/31/2024 02:15:10,N,110,1446.45249748,51.1
08/31/2024 02:30:09,N,110,1446.45639228,51.1
08/31/2024 02:45:09,N,110,1446.45268821,51.1
08/31/2024 03:00:10,N,110,1156.45318031,0
08/31/2024 03:15:10,N,110,1156.02501487,0
08/31/2024 03:30:10,N,110,1156.03733634,0
08/31/2024 03:45:12,N,110,1155.98571968,0
08/31/2024 04:00:11,N,110,1165.91444778,1.5
08/31/2024 04:15:10,N,110,1165.91213989,1.5
08/31/2024 04:30:10,N,110,1165.90542221,1.5
08/31/2024 04:45:09,N,110,1165.92996597,1.5
08/31/2024 05:00:12,N,110,1641.3696804,3.5
08/31/2024 05:15:10,N,110,1641.4172573,3.5
08/31/2024 05:30:09,N,110,1641.38984107,3.66738
08/31/2024 05:45:09,N,110,1641.43213844,3.5
08/31/2024 06:00:13,N,110,1801.83169984,79.5
08/31/2024 06:15:10,N,110,1803.14869689,79.5
08/31/2024 06:30:10,N,110,1802.30279016,79.5
08/31/2024 06:45:11,N,110,1802.72001266,79.5
08/31/2024 07:00:12,N,110,1942.82394218,269.7
08/31/2024 07:15:10,N,110,1941.70647144,269.7
08/31/2024 07:30:09,N,110,1940.60352945,269.7
08/31/2024 07:45:10,N,110,1941.75943565,269.7
08/31/2024 08:00:11,N,110,1589.55574131,21.25557997
08/31/2024 08:15:10,N,110,1440.01499462,69.48882675
08/31/2024 08:30:10,N,110,1440.01739597,69.48669815
08/31/2024 08:45:09,N,110,1440.02368831,19.5
08/31/2024 09:00:11,N,110,1617.92589092,35.3
08/31/2024 09:15:10,N,110,1617.92359447,35.3
08/31/2024 09:30:10,N,110,1617.94169235,35.3
08/31/2024 09:45:11,N,110,1715.81948232,35.3
08/31/2024 10:00:12,N,110,1112.09969139,.1
08/31/2024 10:15:10,N,110,1110.84149694,.1
08/31/2024 10:30:10,N,110,1023.55199813,9.53448066
08/31/2024 10:45:09,N,110,1023.99199676,87.5724884
08/31/2024 11:00:10,N,110,1023.79399681,89.97692856
08/31/2024 11:15:11,N,110,1022.90599679,88.08596191
08/31/2024 11:30:09,N,110,968.1900587,31.95064125
08/31/2024 11:45:07,N,110,1021.51799654,.6
08/31/2024 12:00:09,N,110,1011.73360109,7.6
08/31/2024 12:15:08,N,110,1010.38399696,7.6
08/31/2024 12:30:07,N,110,1012.22499656,10.60537997
08/31/2024 12:45:07,N,110,1012.22499656,7.65016999
08/31/2024 13:00:09,N,110,1023.92499637,2.74226999
08/31/2024 13:15:08,N,110,1022.22499656,1.6
08/31/2024 13:30:08,N,110,1022.22499656,1.6
08/31/2024 13:45:07,N,110,1020.55599665,89.07186279
08/31/2024 14:00:09,N,0,899.53199672,96.76504211
08/31/2024 14:15:07,N,0,899.92499637,96.79103546
08/31/2024 14:30:08,N,0,898.62199687,96.75944976
08/31/2024 14:45:07,N,0,891.83870887,9.3
08/31/2024 15:00:09,N,0,895.52999687,2.8
08/31/2024 15:15:07,N,0,895.45230054,5.74514
08/31/2024 15:30:08,N,0,895.75760173,2.8
08/31/2024 15:45:08,N,0,895.74790096,6.81667988
08/31/2024 16:00:09,N,0,983.01319217,0
08/31/2024 16:15:07,N,0,982.99150323,0
08/31/2024 16:30:07,N,0,982.98039865,5.48003983
08/31/2024 16:45:08,N,0,982.98298501,0
08/31/2024 17:00:09,N,0,983.5179944,2.4
08/31/2024 17:15:08,N,0,983.01300668,2.4
08/31/2024 17:30:08,N,0,985.7440896,3.24233
08/31/2024 17:45:08,N,0,985.73841333,2.4
08/31/2024 18:00:09,N,0,1752.10080814,.3
08/31/2024 18:15:07,N,0,1752.11500024,.3
08/31/2024 18:30:07,N,0,1752.25919675,1.01955001
08/31/2024 18:45:08,N,0,1752.14191246,.3
08/31/2024 19:00:11,N,0,1762.31848955,2.5
08/31/2024 19:15:10,N,0,1762.34220075,2.5
08/31/2024 19:30:09,N,0,1762.33669233,2.5
08/31/2024 19:45:09,N,0,1762.15330457,2.5
08/31/2024 20:00:11,N,0,1393.79739522,65.46015998
08/31/2024 20:15:09,N,0,1392.89939785,63.4
08/31/2024 20:30:09,N,0,1394.73300266,63.4
08/31/2024 20:45:09,N,0,1394.7429037,63.4
08/31/2024 21:00:10,N,0,2183.8402996,705.66032997
08/31/2024 21:15:08,N,0,2184.15740442,708.66097996
08/31/2024 21:30:09,N,0,2160.06690263,704.6
08/31/2024 21:45:09,N,0,2054.5596013,704.6
08/31/2024 22:00:11,N,0,1810.12020444,260.2
08/31/2024 22:15:09,N,0,1810.16728496,260.2
08/31/2024 22:30:10,N,0,1810.49579954,261.52947003
08/31/2024 22:45:09,N,0,1809.14599609,260.26893
08/31/2024 23:00:10,N,110,1862.76079273,310.3
08/31/2024 23:15:09,N,110,1864.26699399,310.3
08/31/2024 23:30:09,N,110,1863.56308698,314.40743999
08/31/2024 23:45:09,N,110,1862.36339259,310.3
