SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
09/04/2024 00:00:11,N,3161.44000244,10768.04083871,3817.7
09/04/2024 00:15:09,N,3157.15999984,10766.24290657,3812.3
09/04/2024 00:30:09,N,3157.30000305,10774.12870311,3822.3
09/04/2024 00:45:10,N,3157.86000061,10777.39460229,3824.85104
09/04/2024 01:00:12,N,3158.02000045,10583.6942892,3817.1
09/04/2024 01:15:10,N,3163.02000045,10589.42350864,3826.1
09/04/2024 01:30:10,N,3162.74000167,10600.16676902,3836.1
09/04/2024 01:45:09,N,3163.58000183,10595.82344198,3834.34656
09/04/2024 02:00:11,N,3163.74000167,10688.154778,3913.8
09/04/2024 02:15:10,N,3161.88000106,10758.55060672,3896.7
09/04/2024 02:30:10,N,3166.30000305,10774.86007976,3912.2
09/04/2024 02:45:09,N,3168.72000122,10809.07810449,3945.3
09/04/2024 03:00:11,N,3163.90000152,10956.84381532,3941.6
09/04/2024 03:15:09,N,3162.88000106,10964.00820302,3947.84970999
09/04/2024 03:30:09,N,3163.72000122,10998.26323699,3980.6
09/04/2024 03:45:12,N,3162.15999984,10975.19346046,3957.4
09/04/2024 04:00:11,N,3164.1800003,11118.06321525,3990.4
09/04/2024 04:15:09,N,3162.60000228,11095.60974025,3965.4
09/04/2024 04:30:11,N,3163.30000305,11070.66310739,3941
09/04/2024 04:45:09,N,3161.60000228,11054.82483625,3926.7
09/04/2024 05:00:11,N,3170.28000259,11430.39189004,4053.9
09/04/2024 05:15:09,N,3164.74000167,11423.44849634,4078.93104999
09/04/2024 05:30:09,N,3167.58000183,11429.26959037,4112.82637
09/04/2024 05:45:09,N,3164.30000305,11421.93392038,4105.8
09/04/2024 06:00:11,N,3162.44000244,11806.02318525,4071.2
09/04/2024 06:15:09,N,3164.28000259,11852.79617309,4117.3
09/04/2024 06:30:08,N,3166.42000198,11829.96541309,4093.3
09/04/2024 06:45:09,N,3161.72000122,11818.12971258,4082.12319
09/04/2024 07:00:11,N,3158.36992645,11401.57130432,4009.3
09/04/2024 07:15:08,N,3163.16246032,11383.69292879,3988.2
09/04/2024 07:30:10,N,3161.37787246,11374.57261085,3982
