SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL  WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
09/10/2024 00:00:15,N,6914.48161,10093.56402558,4561.2014923,3738.58209383,3797.67380297,0,3493.70924369,4452.68409132,1606,14321.95487
09/10/2024 00:15:09,N,6549.6787731,10136.08581131,4551.32824707,3680.02543187,3796.6365149,0,3527.83366845,4466.50063443,1467,13888.28314
09/10/2024 00:30:10,N,6307.60633839,10205.13965739,4547.26487731,3762.32125228,3809.43849128,0,3452.30940625,4465.4976871,1467,13565.84603
09/10/2024 00:45:10,N,6129.04433003,10209.76751223,4548.69163513,3786.96684753,3826.5733906,0,3423.7550901,4454.6121819,1467,13417.55428
09/10/2024 01:00:12,N,6141.56866567,10473.42413204,4621.51835632,3717.31829321,3809.88289129,0,3363.50162936,4319.90366482,1467,13279.83599
09/10/2024 01:15:10,N,5696.13866018,10489.55125998,4635.10697937,3974.57997918,3974.57997918,0,3393.90883552,4320.1175963,1469,13202.56224
09/10/2024 01:30:11,N,5485.34151295,10480.86118988,4620.94512939,4044.89250159,4083.71816635,0,3373.0983035,4330.77868857,1467,12992.11073
09/10/2024 01:45:09,N,5299.77816792,10483.91882416,4617.9549942,4073.8272435,4073.8272435,0,3373.93609982,4335.94144073,1467,12872.76271
09/10/2024 02:00:12,N,5105.17371481,10519.87571543,4623.75640106,3957.91320013,3967.91440367,0,3421.87149315,4349.89774394,1467,12564.98656
09/10/2024 02:15:10,N,5107.13962117,10502.24300805,4629.86486816,4002.01658749,4002.01658749,0,3463.64613522,4362.32763123,1467,12644.39091
09/10/2024 02:30:10,N,5194.39494771,10504.60411948,4614.57472991,4068.98834002,4069.03833925,0,3473.98282119,4365.85893535,1469,12835.13164
09/10/2024 02:45:10,N,5111.50756734,10506.0050196,4631.07331085,4092.11398947,4092.16398918,0,3456.28906833,4352.68512868,1467,12696.66904
09/10/2024 03:00:11,N,5118.14448865,10513.45929854,4638.49443817,4167.04224646,4167.04224646,0,3392.72950643,4373.5539112,1467,12720.75573
09/10/2024 03:15:09,N,5067.08159928,10513.81912511,4632.58743286,4249.70174992,4283.87642157,0,3384.87429019,4372.94814586,1467,12706.56783
09/10/2024 03:30:08,N,4969.59526723,10513.87127369,4630.47613525,4420.31288719,4486.50661087,0,3387.27126528,4375.99519872,1467,12800.27148
09/10/2024 03:45:10,N,5008.41609818,10444.30460062,4630.25924682,4457.36174786,4509.83909916,0,3397.80993928,4384.14994359,1467,12816.36192
09/10/2024 04:00:11,N,5002.17507672,10474.37557481,4621.94094085,4483.97794198,4564.16338014,0,3434.73228104,4356.52983832,1469,12854.56748
09/10/2024 04:15:10,N,5169.64861958,10422.73873704,4630.56768798,4419.77537369,4501.46938824,0,3405.80869292,4369.06122183,1485,12938.4872
09/10/2024 04:30:10,N,5132.16989461,10470.73823562,4633.17330169,4467.63556337,4513.77311563,0,3491.47586326,4389.08850812,1487,13098.31296
09/10/2024 04:45:09,N,5481.63063284,10471.49251093,4608.20224373,4333.00215876,4456.36870729,0,3422.24000658,4392.28677129,1487,13227.5034
09/10/2024 05:00:11,N,5621.73049153,10503.90407218,4607.84657287,4308.80972152,4517.48027902,0,3460.31469775,4289.9840188,1487,13298.33646
09/10/2024 05:15:10,N,5790.27865505,10476.45109438,4597.27633336,4272.2677488,4469.11561867,0,3419.02520331,4278.06890439,1469,13533.31212
09/10/2024 05:30:09,N,5802.69551157,10474.57189176,4595.57009889,4203.71406626,4609.23137211,0,3438.89960498,4271.24108839,1469,13499.12824
09/10/2024 05:45:09,N,6152.31143951,10473.1564145,4591.65804723,4262.33884572,4468.13813734,0,3407.88114353,4270.5040636,1469,13482.69011
09/10/2024 06:00:11,N,6721.25823116,10326.41746187,4547.79462865,4278.17792785,4401.84804046,0,3559.33379421,4322.60637712,1469,14251.15419
09/10/2024 06:15:08,N,7064.08813381,10330.61306428,4551.75800756,4218.45675504,4295.38384473,0,3623.83503183,4324.77488613,1467,14847.41994
09/10/2024 06:30:08,N,7173.99257518,10328.07010652,4552.10308507,4315.60422706,4404.28300666,0,3542.10960727,4325.2962017,1467,15024.86664
09/10/2024 06:45:09,N,7282.38795515,10330.19717881,4541.16647008,4481.50985836,4666.62978482,0,3533.41084119,4325.25803756,1467,15337.39089
09/10/2024 07:00:11,N,7213.36972733,10194.15487383,4538.94956639,4171.57508319,4808.453278,0,3606.07836207,4514.67869257,1469,15224.48726
09/10/2024 07:15:08,N,7229.81174104,10256.13392059,4564.29580768,4238.62470281,4824.82554352,0,3572.0298237,4504.48248124,1467,15021.16888
09/10/2024 07:30:09,N,7293.76420755,10282.73053689,4565.6137123,4192.44417047,4809.37200117,0,3653.14913022,4527.3026297,1469,15034.67428
09/10/2024 07:45:09,N,6716.18112742,10403.29620324,4568.10716247,4442.52482289,4712.81834477,0,3675.51657477,4526.79166102,1469,14839.5044
09/10/2024 08:00:11,N,6839.44780507,10202.06602492,4613.48367717,4685.20213067,4685.28213059,0,3562.73086904,4432.24630451,1487,15091.98237
09/10/2024 08:15:09,N,6920.83425305,10473.1498372,4543.48699589,4604.43453592,4608.45002359,0,3557.77428948,4415.35135269,1485,15141.08976
09/10/2024 08:30:09,N,6442.77179288,10987.33911609,4581.5609066,4572.90095591,4572.90095591,0,3547.93209604,4418.55599212,1487,14867.01883
09/10/2024 08:45:10,N,6216.07446622,11287.82791613,4564.17420311,4311.74587321,4349.70506262,0,3546.96275232,4395.30819368,1487,14214.08116
09/10/2024 09:00:13,N,6701.57997369,11769.48145675,4598.03126641,4212.0215556,4280.96946209,0,3517.85593929,4403.04362583,1486,14458.52825
09/10/2024 09:15:09,N,7045.14071464,12053.58826708,4560.47633477,4056.29649004,4112.5527614,0,3517.06510289,4375.83002758,1484,14619.99092
09/10/2024 09:30:08,N,7104.5734918,12144.08356713,4558.84816094,4122.83076515,4216.76728859,0,3510.45528519,4377.09600973,1486,14758.75913
09/10/2024 09:45:10,N,7129.7264552,12168.10055946,4557.22140618,4211.36797957,4284.02055983,.09999999,3497.93735928,4365.55747318,1484,14814.32698
09/10/2024 10:00:11,N,7259.48191499,12326.9710307,4555.04675408,4341.67890287,4413.60389448,0,3487.78711176,4427.02204251,1483,15119.38643
09/10/2024 10:15:10,N,7421.05527973,12427.23421144,4541.12843438,4494.19256281,4603.29543757,0,3474.76269778,4424.50905919,1483,15240.21555
09/10/2024 10:30:10,N,7879.85573577,13020.00015926,4537.61155815,4415.12422445,4697.23675301,0,3479.1547478,4446.38786005,1483,15686.19755
