SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL  WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
09/12/2024 00:00:12,N,16386.2943402,22328.73262354,11850.19511032,845.14828693,845.14828693,0,30.16418633,944.53268593,0,17350.62386
09/12/2024 00:15:10,N,16328.59975786,22439.64555745,12023.7676506,806.94131225,806.94131225,0,27.06303852,944.22019833,.25920552,17157.5055
09/12/2024 00:30:10,N,16469.16289922,22661.12885518,11940.3448143,774.99060562,774.99060562,0,37.98540008,943.96299552,0,17327.83017
09/12/2024 00:45:10,N,16466.12789116,22857.88558699,12020.41791942,755.326617,755.326617,0,24.62051799,944.16032732,0,17242.304
09/12/2024 01:00:12,N,16116.36446844,22903.02301,12046.81341821,735.80582216,735.80582216,0,18.97284289,857.61991473,.17291995,16878.08919
09/12/2024 01:15:09,N,15954.01280133,22921.56501854,12053.81190109,648.74983256,648.74983256,0,3.67077196,857.91278196,0,16612.24281
09/12/2024 01:30:10,N,15635.84875256,22949.72455636,12021.23707199,586.03712442,586.03712442,0,12.14465302,857.59421557,.14022082,16256.05919
09/12/2024 01:45:10,N,15392.62280115,22955.14051744,12020.7575798,548.62063422,548.62063422,.09999999,78.84851951,857.73845785,0,16193.12826
09/12/2024 02:00:13,N,15267.13205995,22750.22331598,12078.53601483,554.34342479,554.34342479,0,6.8022027,807.458992,0,15875.93851
09/12/2024 02:15:10,N,15208.04962022,22784.12730126,12081.96914291,525.40852296,525.40852296,0,.01192346,807.53417408,0,15772.99175
09/12/2024 02:30:10,N,15135.24067827,22786.51274126,12080.57707666,497.25125563,497.25125563,0,11.69713145,807.5557118,.09271818,15664.28798
09/12/2024 02:45:09,N,14988.74497938,22792.79337639,12082.68262287,429.86956027,429.86956027,0,4.81570991,807.87550529,.41351112,15486.87196
09/12/2024 03:00:11,N,15021.44398907,22603.48178806,11985.8077507,379.24500024,379.24500024,0,6.04603676,807.72887195,0,15351.787
09/12/2024 03:15:09,N,15164.44177772,22640.52519836,11985.09356307,394.51216026,394.51216026,0,.2284222,807.68441586,.2284222,15622.48843
09/12/2024 03:30:09,N,15137.60669722,22643.60933639,11985.78634262,374.60690128,374.60690128,0,5.24370687,807.73864242,0,15458.6293
09/12/2024 03:45:09,N,15138.28869766,22647.42595024,11984.50059127,342.11379285,342.11379285,0,2.76280537,807.82259359,.36059942,15571.95421
09/12/2024 04:00:11,N,15113.04552846,22516.76415722,11973.59588241,309.7159523,309.7159523,0,.07270421,932.13270176,.07270421,15451.40984
09/12/2024 04:15:10,N,15110.23014333,22488.69214546,11975.29114913,288.77000406,288.77000406,0,71.21164424,927.63901901,0,15466.60797
09/12/2024 04:30:09,N,15406.98465492,22362.19364356,12009.10883712,306.98718307,306.98718307,0,73.86397591,927.82386913,.2687582,15696.32915
09/12/2024 04:45:08,N,15328.30738972,22672.41810472,11975.65716713,311.63557288,311.63557288,0,239.4354599,927.35962454,0,15902.12397
09/12/2024 05:00:10,N,15787.32245384,22763.75246405,11960.46331405,318.55273482,318.55273482,0,73.32713255,791.28349146,.29558786,15981.1489
09/12/2024 05:15:09,N,16159.17555997,22690.10973773,11959.23275375,355.62853759,355.62853759,.08999999,70.48454526,791.08428696,0,16458.844
09/12/2024 05:30:08,N,16553.87586143,23069.39826206,11960.26517868,334.27154744,334.27154744,1.61332511,81.43158149,791.04079832,.00137724,16773.31898
09/12/2024 05:45:09,N,17081.09306512,23039.65510055,11960.24938583,290.94300299,290.94300299,0,15.8412899,801.91612902,.38592806,17275.19729
09/12/2024 06:00:10,N,17020.16025411,23022.8452838,12019.68348312,280.01079987,280.01079987,0,124.53219318,907.43652059,.05618597,17302.89115
09/12/2024 06:15:09,N,17792.81416296,22992.93117399,12018.24084159,230.75225413,230.75225413,0,147.38540911,906.79377961,.222687,17826.91624
09/12/2024 06:30:08,N,17880.03022982,22989.61061968,12019.64843368,197.34737224,197.34737224,0,54.41310684,894.47249928,0,18039.82485
09/12/2024 06:45:08,N,17964.10340022,22855.53338463,12019.45804978,155.92942995,155.92942995,0,42.0040721,892.41212455,.13522139,18131.96125
09/12/2024 07:00:11,N,17983.83971605,22897.25257616,12024.76372885,129.07811114,129.07811114,0,68.29311328,951.31986752,0,18130.27486
09/12/2024 07:15:08,N,18124.87946956,22908.57349822,12033.39151728,96.9451365,96.9451365,0,51.3037486,944.25570869,0,18269.35686
09/12/2024 07:30:08,N,18074.60966002,22963.52236249,12032.60087203,89.40903832,89.40903832,0,32.27514949,944.45500743,.21270358,18176.29679
09/12/2024 07:45:08,N,17783.04304836,23072.5908711,12024.6758995,63.97128137,63.97128137,0,61.04045109,945.26539047,0,18139.57894
09/12/2024 08:00:11,N,17449.41943252,23144.1456483,12162.77093124,62.34886734,62.34886734,0,21.68563086,864.45638663,.058981,17768.10986
09/12/2024 08:15:10,N,17374.66378864,23446.632593,12161.91685104,57.74784534,57.74784534,0,31.50342757,866.14192868,0,17609.2566
09/12/2024 08:30:09,N,17531.25225964,24714.78650942,12566.05077743,60.37673537,60.37673537,0,25.84317662,863.29673161,.28373303,17689.68499
09/12/2024 08:45:09,N,17552.02914028,25033.4819942,12580.00010299,64.75765968,64.75765968,0,21.09974367,813.40662628,0,17811.15973
09/12/2024 09:00:11,N,18142.09539854,25273.91613637,12577.02984237,82.60541743,82.60541743,0,18.68361892,799.96443186,0,18077.44701
09/12/2024 09:15:09,N,18467.38323122,25882.99027155,12580.42496871,92.41091236,92.41091236,0,19.82231712,768.07660484,0,18479.75761
09/12/2024 09:30:09,N,17910.41002946,25952.38534646,12557.11536788,92.83606059,92.83606059,0,187.63470277,787.93723997,.32424101,18077.596
09/12/2024 09:45:09,N,17968.17350303,26065.63234054,12558.93947982,78.47869673,78.47869673,0,90.86153243,787.79335327,0,17853.44339
09/12/2024 10:00:11,N,18184.10989617,26467.88171242,12542.66889572,69.67816974,69.67816974,0,24.08048915,748.00768921,0,18143.79298
09/12/2024 10:15:09,N,17981.43310641,26799.54930972,12545.24978256,62.42487716,62.42487716,0,19.4983406,743.17200088,0,17943.24701
09/12/2024 10:30:10,N,17999.28268813,26603.81890105,12568.68870162,57.93805458,57.93805458,.33699998,25.31380478,747.73438812,0,18022.68553
09/12/2024 10:45:10,N,18249.04260992,26953.50448202,12568.40902328,51.31818491,51.31818491,.24999999,19.94209661,747.34720282,0,18233.8498
09/12/2024 11:00:11,N,18266.26704453,27238.88555764,12483.47036361,45.11263098,45.11771507,0,30.07537985,504.86740637,.15340948,18447.32341
09/12/2024 11:15:09,N,18800.5227084,27638.44425725,12484.79377365,47.11051107,47.11051107,.49899997,39.98160497,500.17339647,0,18899.91204
09/12/2024 11:30:11,N,19303.08140992,28262.11585663,12481.41032028,64.45088725,64.45088725,0,43.93395465,505.06537479,.44637531,19381.42629
09/12/2024 11:45:11,N,19678.62938451,28158.31454038,12483.38378524,70.66026382,70.66026382,0,39.94109062,504.83881407,0,19661.98693
09/12/2024 12:00:12,N,19787.61865448,28738.91418647,12745.10905075,89.13329,89.13329,0,10.59332621,436.71544897,.59944403,19773.18559
09/12/2024 12:15:09,N,19718.6596179,28906.20176744,12745.88389205,97.44303695,97.45303695,0,10.04074517,431.74472199,0,19782.43062
09/12/2024 12:30:10,N,20179.63995268,29028.7685089,12743.60889816,93.94691456,93.94691456,0,10.66266337,436.76957789,.65557184,20216.1
09/12/2024 12:45:09,N,20711.65285875,29694.84847354,12893.81861495,81.57790556,81.57790556,0,2.84258545,428.35031642,.1383108,20764.78873
09/12/2024 13:00:13,N,21408.80765628,29371.40292166,12856.95005416,81.7518189,81.7518189,0,4.83279429,484.07886007,0,21214.49548
09/12/2024 13:15:09,N,21632.14467477,29619.71328782,12854.6045494,99.10147722,99.10147722,0,.1390465,482.12509393,0,21633.24715
09/12/2024 13:30:09,N,21996.5693159,29870.48527621,12856.38784408,112.00996088,112.00996088,.15999999,2.19474332,482.26480406,0,22084.37125
09/12/2024 13:45:10,N,22470.37664508,30156.85499,12860.77511215,134.29582287,134.30221252,.00638964,21.87764263,484.48666095,0,22662.09395
09/12/2024 14:00:11,N,22814.83439158,30208.84045982,12794.03220748,133.23040045,133.23040045,.42999997,8.21551921,608.19152736,0,22899.31604
09/12/2024 14:15:09,N,22808.86001443,30213.51898144,12793.27788925,132.40017311,132.40017311,.14999999,10.0130234,607.01441452,0,22958.36965
09/12/2024 14:30:09,N,22947.91654777,30136.46597098,12793.19575119,119.39743863,119.40027557,.00283694,20.02757453,610.13004507,0,23062.69483
09/12/2024 14:45:10,N,23170.86620425,30496.16100883,12789.92075729,121.08490936,121.0877463,.04283693,62.66403579,614.61100578,0,23400.43739
09/12/2024 15:00:15,N,23099.14478111,30338.31179713,12786.9331932,135.1605364,135.1605364,0,42.80588623,615.34373806,0,23258.55011
09/12/2024 15:15:09,N,23055.81224631,30488.9331684,12783.47636032,131.93597764,131.93597764,0,45.85197865,612.51321709,.06597627,23295.42833
09/12/2024 15:30:10,N,23621.6229248,30774.53664635,12785.9751091,124.12744724,124.13639658,0,26.15690846,626.45208721,0,23731.45925
09/12/2024 15:45:10,N,23381.58563899,30422.06372594,12784.97681808,95.01189804,95.01189804,.20008129,15.21004587,623.58119779,.16619461,23454.26626
09/12/2024 16:00:13,N,23629.15174198,29882.10234737,12786.24911117,86.94372394,86.94372396,0,16.38770034,579.93535566,0,23533.12368
09/12/2024 16:15:09,N,23471.32293033,30247.42854976,12784.75660324,77.2583368,77.2583368,0,9.94815075,572.31301069,0,23710.19806
09/12/2024 16:30:10,N,23508.98686884,30084.61162471,12787.05556869,70.51236622,70.52236622,0,18.02638196,576.86068677,0,23564.68712
09/12/2024 16:45:10,N,23594.09071159,30155.21034144,12786.8492546,65.72860526,65.73860526,0,14.26625037,572.31001234,0,23667.00644
09/12/2024 17:00:12,N,23679.32267093,29702.83300256,12990.62228012,55.63626238,55.63626238,.08799999,11.91226504,734.19031959,0,23651.27718
09/12/2024 17:15:09,N,23658.30876444,29890.02446413,13024.08742904,56.37555528,56.37555528,0,30.08151718,742.20300769,0,23755.68721
09/12/2024 17:30:10,N,24100.60261487,29922.01543139,13025.94442367,42.12369853,42.12369853,.20999999,29.42661809,749.64819955,0,24059.62752
09/12/2024 17:45:09,N,24235.97505187,29937.6673665,13025.39474105,40.23087455,40.23087455,0,30.94723176,749.07058525,0,24102.74034
09/12/2024 18:00:13,N,23956.21436547,29343.48346495,13053.48299789,39.09323822,39.09323822,0,104.34948062,807.67973136,0,23878.71982
09/12/2024 18:15:10,N,23724.20641898,28514.79991506,13056.41169357,52.20177108,52.20177108,0,95.85816848,791.2537285,.0878185,23485.80255
09/12/2024 18:30:10,N,23801.15785598,27551.87610983,13055.08002185,49.13353978,49.13353978,0,116.37211108,791.49481141,0,23567.40349
09/12/2024 18:45:09,N,23936.06348919,26656.4919033,13068.6086626,69.57145585,69.57145585,0,118.29496163,792.73278951,0,23804.18069
09/12/2024 19:00:12,N,23398.13980913,25890.23258614,13078.98402881,100.9614633,100.9614633,0,139.20536988,784.16196978,0,23658.05233
09/12/2024 19:15:08,N,23095.87598501,25260.89413094,13081.5531969,125.31628153,125.31628153,0,171.00062179,820.11201095,0,23363.95515
09/12/2024 19:30:08,N,22591.10203501,24761.35541888,13082.47514438,156.12751223,156.12751223,0,175.4046218,820.01501274,0,22990.21167
09/12/2024 19:45:09,N,22489.38304641,24771.21418008,13086.54494464,202.58202533,202.58202533,0,208.6000061,686.61301612,0,23051.66958
09/12/2024 20:00:10,N,22374.2849857,24695.11851404,13091.76766843,277.55690632,277.55690632,0,158.47005605,716.9220636,0,22902.14031
09/12/2024 20:15:09,N,21781.88416681,24664.99587528,13080.03661239,375.52418293,375.52418293,0,205.69542591,717.04655734,0,22622.36625
09/12/2024 20:30:09,N,21198.33045099,24670.51226596,13080.66797531,515.47740526,515.47740526,0,226.14025676,716.91001605,0,21969.60893
09/12/2024 20:45:08,N,20558.73392776,24572.44717965,13076.24666488,657.2426737,657.2426737,0,130.8863691,716.92301654,0,21486.18406
09/12/2024 21:00:11,N,20012.95999617,24675.80774403,13191.11829269,730.0152911,730.0152911,0,84.40000152,537.91301536,0,20976.46582
09/12/2024 21:15:09,N,19440.73208848,24635.35598985,13181.62916183,842.08014158,842.08014158,0,84.49569642,539.975924,0,20558.68393
09/12/2024 21:30:09,N,19304.90227617,24666.56684602,13173.27393722,910.89329751,910.89329751,.09961353,92.64974927,539.93773183,0,20408.48528
09/12/2024 21:45:09,N,19373.11376682,24591.76429477,13151.25181198,954.67153275,954.67153275,0,43.90699494,539.94651415,0,20272.4981
09/12/2024 22:00:12,N,18601.11475437,24834.52071835,13020.60878179,970.63351582,970.63351582,0,66.29447317,862.7110157,0,19978.35612
09/12/2024 22:15:09,N,18265.53967923,24773.68595869,12985.81241989,1043.90693837,1043.90693837,0,50.80521392,862.71201515,0,19501.86143
09/12/2024 22:30:08,N,17449.53059743,24781.17011312,12985.14217132,1106.76969376,1106.76969376,0,64.97971449,862.73298845,0,18868.32527
09/12/2024 22:45:09,N,17201.50856764,23820.88231976,12385.42020797,1155.42191888,1155.42191888,0,64.29332304,862.72101402,0,18470.13458
09/12/2024 23:00:12,N,16760.99355706,23917.64308694,12441.18560409,1201.31318528,1201.31318528,0,19.60449099,916.41801643,0,18268.23882
09/12/2024 23:15:08,N,16179.79519837,24025.7864465,12450.36811447,1244.82586473,1244.82586473,0,15.95575939,916.63960646,0,17572.93764
09/12/2024 23:30:08,N,15480.40368819,23021.05582881,11940.42356491,1255.82317644,1255.82317644,0,7.50503504,916.42848936,0,16829.01918
09/12/2024 23:45:10,N,14625.2811729,22688.20710174,11776.82493209,1217.16604626,1217.16604626,0,14.84259431,915.4071598,0,16070.81408
