SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
09/16/2024 00:00:12,N,580.85793685,1194.73893451,402.8
09/16/2024 00:15:10,N,574.60985946,1186.48585987,402.17200007
09/16/2024 00:30:10,N,586.45732116,1200.34232425,413.29400019
09/16/2024 00:45:10,N,583.77073669,1196.44973564,411.38300013
09/16/2024 01:00:12,N,587.85589218,1201.74289417,416.59300012
09/16/2024 01:15:10,N,587.59864807,1200.27864646,415.48800024
09/16/2024 01:30:10,N,586.2649765,1199.74097633,414.28800015
09/16/2024 01:45:10,N,588.78804779,1200.27204322,415.49100022
09/16/2024 02:00:12,N,586.4669609,1200.34995746,420.5880002
09/16/2024 02:15:09,N,593.71665191,1205.20064735,426.7880002
09/16/2024 02:30:08,N,589.5645523,1201.04955482,421.48300023
09/16/2024 02:45:09,N,584.60705566,1200.88905239,417.10900025
09/16/2024 03:00:10,N,587.76670074,1215.95170307,417.66000022
09/16/2024 03:15:09,N,592.57359313,1220.3615942,421.9880001
09/16/2024 03:30:08,N,587.20584869,1217.39284992,417.69000024
09/16/2024 03:45:09,N,593.94704818,1222.66904449,423.99100017
09/16/2024 04:00:11,N,593.79308319,1215.68108367,424.55000019
09/16/2024 04:15:08,N,583.66270065,1201.94970226,414.921
09/16/2024 04:30:10,N,558.99560546,1178.87960147,390.19400024
09/16/2024 04:45:09,N,546.31983184,1188.72683143,389.89400024
09/16/2024 05:00:11,N,541.39999771,1186.28600025,392.19000005
09/16/2024 05:15:08,N,526.0454998,1168.41749763,377.64500026
09/16/2024 05:30:08,N,528.01120185,1171.68920135,378.74600038
09/16/2024 05:45:08,N,574.65183639,1217.93583202,426.02000045
09/16/2024 06:00:11,N,577.82889556,1221.11389827,420.72800016
09/16/2024 06:15:09,N,572.16008377,1213.32407855,413.91500024
09/16/2024 06:30:08,N,574.54319,1217.42518711,418.70800027
09/16/2024 06:45:09,N,583.53318786,1224.0151844,424.12800035
09/16/2024 07:00:11,N,581.12014007,1222.79913902,423.77800025
09/16/2024 07:15:08,N,582.01226043,1221.69225883,430.10300045
09/16/2024 07:30:08,N,583.28066253,1222.45095825,427.34500026
09/16/2024 07:45:08,N,582.01123428,1219.17563247,429.42800006
09/16/2024 08:00:09,N,576.12259674,1213.28739547,417.31500043
09/16/2024 08:15:08,N,577.13921356,1211.22471141,418.62900028
09/16/2024 08:30:10,N,579.57507324,1211.41467475,419.19800014
09/16/2024 08:45:09,N,571.72143554,1196.6700344,412.9820003
09/16/2024 09:00:11,N,571.78458786,1263.95578575,443.69200019
09/16/2024 09:15:08,N,567.19204711,1247.28444957,440.36400041
09/16/2024 09:30:09,N,568.19061279,1244.75290822,441.6800002
09/16/2024 09:45:09,N,567.1907196,1244.45031785,440.19600009
09/16/2024 10:00:11,N,629.45075607,1316.40556097,475.18300018
09/16/2024 10:15:09,N,625.01909637,1311.71920108,472.2
09/16/2024 10:30:09,N,619.72439575,1339.61780166,465.7
09/16/2024 10:45:09,N,628.40124511,1348.34814834,476.1
09/16/2024 11:00:11,N,622.42604827,1477.97584342,460.4
09/16/2024 11:15:09,N,618.16236877,1471.77317237,456.1
09/16/2024 11:30:09,N,611.04273223,1462.49512672,452
09/16/2024 11:45:09,N,614.55834197,1466.511343,453.7
09/16/2024 12:00:10,N,728.20471191,1727.80511093,490.73840637
09/16/2024 12:15:09,N,736.45410919,1752.28831291,519.77381544
09/16/2024 12:30:09,N,727.0642929,1736.82069587,527.70967407
09/16/2024 12:45:09,N,609.92368698,1555.51208496,447.9
09/16/2024 13:00:13,N,619.09052276,1572.8214302,456.1
09/16/2024 13:15:09,N,633.07468032,1592.13348388,467
09/16/2024 13:30:09,N,634.32099533,1598.78538894,469.2
09/16/2024 13:45:09,N,641.01037979,1605.46548843,476.9
09/16/2024 14:00:12,N,644.67098999,1503.40629005,486.1
09/16/2024 14:15:09,N,655.8504486,1514.00395011,499.20500006
09/16/2024 14:30:11,N,664.52867126,1522.71067619,506.91999988
09/16/2024 14:45:09,N,628.70856475,1487.15075874,472.5749998
09/16/2024 15:00:11,N,618.86619949,1478.04400062,458.45999994
09/16/2024 15:15:10,N,593.23659133,1452.72068977,433.95000004
09/16/2024 15:30:10,N,592.40890502,1451.77499961,432.70999994
09/16/2024 15:45:10,N,594.30156326,1453.79306221,436.70000009
09/16/2024 16:00:10,N,596.45900726,1465.19881057,438.65500011
09/16/2024 16:15:10,N,596.93268203,1463.20188903,440.36000003
09/16/2024 16:30:10,N,566.98164749,1432.91634368,411.79500017
09/16/2024 16:45:09,N,565.42632293,1431.91972351,411.26999979
09/16/2024 17:00:12,N,547.51965713,1416.67525863,389.84500007
09/16/2024 17:15:10,N,550.04029464,1418.93340301,387.1
09/16/2024 17:30:10,N,549.31938552,1418.18478393,385.7
09/16/2024 17:45:10,N,549.0641365,1417.97653579,384.9
09/16/2024 18:00:12,N,545.11565399,1510.24816131,395.5969
09/16/2024 18:15:10,N,546.9873352,1511.77773666,397
09/16/2024 18:30:10,N,543.27633666,1508.06913375,393.87207999
09/16/2024 18:45:09,N,549.83336067,1514.24155998,398.1
09/16/2024 19:00:12,N,557.12091064,1425.62261962,402.7
09/16/2024 19:15:09,N,552.64660263,1421.52210617,398.5
09/16/2024 19:30:10,N,550.20366096,1419.03666114,395.1
09/16/2024 19:45:09,N,558.53338623,1279.43568801,404
09/16/2024 20:00:11,N,565.31041717,1382.43822479,768.5
09/16/2024 20:15:09,N,559.97364139,1287.64094066,763
09/16/2024 20:30:09,N,561.27487754,1287.95487594,764.4
09/16/2024 20:45:10,N,563.72334194,1291.22243976,766.7
09/16/2024 21:00:10,N,557.38294506,1188.67154407,555.6
