SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
09/20/2024 00:00:12,N,58979.33441,-73.1,59052.43441
09/20/2024 00:15:11,N,58626.89496,-178.4,58805.29496
09/20/2024 00:30:13,N,57632.31302,-178.5,57810.81302
09/20/2024 00:45:11,N,56700.82979,-178.5,56879.32979
09/20/2024 01:00:12,N,55756.54492,-186.6,55943.14492
09/20/2024 01:15:11,N,55318.82704,-193.4,55512.22704
09/20/2024 01:30:12,N,54637.79551,-193.5,54831.29551
09/20/2024 01:45:11,N,54004.07463,-193.4,54197.47463
09/20/2024 02:00:14,N,53352.493,-195.9,53548.393
09/20/2024 02:15:11,N,53066.27223,-218.9,53285.17223
09/20/2024 02:30:10,N,52847.7076,-218.8,53066.5076
09/20/2024 02:45:08,N,52340.88779,-218.8,52559.68779
09/20/2024 03:00:11,N,51759.42578,-218.2,51977.62578
09/20/2024 03:15:09,N,51678.59528,-218.8,51897.39528
09/20/2024 03:30:09,N,51418.36128,-218.7,51637.06128
09/20/2024 03:45:11,N,51232.82309,-218.9,51451.72309
09/20/2024 04:00:11,N,51082.90362,-218.9,51301.80362
09/20/2024 04:15:08,N,51125.95077,-171.6,51297.55077
09/20/2024 04:30:11,N,51033.2249,-169.2,51202.4249
09/20/2024 04:45:08,N,51028.08798,-168.6,51196.68798
09/20/2024 05:00:11,N,51089.70999,-95.1,51184.80999
09/20/2024 05:15:08,N,51911.36896,-.4,51911.76896
09/20/2024 05:30:08,N,52080.02632,-.5,52080.52632
09/20/2024 05:45:10,N,52637.26086,-.8,52638.06086
09/20/2024 06:00:11,N,52815.02995,-.3,52815.32995
09/20/2024 06:15:08,N,53837.50266,-.6,53838.10266
09/20/2024 06:30:09,N,53885.38885,-.2,53885.58885
09/20/2024 06:45:08,N,54049.4234,-.5,54049.9234
09/20/2024 07:00:12,N,54212.99706,-.3,54213.29706
09/20/2024 07:15:10,N,54195.02974,-.5,54195.52974
09/20/2024 07:30:08,N,53981.48616,-.5,53981.98616
09/20/2024 07:45:09,N,54110.59396,-.4,54110.99396
09/20/2024 08:00:11,N,54633.16951,-.4,54633.56951
09/20/2024 08:15:07,N,55582.62516,-.5,55583.12516
09/20/2024 08:30:10,N,56257.46369,-1,56258.46369
09/20/2024 08:45:09,N,56995.8303,-.4,56996.2303
09/20/2024 09:00:11,N,58086.06351,-.4,58086.46351
09/20/2024 09:15:10,N,59149.31807,-.3,59149.61807
09/20/2024 09:30:08,N,60457.63256,-.5,60458.13256
09/20/2024 09:45:10,N,61544.19591,-.2,61544.39591
09/20/2024 10:00:11,N,63261.7773,-.5,63262.2773
09/20/2024 10:15:09,N,64349.69395,-.5,64350.19395
09/20/2024 10:30:10,N,64951.76662,-.4,64952.16662
09/20/2024 10:45:10,N,65816.0341,-.6,65816.6341
09/20/2024 11:00:11,N,66666.25932,-.5,66666.75932
09/20/2024 11:15:10,N,67838.29287,-.5,67838.79287
09/20/2024 11:30:10,N,68598.31203,-1,68599.31203
09/20/2024 11:45:10,N,69720.55405,-.6,69721.15405
09/20/2024 12:00:12,N,70659.56756,-.5,70660.06756
09/20/2024 12:15:10,N,71940.28528,-.5,71940.78528
09/20/2024 12:30:11,N,72525.73623,-.6,72526.33623
09/20/2024 12:45:11,N,73409.35476,-.8,73410.15476
09/20/2024 13:00:13,N,74616.24209,26.3,74589.94209
09/20/2024 13:15:10,N,75380.45514,99.8,75280.65514
09/20/2024 13:30:11,N,76125.05672,55.3,76069.75672
09/20/2024 13:45:10,N,76681.50381,-.6,76682.10381
09/20/2024 14:00:12,N,76896.88328,-.4,76897.28328
09/20/2024 14:15:10,N,77538.98199,-.4,77539.38199
09/20/2024 14:30:10,N,77878.91191,-.5,77879.41191
09/20/2024 14:45:10,N,77707.87322,-.5,77708.37322
09/20/2024 15:00:14,N,77948.67964,18.1,77930.57964
09/20/2024 15:15:10,N,77782.46111,19.7,77762.76111
09/20/2024 15:30:12,N,77724.82022,19.5,77705.32022
09/20/2024 15:45:11,N,77907.53753,19.5,77888.03753
09/20/2024 16:00:15,N,78112.53668,19.4,78093.13668
09/20/2024 16:15:11,N,77636.41277,19.5,77616.91277
09/20/2024 16:30:12,N,77730.44545,19.3,77711.14545
09/20/2024 16:45:11,N,77527.51029,19.3,77508.21029
09/20/2024 17:00:13,N,77535.78427,12.6,77523.18427
09/20/2024 17:15:10,N,77111.58607,-.4,77111.98607
09/20/2024 17:30:11,N,77167.47728,-.5,77167.97728
09/20/2024 17:45:11,N,76897.19237,-.7,76897.89237
09/20/2024 18:00:13,N,76543.88566,-.4,76544.28566
09/20/2024 18:15:12,N,75901.84669,-.4,75902.24669
09/20/2024 18:30:11,N,75604.20617,-.7,75604.90617
09/20/2024 18:45:10,N,74700.03085,-49.2,74749.23085
09/20/2024 19:00:13,N,73335.64137,-100.7,73436.34137
09/20/2024 19:15:11,N,72407.21029,-168.6,72575.81029
09/20/2024 19:30:11,N,71706.3177,-169,71875.3177
09/20/2024 19:45:11,N,70948.43107,-168.9,71117.33107
09/20/2024 20:00:12,N,70682.63836,-91.8,70774.43836
09/20/2024 20:15:12,N,70539.48441,18.7,70520.78441
09/20/2024 20:30:10,N,69782.77952,19,69763.77952
09/20/2024 20:45:10,N,69663.31296,116.9,69546.41296
09/20/2024 21:00:12,N,69248.01442,94.9,69153.11442
09/20/2024 21:15:11,N,69095.69061,88.8,69006.89061
09/20/2024 21:30:10,N,68069.933,88.6,67981.333
09/20/2024 21:45:10,N,66969.42795,88.6,66880.82795
09/20/2024 22:00:14,N,65968.16261,24,65944.16261
09/20/2024 22:15:10,N,64988.49894,-103.9,65092.39894
