SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-IRR,SUM  HASL NON-IRR,SUM  LASL NON-IRR,SUM  BASE POINT WGR,SUM   HASL  WGR,SUM  LASL WGR,SUM  BASE POINT PVGR,SUM   HASL  PVGR,SUM  LASL PVGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
09/24/2024 00:00:12,N,43761.28032047,49867.84329128,25941.26408195,4926.96674423,4927.71679418,.12960214,2.63412552,2.64569354,.00254801,3736.10104144,6979.66343096,1929.34316205,52478.65987
09/24/2024 00:15:12,N,42729.20625692,49664.33461344,25893.45767498,5058.36903708,5196.77825064,.33460213,2.10729575,2.11728612,.00097037,3791.2624913,6936.27432971,1930.17742425,51771.877
09/24/2024 00:30:12,N,41881.17428378,49349.28529477,25903.53608894,5134.01614106,5194.33386597,.18626676,2.18371538,2.19274538,.00001,3789.179488,6935.10963058,1923.57978254,51065.01572
09/24/2024 00:45:12,N,41202.75815824,49151.06032413,25719.02986037,5191.88044699,5319.66859152,.34699999,2.16650003,2.17900781,.00202667,3819.92792511,6948.67171263,1949.31936573,50446.18746
09/24/2024 01:00:14,N,40832.96507785,48855.2759695,25661.84653687,5052.68460459,5191.33564753,.68299999,2.14442114,2.1574961,.00405495,3780.28362423,6982.83870458,1946.0150578,49858.88268
09/24/2024 01:15:12,N,40669.89245485,49021.81494736,24391.82206344,4947.42256684,4997.07676119,.15022041,2.13537168,2.14897159,.00424364,3765.64150495,6949.55793386,1925.71697127,49468.14966
09/24/2024 01:30:13,N,40464.02770282,48976.51375007,24457.34393215,4804.20106242,4812.72446559,.12576082,2.14249189,2.15651138,.00499949,3746.38243367,7014.50179778,1931.06994748,49120.63957
09/24/2024 01:45:11,N,40477.48230622,49022.96509099,24454.86243438,4617.16617861,4623.8912299,.1,2.18176672,2.19628383,.0054971,3820.11437399,7006.11699318,1930.96176075,48562.9577
09/24/2024 02:00:14,N,39615.62619153,48957.83818554,24484.66976737,4612.35130314,4613.12130312,.18459194,2.1651521,2.17848782,.00218307,3753.54239516,7021.87631058,1929.68928599,48231.0359
09/24/2024 02:15:11,N,39215.65951064,48681.20280933,24485.5123043,4796.60384126,4796.60384126,.18459194,2.11498584,2.1285436,.00453775,3754.3852382,7079.88421855,1930.86429327,47853.94896
09/24/2024 02:30:09,N,38872.10174371,48679.82610487,24485.68867683,4764.96294604,4764.96294604,.65459194,2.13124639,2.14806309,.00779669,3757.86484274,7083.22253322,1924.3153069,47640.1081
09/24/2024 02:45:10,N,38628.83362872,48687.85931873,24487.51527214,4733.39617959,4733.36322252,.23677105,2.14050662,2.1527771,.0026176,3770.98150059,7138.16054399,1925.21372342,47297.64412
09/24/2024 03:00:11,N,38253.36420018,48744.2909075,24471.55997085,4669.90149295,4669.95779691,.56814526,2.15857216,2.17165247,.00406031,3737.73709317,7150.40908718,1929.4028294,46761.39297
09/24/2024 03:15:09,N,38535.33246621,48852.27233135,24594.69273376,4569.8798578,4593.91882874,.71677105,2.10990354,2.12578038,.00467281,3724.61738762,7141.81047832,1931.52064013,46892.44387
09/24/2024 03:30:09,N,38119.97959921,48861.56515252,24595.12092018,4675.3044644,4702.22012478,.49677104,2.15696302,2.17137859,.00539556,3738.90164139,7140.27476839,1934.75576853,46564.60646
09/24/2024 03:45:11,N,37958.85709875,48909.36116755,24594.09013366,4693.95945635,4745.98662653,.23677105,2.17963859,2.19298633,.00432774,3727.82980648,7140.03298854,1931.18538165,46412.28472
09/24/2024 04:00:12,N,38026.31787766,48884.36498916,24565.84504699,4560.65407406,4663.77780758,.23677105,2.10597907,2.12147164,.00647257,3711.31291824,7134.8278284,1930.35864329,46319.91751
09/24/2024 04:15:09,N,38333.8901951,48996.64728033,24631.94688987,4448.76557068,4563.40464853,.15217911,2.1157526,2.12949102,.00471842,3741.95835493,7136.54002571,1924.68234443,46538.49372
09/24/2024 04:30:13,N,38472.41791077,48819.08248865,24478.49998474,4393.59264924,4490.35255071,.15604078,2.13864836,2.15232264,.00465428,3734.2021606,7137.64392948,1924.74699592,46507.65892
09/24/2024 04:45:10,N,38878.80104344,49091.66256105,24678.88834381,4245.32279422,4362.36147973,.29840754,2.12041307,2.13678397,.00735089,3750.32734097,7132.29748743,1923.09316253,46839.88923
09/24/2024 05:00:13,N,39435.71112576,48964.9936136,24672.31019973,4052.85815307,4233.95771422,.19840754,2.12344922,2.14613913,.00649204,3736.25549141,7407.80544519,1922.37956428,46969.00206
09/24/2024 05:15:10,N,40053.36910546,48906.97184002,24631.20589065,3967.95221222,4237.86184568,.15217911,2.18473137,2.21223674,.00378397,3775.74099337,7362.53341829,1930.46979627,47564.40894
09/24/2024 05:30:09,N,40212.96934457,48917.8155812,24621.85871315,3932.40494751,4229.24269314,.15217911,2.13446339,2.15279917,.00589089,3772.34152228,7354.2958945,1925.55969429,47835.23094
09/24/2024 05:45:10,N,40832.35427353,48945.95332252,24622.38294982,3911.45977259,4183.90027804,.15217911,2.28761919,2.30166257,.1114814,3784.45541211,7360.00804942,1926.48880934,48332.17701
09/24/2024 06:00:12,N,41215.84403665,49055.07397258,24599.27505111,3830.61914912,4055.13760815,.60923158,2.24000669,2.25760836,.1150397,3872.57138743,7073.32872845,1971.48800241,48643.58332
09/24/2024 06:15:09,N,42386.86241301,49096.77457368,24684.39383316,3609.67934544,3795.73059942,.31396466,2.27907158,2.3013977,.10992614,3952.11738057,7075.01020127,1964.61552125,49712.24803
09/24/2024 06:30:09,N,42780.91843152,49256.73728787,24684.05836486,3661.03110981,3788.66344947,.15217911,2.25211397,2.26822227,.11354633,4028.21763507,7065.45639497,1970.92410039,50275.17326
09/24/2024 06:45:10,N,43082.06898708,49385.47535884,24931.610466,3660.28908081,3746.16519827,.15217911,2.24248902,2.27143867,.10911549,4137.45546794,7049.0214923,1988.12242829,50514.6141
09/24/2024 07:00:12,N,43022.85274693,48461.54383647,24729.90925025,3853.29958322,4023.83343598,.15217911,2.27661277,2.29060813,.12043339,4298.86067557,7612.577205,2046.70138299,51024.56944
09/24/2024 07:15:08,N,42543.69580517,48506.74046611,24974.48688507,3811.0826136,3823.5130976,.15217911,11.71362179,11.71365179,.9442978,4288.251025,7648.48416829,2048.10128641,50776.90986
09/24/2024 07:30:09,N,42282.61178732,48499.48867297,24974.64593124,3555.87391881,3555.8844025,.15217911,166.61008401,166.61711401,.00001,4591.86115028,7653.95964901,2029.41160011,50821.05651
09/24/2024 07:45:09,N,42292.78390393,48548.61510634,24966.0451641,3311.77220365,3311.77528115,.15217911,786.91433239,793.12179536,1.7365378,4301.75380521,7657.77597963,2037.50884687,50838.22281
09/24/2024 08:00:13,N,41816.86598339,48408.15908741,25165.56104469,3212.85056938,3212.85242919,.23181008,2092.64835172,2095.10074924,7.00001,4075.22657802,7305.95353697,1930.96050894,51058.71473
09/24/2024 08:15:12,N,40282.19682804,48361.15054398,25108.90614509,3181.98704773,3181.98804773,.23181008,4135.42748023,4135.41297484,7.00001,3891.2748348,7201.30735336,1922.21828651,52017.6027
09/24/2024 08:30:09,N,39470.55941058,48249.37791216,25223.72769546,2989.00022821,2989.00122821,2.4011621,5891.00817353,5896.55135209,7.00001,3891.66351385,7223.42486809,1922.34614944,52734.46413
09/24/2024 08:45:09,N,38587.94402911,48257.58679354,25221.65577316,2774.78204958,2774.78304958,.25217911,7880.75537556,7982.73670071,7.00001,4075.93947549,7224.23941647,1923.43840074,53751.77156
09/24/2024 09:00:12,N,38598.96094319,47861.76866197,25886.74848413,2414.76821641,2414.99443042,.15217911,9686.65753805,9731.98875296,7.00001,3971.62711763,6755.11029421,1915.57867693,54540.24525
09/24/2024 09:15:11,N,38481.66519728,47873.32271912,25733.6420741,2090.86910506,2090.87010506,.17621101,11197.01995706,11410.43189477,7.00001,3987.723656,6745.61921703,1912.46642684,55792.27827
09/24/2024 09:30:10,N,38470.94630248,47869.61527037,25731.17775726,1831.35481161,1831.35884174,.15217911,12004.27711725,12348.93871736,7.00001,3915.69402315,6801.524608,1910.83332061,56020.4893
09/24/2024 09:45:10,N,38214.80767125,47858.3718717,25724.5660057,1582.52471699,1582.52571699,.15217911,12983.16660559,13343.42972052,7.00001,3908.76579904,6802.89902793,1908.27994537,56550.04756
09/24/2024 10:00:13,N,37456.21213936,48254.74400746,25974.86517238,1499.1217133,1499.1227133,.15217911,14556.08764481,14887.98063874,7.00001,3936.30939311,6012.06216704,1909.13718795,57397.58309
09/24/2024 10:15:12,N,37455.45163131,48504.70634603,25876.85951805,1542.23232388,1542.2003668,1.67189513,14994.96453785,15333.76279854,7.00001,3908.04425823,5922.11252485,1908.41215133,57716.62439
09/24/2024 10:30:10,N,37973.25906041,48638.43780064,25875.38000488,1734.71582083,1734.59048187,.28109984,15187.91164118,15517.44087988,7.00001,3906.51529503,5987.6336764,1908.64152336,58482.33234
09/24/2024 10:45:09,N,37572.37180457,48635.42131423,25869.34571671,2011.487702,2011.24701041,.16892072,15923.58891773,16322.66339206,7.00001,3908.12476963,6082.02777396,1922.43266963,59315.79781
09/24/2024 11:00:11,N,37846.5365243,48350.80145561,25676.50830459,2107.167323,2107.168323,.14892072,16336.19142913,16764.11834716,7.00001,3862.83460025,6299.55072835,1934.74526882,59923.83071
09/24/2024 11:15:09,N,37873.04448404,47824.52225983,25678.75265789,2112.6787763,2112.6797763,.28279867,17028.43597793,17524.04822921,7.00001,4067.69798784,6270.14818508,1921.30537986,60870.68498
09/24/2024 11:30:11,N,38360.32368487,47754.83385336,25755.34502506,2181.10619909,2181.11219909,.25046686,17571.11962604,18032.21847629,7.00001,3859.9821595,6192.31510579,1925.55573463,61662.44252
09/24/2024 11:45:09,N,38378.96815003,48171.51652133,25824.71822929,2317.98243496,2317.99104474,.26466067,18020.61506795,18621.95012855,7.00001,3848.10512147,6055.75502764,1925.55931282,62428.62656
09/24/2024 12:00:12,N,37839.85346755,48511.82960581,26012.24769401,2545.95196687,2545.95296687,.19566068,18679.33022212,19210.30407047,7.00001,3906.42359162,5976.81869386,1924.02442169,63054.33545
09/24/2024 12:15:09,N,38256.6055337,48258.29650378,25952.23520851,2723.29970215,2723.74415625,.48389311,19036.5116949,19724.57132625,7.00001,3954.37783612,5954.08983594,1923.91449165,63787.47924
09/24/2024 12:30:10,N,39375.284565,48229.93022131,25952.91899871,2853.79528295,2853.99628294,.44625322,19133.4180231,19805.41055202,7.00001,3902.17168314,5955.94830647,1917.75876045,64703.4636
09/24/2024 12:45:09,N,39881.77344552,48319.52790236,26032.83064651,2760.09366582,2760.09466582,.21999999,19217.60116004,19846.20086097,7.00001,3912.29247651,5763.70224285,1920.71647834,65568.32023
09/24/2024 13:00:12,N,40557.01355242,48530.70388078,26213.17409515,2666.62138747,2666.62238747,.43399998,19469.55337905,20130.35164356,7.00001,3934.7593736,5838.92443639,1937.89020347,66316.7576
09/24/2024 13:15:10,N,41269.22904562,48800.03865242,26447.04822158,2731.83675621,2731.84688366,.31899999,19344.63802862,19961.99142789,7.00001,3965.6710206,5865.0032083,1938.26291656,66975.38493
09/24/2024 13:30:11,N,42360.86295604,48800.31050658,26612.32592916,2930.15436202,2930.15699195,.26499999,18860.89951038,19580.66497802,7.00001,3946.73613763,6035.12335211,1935.00766372,67738.40584
09/24/2024 13:45:10,N,43680.42863607,49348.2375741,26803.54879856,2767.40031497,2767.40031497,.1,18398.24623537,19125.79103946,7.00001,4277.27370194,6047.59183703,1932.85311508,68650.30318
09/24/2024 14:00:12,N,43777.20429277,50805.88377356,27417.72243404,2879.89145984,2883.45265617,.1,18731.59975862,19485.15132379,7.00001,4112.37326604,6280.68058025,1920.38328552,69494.4013
09/24/2024 14:15:10,N,44491.04132103,51248.67104625,27763.98915958,3057.84511405,3057.84511405,.1,18477.55867576,19187.58816337,14.80363939,4153.12413644,6289.84696936,1915.91195487,70072.20935
09/24/2024 14:30:11,N,44899.52510794,51543.33574914,27982.073493,3184.81095098,3184.81095098,.1,18653.24766445,19280.57348346,17.75814674,3996.4502908,6185.20378255,1917.08451461,70558.98822
09/24/2024 14:45:10,N,45980.10033941,51961.50469565,28195.58966732,3131.33519608,3131.33519608,.1,18140.37874698,18842.81765079,22.13665817,4047.29900921,6384.05348885,1929.40493583,70929.01751
09/24/2024 15:00:13,N,47058.24524021,53224.97622561,28805.27234935,3238.31724634,3238.32524633,.108,17555.36185073,18291.46484756,19.47121761,4015.22057502,6376.88893985,1948.49749565,71653.93484
09/24/2024 15:15:11,N,46263.86931354,53846.07297062,28280.53538107,3787.12876831,3787.41989742,.13699999,18250.04835347,18760.61827687,7.00001,4017.693456,6341.85649728,1950.33541107,72290.45311
