SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
09/25/2024 00:00:23,N,16710.2864,91.4,16618.8864
09/25/2024 00:15:13,N,16327.64838,124.7,16202.94838
09/25/2024 00:30:13,N,16126.506,124.8,16001.706
09/25/2024 00:45:12,N,15921.62098,124.6,15797.02098
09/25/2024 01:00:13,N,15779.50606,6.3,15773.20606
09/25/2024 01:15:12,N,15762.64579,-.4,15763.04579
09/25/2024 01:30:10,N,15818.35301,-.9,15819.25301
09/25/2024 01:45:11,N,15740.14222,-.8,15740.94222
09/25/2024 02:00:13,N,15745.22359,-.8,15746.02359
09/25/2024 02:15:11,N,15726.97737,-.2,15727.17737
09/25/2024 02:30:12,N,15547.67442,-.9,15548.57442
09/25/2024 02:45:12,N,15528.87646,-.6,15529.47646
09/25/2024 03:00:13,N,15225.52744,-.8,15226.32744
09/25/2024 03:15:09,N,15186.77423,-.6,15187.37423
09/25/2024 03:30:10,N,15272.72539,-.3,15273.02539
09/25/2024 03:45:11,N,15202.86989,-.6,15203.46989
09/25/2024 04:00:12,N,15139.48612,-.7,15140.18612
09/25/2024 04:15:09,N,15007.66693,-.8,15008.46693
09/25/2024 04:30:12,N,15013.8749,-.4,15014.2749
09/25/2024 04:45:09,N,14987.44349,-.4,14987.84349
09/25/2024 05:00:10,N,14987.6256,-.6,14988.2256
09/25/2024 05:15:09,N,14975.90012,-.5,14976.40012
09/25/2024 05:30:10,N,15082.97695,-.3,15083.27695
09/25/2024 05:45:09,N,14992.35106,-.4,14992.75106
09/25/2024 06:00:11,N,15073.33239,-.5,15073.83239
09/25/2024 06:15:10,N,15127.85906,-.3,15128.15906
09/25/2024 06:30:10,N,15183.25312,-.5,15183.75312
09/25/2024 06:45:09,N,15084.28592,-.5,15084.78592
09/25/2024 07:00:11,N,15048.59317,0,15048.59317
09/25/2024 07:15:09,N,15027.14929,-.7,15027.84929
09/25/2024 07:30:09,N,14903.18683,-.6,14903.78683
09/25/2024 07:45:09,N,14926.89403,-.5,14927.39403
09/25/2024 08:00:11,N,15198.88031,-.2,15199.08031
09/25/2024 08:15:11,N,15242.92069,-.5,15243.42069
09/25/2024 08:30:09,N,14728.80564,-.8,14729.60564
09/25/2024 08:45:08,N,14815.617,-.4,14816.017
09/25/2024 09:00:11,N,14720.29156,-.1,14720.39156
