SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
09/25/2024 00:00:23,N,325,2151.82199247,.10699566
09/25/2024 00:15:13,N,325,2151.71499681,0
09/25/2024 00:30:13,N,325,2151.71499681,0
09/25/2024 00:45:12,N,325,2151.97095841,.25796049
09/25/2024 01:00:13,N,325,2100.31599473,0
09/25/2024 01:15:12,N,325,2100.43013098,.14932651
09/25/2024 01:30:10,N,325.00112288,2100.31711762,0
09/25/2024 01:45:11,N,325,2100.316998,.21338969
09/25/2024 02:00:13,N,325,1793.94026273,34.62826732
09/25/2024 02:15:11,N,325,1793.81199693,34.6
09/25/2024 02:30:12,N,325,1796.31743187,34.6
09/25/2024 02:45:12,N,325,1796.31399583,34.6
09/25/2024 03:00:13,N,325,1890.11799669,0
09/25/2024 03:15:09,N,325,1892.66503392,.05103885
09/25/2024 03:30:10,N,325,1897.51899766,0
09/25/2024 03:45:11,N,325,1897.42822699,.0132256
09/25/2024 04:00:12,N,325,1772.58215861,17.76414895
09/25/2024 04:15:09,N,325,1772.51400804,17.7
09/25/2024 04:30:12,N,325,1772.51600694,17.7
09/25/2024 04:45:09,N,325,1772.51500749,17.7
09/25/2024 05:00:10,N,325,2061.05227416,20.74226239
09/25/2024 05:15:09,N,325,2060.01200914,20.6
09/25/2024 05:30:10,N,325,2060.03957241,20.62756327
09/25/2024 05:45:09,N,325,2032.01701784,20.6
09/25/2024 06:00:11,N,325,2131.01401567,.7
09/25/2024 06:15:10,N,325,2130.91501665,.7
09/25/2024 06:30:10,N,325,2133.31801652,.7
09/25/2024 06:45:09,N,325,2131.01201677,68.58711547
09/25/2024 07:00:11,N,325,1999.91792336,80.02064619
09/25/2024 07:15:09,N,325,1987.21301698,79.82668418
09/25/2024 07:30:09,N,325,1987.32475826,79.87896386
09/25/2024 07:45:09,N,325,1987.46243333,80.07474822
09/25/2024 08:00:11,N,325,2032.92869305,194.26524424
09/25/2024 08:15:11,N,325,2030.04496204,168.46318209
09/25/2024 08:30:09,N,325,2034.96264743,171.81487131
09/25/2024 08:45:08,N,325,2026.17104184,178.58485209
09/25/2024 09:00:11,N,325,1940.7019329,186.16478786
09/25/2024 09:15:10,N,325,1931.9364655,180.6606997
09/25/2024 09:30:10,N,325,1907.48312887,171.68130392
09/25/2024 09:45:09,N,325,1890.86024761,153.90101031
09/25/2024 10:00:11,N,325,1942.22307157,25.68735146
09/25/2024 10:15:11,N,325,1940.12097549,21.33682869
09/25/2024 10:30:09,N,325,1940.75292968,24.35761499
09/25/2024 10:45:10,N,325,1939.50033187,21.5863285
09/25/2024 11:00:14,N,325,1842.47189764,24.35289244
09/25/2024 11:15:10,N,325,1841.9618473,23.8428421
09/25/2024 11:30:11,N,325,1837.97880882,19.86280578
09/25/2024 11:45:09,N,325,1833.67324985,15.55824626
09/25/2024 12:00:12,N,325,1959.04313659,25.87412071
09/25/2024 12:15:10,N,325,1951.09435653,25.13234519
09/25/2024 12:30:11,N,325,1946.36018562,33.19617843
09/25/2024 12:45:10,N,325,1929.47218778,25.48218038
09/25/2024 13:00:12,N,325,1870.68871439,85.79370822
09/25/2024 13:15:09,N,325,1918.27504322,69.72631645
09/25/2024 13:30:11,N,325,1926.6429229,73.14491371
09/25/2024 13:45:10,N,325,1926.75420159,68.35719174
09/25/2024 14:00:11,N,325,2035.91158261,39.53092553
