SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
09/25/2024 00:00:23,N,1515,4503.7373476,3245.9
09/25/2024 00:15:13,N,1515,4515.34909677,3258.7
09/25/2024 00:30:13,N,1515,4518.03547096,3264.9
09/25/2024 00:45:12,N,1515,4506.95775842,3250.1
09/25/2024 01:00:13,N,1515,4568.18216657,3243.9
09/25/2024 01:15:12,N,1515,4562.99620151,3244
09/25/2024 01:30:10,N,1515,4560.26317143,3240.7
09/25/2024 01:45:11,N,1515,4562.66532969,3241.8
09/25/2024 02:00:13,N,1515,4396.15576457,3235.8
09/25/2024 02:15:11,N,1515,4399.52748489,3243.7
09/25/2024 02:30:12,N,1515,4405.16914129,3250.9
09/25/2024 02:45:12,N,1515,4387.12152767,3234.3
09/25/2024 03:00:13,N,1515,4387.00260257,3234.3
09/25/2024 03:15:09,N,1515,4537.9146943,3237
09/25/2024 03:30:10,N,1515,4534.71592378,3235.5
09/25/2024 03:45:11,N,1515,4533.45860528,3236.2
09/25/2024 04:00:12,N,1515,4453.58969317,3231.8
09/25/2024 04:15:09,N,1515,4454.21189357,3231.7
09/25/2024 04:30:12,N,1515,4453.62582542,3231.3
09/25/2024 04:45:09,N,1515,4455.85765731,3231.4
09/25/2024 05:00:10,N,1515,4835.12825834,3249
09/25/2024 05:15:09,N,1515,4837.80041038,3280.2
09/25/2024 05:30:10,N,1515,4834.01973497,3363.1
09/25/2024 05:45:09,N,1515,4834.30093776,3363.2
09/25/2024 06:00:11,N,1517,4718.20899593,3362
09/25/2024 06:15:10,N,1515,4712.62972509,3360.2
09/25/2024 06:30:10,N,1515,4713.68652355,3359.3
09/25/2024 06:45:09,N,1515,4713.7485119,3360
09/25/2024 07:00:11,N,1517,4714.14357673,3390.5
09/25/2024 07:15:09,N,1515,4711.64235412,3389.5205
09/25/2024 07:30:09,N,1515,4713.3512684,3389.6
09/25/2024 07:45:09,N,1515,4709.67402231,3389.51988
09/25/2024 08:00:11,N,1515,4745.1522082,3356.41978
09/25/2024 08:15:11,N,1515,4826.32843863,3356.79718006
09/25/2024 08:30:09,N,1515,4830.55590522,3359.22394998
